name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt
Sorelle,"1400 Bedford St, Abington, MA 02351",Grill,abington,"Modern takes on Italian dishes, plus brick-oven pizza, featured in a sunny space with a patio.",http://www.sorelleabington.com/,http://www.sorelleabington.com/menu/,/gift-cards-1,,"
                Gift Cards
              ",
Mia Regazza,"268 Washington St, Abington, MA 02351",Italian,abington,"Buzzy restaurant with a fireplace & patio dishing up Italian-American eats, from lasagna to risotto.",http://www.miaregazza.com/,http://www.miaregazza.com/menu.pdf,http://miaregazza.com/gift-certificates/,http://miaregazza.com/contact/,GIFT CERTIFICATES,CONTACT US
Giardino's Restaurant,"497 Bedford St, Abington, MA 02351",Italian,abington,,https://www.giardinosrestaurant.com/,https://www.giardinosrestaurant.com/our-menu,,/a/locations/contact/19338?return_to=%2F,,"

                Email
"
Yaz's Table,"1209 Bedford St, Abington, MA 02351",Breakfast,abington,,https://www.yazstable.com/,https://sites.google.com/yazstable.com/yazstable/home,/retail-gift-cards,/contact," RETAIL & GIFT CARDS

"," CONTACT

"
Old Town Cafe,"180 El Camino Real Ste 1140, Palo Alto, CA 94304",Breakfast,abington,"Relaxed, eco-chic chain serving health-conscious fare, including vegan options, plus cocktails.",https://www.truefoodkitchen.com/paloalto?utm_source=GMBlisting&utm_medium=organic&utm_content=website,https://www.truefoodkitchen.com/menus/paloalto?utm_source=GMBlisting&utm_medium=organic&utm_content=menu,/giftcards,https://www.truefoodkitchen.com/contact/,Gift Cards,Contact
Abington Ale House & Grill,"1235 Bedford St #1273, Abington, MA 02351",American,abington,"Bar & eatery with a vintage feel offering casual grill eats, including sandwiches, steak & pasta.",https://abingtonalehouse.com/,http://www.abingtonalehouse.com/media/site_assets/ab69522094557e7b8f21980f1a3811af/assets/alehouse_catering_me_vheYQkn.pdf,https://swipeit.com/product/1793/barrett-restaurant-group,/Contact/,Gift Cards Available!,Contact
D'Ann's Sports & Entertainment Restaurant,"340 Centre Ave, Abington, MA 02351",American,abington,"Enduring, family-owned bar/restaurant with Italian & American food, plus lots of TVs for sports.",http://www.dannsabington.com/,http://www.dannsabington.com/menus/breakfast/,/about/gift_cards,https://visitor.r20.constantcontact.com/d.jsp?llr=exxrsr8ab&p=oi&m=1129092538084&sit=ok7ydd7lb&f=2e9c7995-1051-48b5-9692-3c418910690a,Gift Cards  , Join the Email Club
Filho's Great Road,"59 Great Rd, Acton, MA 01720",Italian,acton,"Homey eatery & bar for updated Italian fare including pastas & rustic pizzas, with outdoor seats.",http://filhosgreatroad.com/,http://filhosgreatroad.com/menu,,https://filhosgreatroad.com/#contact-us,,Contact Us
Benjarong Restaurant,"214 Main St, Acton, MA 01720",Thai,acton,"Chicken satay, fried rice & other Thai dishes are served in a basic space at this unassuming stop.",http://www.benjarongacton.com/,http://www.benjarongacton.com/,,,,
Bueno Y Sano Acton,"263 Main St, Acton, MA 01720",Mexican,acton,"Bright, counter-serve joint for build-your-own Mexican fare with traditional & offbeat fillings.",http://www.buenoysano.com/,http://buenoysano.com/locations-menus/,https://buenoysano.com/shop-bueno/#!/Gift-Card/p/75309006/category=0,https://buenoysano.com/contact/,,CONTACT
The Red Raven Restaurant,"3 Nagog Park, Acton, MA 01720",American,acton,"Romantic waterfront tavern with a deck serving clever pub fare, draft beer & craft cocktails.",http://www.redravenacton.com/,http://www.redravenacton.com/menus,,https://www.redravenacton.com/contact,,Contact
Le Lyonnais Restaurant,"416 Great Rd, Acton, MA 01720",French,acton,"Traditional French cuisine, plus fixed-price menus, served in a white clapboard house since 1971.",http://lelyonnaisacton.com/,http://www.lelyonnaisacton.com/Prix%20Fixe%20Menu.htm,,,,
Twin Seafood Grill,"541 Massachusetts Ave, Acton, MA 01720",Seafood,acton,"Simple counter-service spot offering fried & grilled seafood platters, lobster rolls & clam chowder.",http://www.twinsseafood.com/,,,https://twinsseafood.com/contact-us/acton-ma-twin-seafood-market/,,Acton Location
Not Your Average Joe's,"305 Main St, Acton, MA 01720",American,acton,"Comfortable, contemporary chain offering an eclectic American menu & a full bar.",https://goo.gl/ngS9TA,http://places.singleplatform.com/not-your-average-joes-19/menu?ref=google,/gift-cards/,/contact-us/,Gift Cards,Contact Us
Ginger Court,"344 Great Rd, Acton, MA 01720",Chinese,acton,,http://www.gingercourt.com/,http://www.gingercourt.com/,,,,
Acton New London Style Pizza,"555 Massachusetts Ave #2903, Acton, MA 01720",Pizza,acton,"Counter-serve joint founded in 1975 specializing in Greek-style pan pizzas, grinders & salads.",http://actonnewlondonstylepizza.com/,http://actonnewlondonstylepizza.com/menu.html,,,,
Dicapri Pizzeria,"576 Massachusetts Ave, Acton, MA 01720",Pizza,acton,Modest locale for Italian comfort food ranging from pizza & pasta to calzones & panini.,https://www.dicapripizza.com/,https://order.labrador.ai/store/dicapri-pizzeria-acton,,,,
Crossroads Cafe,"405 Nagog Park, Acton, MA 01720",Restaurant,acton,Roomy restaurant & bar offering familiar American fare plus Italian & Mexican dishes.,https://www.crossroadscafeacton.com/,,,/contact,,"  

Visit Us
"
True West Brewing Co,"525 Massachusetts Ave, Acton, MA 01720",Brewery,acton,,http://brewtruewest.com/,,http://www.brewtruewest.com/market/,,Gift Cards,
Papa Razzi Concord,"768 Elm St, Concord, MA 01742",Restaurant,acton,"Family-friendly chain for wood-fired pizzas & other Italian fare, with a full bar & big wine list.",https://www.paparazzitrattoria.com/concord?utm_source=Yext&utm_medium=Yext&utm_campaign=Yext_Google,https://www.paparazzitrattoria.com/concord/menu/,https://www.paparazzitrattoria.com/gift-cards/,,Gift Cards,
Rapscallion Table & Tap,"5 Strawberry Hill Rd, Acton, MA 01720",Restaurant,acton,Homey gastropub featuring a range of house-brewed beers & comfort eats in an old-school farmhouse.,http://drinkrapscallion.com/,http://places.singleplatform.com/rapscallion-table--tap/menu?ref=google,,http://drinkrapscallion.com/sturbridge/book-our-space-brewery/,,Contact Us
Holy Grail Bar and Restaurant,"166 Great Rd, Acton, MA 01720",Grill,acton,,https://holygrailacton.com/,,,https://holygrailacton.com/contact/,,Contact Us
