name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt
Russell R Dupont Bookseller,"41 Star St, Whitman, MA 02382",Book store,abington,,,,,,,
Cristimere Dalzini,"132 Centre Ave, Rockland, MA 02370",Childrens book store,abington,,,,,,,
Massasoit Barnes & Noble Bookstore,"Massasoit Community College, 290 Thatcher St, Brockton, MA 02302",Book store,abington,http://massasoit.bncollege.com/,,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.",,,/webapp/wcs/stores/servlet/BNCBLocationAndContactView?catalogId=10001&langId=-1&storeId=65178,Contact Us
New England Comics,"716A Crescent St, Brockton, MA 02302",Comic book store,abington,http://www.newenglandcomics.com/,,,,,contact.shtml,Contact NEC
wwwpolicapeorg,"102 Park Ave, Willow Grove, PA 19090",Book store,abington,https://stores.barnesandnoble.com/store/2782,,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.",,,,
Barnes & Noble,"The Derby Street Shoppes, 96 Derby St Suite 300, Hingham, MA 02043",Book store,abington,https://stores.barnesandnoble.com/store/2194,,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.",,,,
Storybook Cove,"775 Washington St #2, Hanover, MA 02339",Book store,abington,https://www.storybookcove.com/,,,,/gift-cards,,
Heritage House,"2029 Main St, Brockton, MA 02301",Christian book store,abington,http://www.heritagehousechristian.com/,,,,,,
Back To School With Mac(r),,Childrens book store,abington,,,,,,,
Cast a Stone,"700 Brockton Ave, Abington, MA 02351",Gift shop,abington,http://www.castastone.com/,,,,,mailto:shop@castastone.com?subject=Cast-A-Stone_EMAIL_US,Contact Us
Barnes & Noble,"150 Granite St, Braintree, MA 02184",Book store,abington,https://stores.barnesandnoble.com/store/1989,,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.",,,,
Stonehill College Bookstore Annex,"320 Washington St, North Easton, MA 02356",Book store,abington,https://www.bkstr.com/stonehillstore/home,,"Campus bookstore chain offering new, used & digital textbooks, plus school-branded merchandise.",,,,
Bridgewater State University Bookstore,"135 Burrill Ave, Bridgewater, MA 02325",Book store,abington,https://www.bkstr.com/bridgewaterstatestore/home,,,,,,
History of Odd,"102 Park Ave, Willow Grove, PA 19090",Comic book store,abington,https://stores.barnesandnoble.com/store/2782,,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.",,,,
Ocean Village Bookstore,"1831 Ocean St, Marshfield, MA 02050",Used book store,abington,http://oceanvillagebookstore.org/,,,,,http://oceanvillagebookstore.org/contact-us/,
The Old Town Hall Bookstore,"10 Taunton Ave, Norton, MA 02766",Book store,abington,https://www.bkstr.com/wheatonstore/home,,,,,,
Russell R Dupont Bookseller,"41 Star St, Whitman, MA 02382",Book store,abington,,,,,,,
Frugal Bookstore,"57 Warren St, Roxbury, MA 02119",Book store,abington,http://frugalbookstore.net/,,,,,/pages/contact-us,"
            Contact Us
          "
