name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt
You Look Fabulous,"590 Bedford St, Abington, MA 02351",Beauty salon,abington,,,,,,,
Supercuts,"636 Old York Rd, Jenkintown, PA 19046",Hair salon,abington,https://www.supercuts.com/locations/pa/jenkintown/cloverly-plaza-haircuts-80202.html,,,Order Giftcard,http://www.cardways.com/CP001/Cards/GiftCardDisplay.asp?productid=5&retailerid=2531&cltid=57&brand_id=2531&returnid=0&cardtype=P.html,#,Store Contact Number
numaBlu Hair Salon & Day Spa,"215 North Ave, Abington, MA 02351",Hair salon,abington,https://numablusalon.com/,,,,,/contact-us,Contact Us
Amber,"491 Washington St, Abington, MA 02351",Beauty salon,abington,,,,,,,
Cindy's Full Services Salon,"171 Brockton Ave # C, Abington, MA 02351",Beauty salon,abington,,,,,,,
Zara Nail & Spa,"170 Bedford St, Abington, MA 02351",Nail salon,abington,,,,,,,
Vivian's Nails & Spa,"9 Brockton Ave, Abington, MA 02351",Nail salon,abington,,,,,,,
Odilio's Beauty Salon,"1690 Main St, South Weymouth, MA 02190",Beauty salon,abington,,,,,,,
Elite Nails & Spa,"219 North Ave, Abington, MA 02351",Nail salon,abington,,,,,,,
Lovely Nail,"988 Bedford St, Abington, MA 02351",Nail salon,abington,,,,,,,
Vicki Nails Tech,"1501 South Bedford St Unit 10A, Abington, MA 02351",Nail salon,abington,http://nailsbymaggieabington.com/,,,,,,
T&H Nails and Spa by Kristin,"400 Brockton Ave, Abington, MA 02351",Nail salon,abington,https://thnailsnspabykristinabington.com/,,,,,,
Nam's Cutting Corner,"5 Brockton Ave, Abington, MA 02351",Beauty salon,abington,,,,,,,
Luxury Nails & Spa,"806 Brockton Ave, Abington, MA 02351",Nail salon,abington,,,,,,,
J Nail & Spa,"1035 Bedford St # 102, Abington, MA 02351",Nail salon,abington,,,,,,,
Glamour Nails,"604 Bedford St # 3, Abington, MA 02351",Nail salon,abington,,,,,,,
N & A Nails Spa,"335 Centre Ave, Rockland, MA 02370",Nail salon,abington,https://m.facebook.com/ninaamynails,,,,,,
Hollywood Nails,"1604 Main St, South Weymouth, MA 02190",Beauty salon,abington,,,,,,,
Make Me Up Bridal,,Beauty salon,abington,http://www.makemeupbridal.com/,,,,,http://www.makemeupbridal.com/contact/,contact
John Russell Studio  Hair Salon & Day Spa,"587 Washington St, Whitman, MA 02382",Hair salon,abington,http://www.johnrussellstudio.com/,,,,,,
Plush Hair Design,"7 Marble St, Whitman, MA 02382",Beauty salon,abington,http://www.plushhairdesign.com/,,,,,/contact.html,"
				Contact
			"
The White Door Hair Salon,"202 North Ave, Abington, MA 02351",Hair salon,abington,https://www.whitedoorsalon.com/,,,,,contact.html#6,Contact
Eugene's Hair Design,"23 Temple St, Whitman, MA 02382",Beauty salon,abington,,,,,,,
Princess Spa,"532 Pond St, South Weymouth, MA 02190",Day spa,abington,,,,,,,
Tresses Salon,"217 Union St, Rockland, MA 02370",Beauty salon,abington,,,,,,,
Jolan's Hair Design,"1175 Main St, Weymouth, MA 02190",Beauty salon,abington,http://www.jolanshairdesign.com/,,,,,contact.html,Contact
La Donna Salon,"473 Temple St, Whitman, MA 02382",Beauty salon,abington,,,,,,,
Medusa Hair Salon,"758 Centre St, Brockton, MA 02302",Beauty salon,abington,,,,,,,
Hair For You,"42 Day St, Whitman, MA 02382",Beauty salon,abington,,,,,,,
Joe Seminara Hair Design Salon,"1612 Main St, Weymouth, MA 02190",Hair salon,abington,http://www.joeseminarasalon.com/,,,,GiftCards.html,Contact.html,
Kathy Nails Spa,"23 South Ave, Whitman, MA 02382",Nail salon,abington,http://www.kathysnailsspa.com/,,,,,contact.php,
Cutting Image Salon,"245 Bedford St, Whitman, MA 02382",Beauty salon,abington,,,,,,,
Calming Lotus Nails,"529 Washington St, Whitman, MA 01060",Nail salon,abington,,,,,,,
Mobile hair styling,,Hairdresser,abington,,,,,,,
Anh Nails and Spa,"165 Market St, Rockland, MA 02370",Nail salon,abington,https://anh-nails-and-spa.business.site/?utm_source=gmb&utm_medium=referral,,,,,,Contact
Golden Locks Hair Salon,"755 Crescent St #826, Brockton, MA 02302",Beauty salon,abington,,,,,,,
Mirian's Hair Salon,"347 Union St, Rockland, MA 02370",Hair salon,abington,,,,,,,
Ultimate Nail & Hair Salon,"756 Crescent St, Brockton, MA 02302",Beauty salon,abington,,,,,,,
RAW Artistry,"823 Stewart Drive, Abington, MA 02351",Beauty salon,abington,http://www.rawartistry.com/,,,,,,
Hair Flair Indulgence,"239 E Ashland St, Brockton, MA 02302",Beauty salon,abington,http://www.hairflairindulgence.com/,,,,,/contact-hair-flair-indulgence-brockton-ma," Contact

"
Lucky Nails,"556 Washington St, Whitman, MA 02382",Nail salon,abington,,,,,,,
KMR Beauty Bar,"161 Union St, Rockland, MA 02370",Beauty salon,abington,,,,,,,
Salon Sublime,"192 Union St, Rockland, MA 02370",Beauty salon,abington,https://salonsublime192.com/,,,,,/contact,Contact
M Nail Bar,"478 South Ave, Whitman, MA 02382",Nail salon,abington,http://mnailbarwhitman.net/,,,,,/contact,Contact Us
Polished To Perfections,"138 Glen St, Whitman, MA 02382",Nail salon,abington,https://www.facebook.com/pg/polishedtoperfectionwhitman/about/?ref=page_internal,,,,,,
Margarita Hair Styling,"793 Crescent St, Brockton, MA 02302",Beauty salon,abington,,,,,,,
Hair Essentials Salon,"97 Pleasant St, South Weymouth, MA 02190",Beauty salon,abington,http://www.thehairessentialssalon.com/,,,"

			Gift Cards
		
",/gift-cards.html,/contact-us.html,"
						Contact Us
					"
Pro Nails Spa,"793 Crescent St #2, Brockton, MA 02302",Nail salon,abington,https://pronailspabrockton.business.site/?utm_source=gmb&utm_medium=referral,,,,,,Contact
Hotspot Beauty Salon,"947 Main St, Weymouth, MA 02190",Beauty salon,abington,https://www.vagaro.com/hotspotbeautysalon78/book-now,,,,,,
Any's Beautiful Hair Salon,"791 N Main St, Brockton, MA 02301",Beauty salon,abington,,,,,,,
Theresa's Hair Say,"344 Union St # 1, Rockland, MA 02370",Beauty salon,abington,,,,,,,
