name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched
Vestiduras para Danza Cristiana Alfa y Omega,"18467 Bellflower St, Adelanto, CA 92301",Clothing store,adelanto,,https://vestiduras-para-danza-cristiana-alfa-y-omega.business.site/,,,,,Contact,1
Family Dollar,"11545 Bartlett Ave, Adelanto, CA 92301",Clothing store,adelanto,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",https://www.familydollar.com/locations/ca/adelanto/30458/,,//www.familydollar.com/party-supplies-gift-wrap/gift-cards-fd,//www.familydollar.com/contact-family-dollar,Gift Cards,Contact Us,1
NOVA INC,,Clothing store,adelanto,,https://nova-inc.business.site/,,,,,Contact,1
Linen God LLC,,Clothing store,adelanto,,http://linengod.business.site/,,,,,Contact,1
Red Royalty Collections,,Women's clothing store,adelanto,,http://redroyaltycollection.com/,,,/pages/contact-us,,"
                Contact Us
            ",1
justice  fab21wetsealooochildrensplaceooo,,Clothing store,adelanto,,,,,,,,1
Amot Apparel,"15123 Linking Ln, Victorville, CA 92394",Clothing store,adelanto,,,,,,,,1
Nids Fat Packs,"18222 Cherimoya Rd #3, Adelanto, CA 92301",Baby store,adelanto,,https://bnc.lt/focc/9Ae343uYZL,,,,,,1
Trippy Hippy,,Clothing store,adelanto,,https://trippy-hippy.ueniweb.com/?utm_campaign=gmb,,,/#contact_us,,Contact Us,1
Submission Sports,,Clothing store,adelanto,,,,,,,,1
Fashion 4U,"14770 La Paz Dr # B, Victorville, CA 92395",Clothing store,adelanto,,,,,,,,1
Lims Family Fashion Clothing and Shoes,"14564 7th St, Victorville, CA 92395",Clothing store,adelanto,,,,,,,,1
Rags To Riches Thrift Store,"15312 7th St, Victorville, CA 92395",Work clothes store,adelanto,,,,,,,,1
Dead Celeb's Vintage Clothing,"16802 C St, Victorville, CA 92395",Clothing store,adelanto,,,,,,,,1
Hope Chest,"13198-13100 Wolf Dr, Phelan, CA 92371",Clothing store,adelanto,,,,,,,,1
Fashion Club,"15263 Hook Blvd # C, Victorville, CA 92394",Sportswear store,adelanto,,,,,,,,1
Graco,,Baby store,adelanto,,,,,,,,1
Her Reign,"14560 Palmdale Rd, Victorville, CA 92392",Women's clothing store,adelanto,,http://www.facebook.com/her.reign,,,#,,Contact Her Reign on Messenger,1
Fashion Stop,"15329 Palmdale Rd STE A, Victorville, CA 92392",Women's clothing store,adelanto,,,,,,,,1
dd's DISCOUNTS,"14598 7th St Ste A, Victorville, CA 92395",Clothing store,adelanto,"Retail chain stocking discounted clothing, shoes, home decor, DIY products & more.",http://www.ddsdiscounts.com/,,,/contact-us/,,Contact Us,1
Fly Guy Certified Clothing & Custom T shirts,"15215 7th St suite i, Victorville, CA 92395",Clothing store,adelanto,,,,,,,,1
Good Hussle Clothing,,Clothing store,adelanto,,https://goodhussleclothing.ueniweb.com/?utm_campaign=gmb,,,/#contact_us,,Contact Me,1
Yeah Boutique,"14560 Palmdale Rd, Victorville, CA 92394",Women's clothing store,adelanto,,,,,,,,1
PI5 by MKBStyle and Spirit Fashion Lounge,,Fashion designer,adelanto,,,,,,,,1
High Desert Indoor Swap Meet,"14668 7th St, Victorville, CA 92395",Clothing store,adelanto,,,,,,,,1
Charlotte Russe,"14400 Bear Valley Rd #621, Victorville, CA 92392",Clothing store,adelanto,"Retail chain carrying trendy clothing, shoes, intimate apparel & accessories aimed at young women.",https://charlotterusse.com/pages/store-locator,,/pages/gift-card-balance,/pages/contact-us,Check Gift Card Balance,"




Contact Us

",1
Little Dimples,"14084 Amargosa Rd # 110, Victorville, CA 92392",Children's clothing store,adelanto,,https://little-dimples.business.site/,,,,,Contact,1
HiDesert BeltsFashion,"Victorville, CA 92392",Clothing store,adelanto,,,,,,,,1
Tillys,"14400 Bear Valley Rd, Victorville, CA 92392",Clothing store,adelanto,"SoCal-born chain stocking surf- & skate-inspired brand-name clothing, shoes & accessories.",https://www.tillys.com/store?StoreID=0103,,https://www.tillys.com/gift-cards-landing.html,/help-contact,Gift Cards,Contact Us,1
