name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched,state,zipcode,store_type
JB Pride Uniforms,"1471 Main St, South Weymouth, MA 02190",Uniform store,South Weymouth,https://www.jbprideuniforms.com/,,,,,https://www.jbprideuniforms.com/uniforms/content/contact-us,Contact,1,MA,02190,clothing_store
Windward Trading Group,"77 SPARK St, Brockton, MA 02302",Clothing wholesaler,Brockton,http://windwardtrading.com/,,,,,http://windwardtrading.com/contact-us/,Contact Us,1,MA,02302,clothing_store
Volume Apparel,"49 Rose St, Stoughton, MA 02072",Clothing store,Stoughton,https://www.volumeapparel.com/,,,,,https://www.volumeapparel.com/mailto:info@volumeapparel.com?subject=Contact%20Us,Contact,1,MA,02072,clothing_store
Richard Lewis Formal wear & Kevin Michaels Men's Fine Clothing,"626 Washington St, Canton, MA 02021",Men's clothing store,Canton,http://rltux.com/,,,,,https://richardlewisformalwear.com/contact/,Contact Us!,1,MA,02021,clothing_store
Doughboy Uniforms,"295 Union St, Rockland, MA 02370",Uniform store,Rockland,http://doughboyuniforms.com/,,,,,http://doughboyuniforms.com/ContactUs,Contact Us,1,MA,02370,clothing_store
Rose Therese Caps & Gown Co,"59 Pleasant St, Brockton, MA 02301",Uniform store,Brockton,http://www.rosetherese.com/,,,,,http://rosetherese.com/contact-us/,Contact Us,1,MA,02301,clothing_store
The Yard Sale Store,"24 North St, Randolph, MA 02368",Thrift store,Randolph,http://theyardsalestore.org/,,,,,http://theyardsalestore.org/contact-us,Contact Us,1,MA,02368,clothing_store
Lulabelle,"222 Webster St, Hanover, MA 02339",Lingerie store,Hanover,http://mylulabelle.com/,,"Women's boutique offering refined contemporary European lingerie, sleepwear & swimwear.",,,http://mylulabelle.com/contact,"
            Contact
          ",1,MA,02339,clothing_store
Tuxedo Time,"8 Elm St, Braintree, MA 02184",Tuxedo shop,Braintree,http://tuxedotime.com/,,,,,https://tuxedotime.com/contact/,CONTACT,1,MA,02184,clothing_store
Touch of Design,"25 Washington St, North Easton, MA 02356",Dressmaker,North Easton,https://www.thetouchofdesign.com/,,,,,https://www.thetouchofdesign.com/appointment,Contact Us,1,MA,02356,clothing_store
Piesco Sporting Goods Inc,"130 Washington St, North Easton, MA 02356",Uniform store,North Easton,http://piescosports.com/,,,,,http://www.piescosports.com/contact/,Contact,1,MA,02356,clothing_store
MillCity Clothing Co,"45 Bridge St, Lowell, MA 01852",Clothing store,Lowell,http://everythinglowell.com/,,,,,http://everythinglowell.com/contact,Contact Us,1,MA,01852,clothing_store
A Piece of Heaven Ltd,"312 Main St, Hudson, MA 01749",Vintage clothing store,Hudson,https://www.apieceofheavenltd.com/,,,,,https://www.apieceofheavenltd.com/contact,Contact,1,MA,01749,clothing_store
Andrew D Lee & Co,"30 Monument St, Concord, MA 01742",Boutique,Concord,http://www.adleeco.com/,,,,,http://www.adleeco.com/contacts.htm,"
",1,MA,01742,clothing_store
Red Rover Clothing Co,"9 Vernon St # 1, Framingham, MA 01701",Clothing store,Framingham,https://redroverclothing.com/,,,,,https://redroverclothing.com/contact/,Contact,1,MA,01701,clothing_store
Freida B's Skating Apparel,"205 Walnut St, Framingham, MA 01702",Clothing store,Framingham,http://www.freidab.com/,,,,,https://www.freidab.com,Contact@FreidaB.com,1,MA,01702,clothing_store
Amari Prom,"138 Cambridge St, Burlington, MA 01803",Formal wear store,Burlington,http://www.amariprom.com/,,,,,http://www.amariprom.com/pages/contact,Contact Us,1,MA,01803,clothing_store
CambridgeWear,"73 Leonard St, Belmont, MA 02478",Women's clothing store,Belmont,http://www.cambridgewear.net/,,,,,http://www.cambridgewear.net/new-page,"
Contact us
",1,MA,02478,clothing_store
Cloak & Dagger Creations,"61 Gilson Rd, Littleton, MA 01460",Custom tailor,Littleton,https://www.cloakmaker.com/,,,,,https://www.cloakmaker.com/contact.html,"Contact
us! ",1,MA,01460,clothing_store
Chantilly Place,"73 Princeton St UNIT 7, North Chelmsford, MA 01863",Bridal shop,North Chelmsford,http://www.chantillyplace.net/,,Charming bridal shop offering designer & custom-made wedding gowns & bridesmaid dresses.,,,https://www.chantillyplace.net/home,CONTACT,1,MA,01863,clothing_store
Celia's Boutique,"111 William St, New Bedford, MA 02740",Boutique,New Bedford,http://shopceliasboutique.com/,,,,,http://shopceliasboutique.com/contact.html,"
		    Contact
		  ",1,MA,02740,clothing_store
Mike & Wayne's Uniforms & Accessories,"163 Huttleston Ave, Fairhaven, MA 02719",Uniform store,Fairhaven,http://mikeandwaynes.com/,,,,,https://mikeandwaynes.com/contact-us/,Contact Us,1,MA,02719,clothing_store
U7,"102 William St, New Bedford, MA 02740",Clothing store,New Bedford,http://shopuseven.com/,,"Hip, compact shop offering a variety of gently used, designer sneakers, streetwear & accessories.",,,http://shopuseven.com/pages/contact-us-today,CONTACT US ,1,MA,02740,clothing_store
Myron McLane Farrier Aprons,"49 Winter St, Somerset, MA 02726",Work clothes store,Somerset,http://myronmclaneaprons.com/,,,,,http://myronmclaneaprons.com/contact-us.html, Contact Us ,1,MA,02726,clothing_store
Glass Slipper,"1721 Acushnet Ave, New Bedford, MA 02746",Shoe store,New Bedford,http://www.glassslippernb.com/,,,,,http://www.glassslippernb.com/GlassSlipper_Contact.aspx,,1,MA,02746,clothing_store
Carmen Fashions Bridal,"1415 Pleasant St, Fall River, MA 02723",Bridal shop,Fall River,http://www.carmenfashions.com/,,"Bridal salon since 1997 with wedding gowns, prom & other special-occasion dresses, plus alterations.",,,http://www.carmenfashions.com/findus.php,FIND US,1,MA,02723,clothing_store
Just Looking Consignment Shop,"575 S St W #5, Raynham, MA 02767",Clothing store,Raynham,http://www.justlookingconsignmentshop.com/,,,,,http://www.justlookingconsignmentshop.com/contact-us/,Contact Us,1,MA,02767,clothing_store
Alexandra's Boutique,"372 S Main St, Fall River, MA 02721",Bridal shop,Fall River,https://www.alexandrasbridalboutique.com/,,"Elegant shop offering by-appointment bridal fittings, plus bridal party, prom & cocktail dresses.",,,https://www.alexandrasbridalboutique.com/./sub.php?Page=Text&PT=4985,Contact Us,1,MA,02721,clothing_store
Roberts House of Formals Warehouse,"310 Rhode Island Ave, Fall River, MA 02721",Tuxedo shop,Fall River,http://www.robertstux.com/,,,,,http://www.robertstux.com/contact-us.html,Contact Us,1,MA,02721,clothing_store
Cintas the Uniform People,"74 Downing Industrial Park, Pittsfield, MA 01201",Uniform store,Pittsfield,https://www.cintas.com/,,,,,https://www.cintas.com/#,Questions? Contact us for more information ,1,MA,01201,clothing_store
Pumpkin Patch Quilts,"43 Main St, Lee, MA 01238",Clothing store,Lee,http://www.pumpkinpatchquilts.com/,,,,,http://www.pumpkinpatchquilts.com/contact_us,click here for driving directions ,1,MA,01238,clothing_store
Tux Express,"313 North St, Pittsfield, MA 01201",Wedding store,Pittsfield,https://berkshirebride.com/,,,,,https://berkshirebride.com/contact-us,Contact Us,1,MA,01201,clothing_store
White's,"41 Maple St, East Longmeadow, MA 01028",Clothing store,East Longmeadow,http://shopwhites.com/,,,,,https://shopwhites.com/contact-directions/,Contact & Directions,1,MA,01028,clothing_store
Just B Prom,"900 Allen St, Springfield, MA 01118",Dress store,Springfield,http://www.justbprom.com/,,,,,http://www.justbprom.com/pages/contact-us,Contact,1,MA,01118,clothing_store
Urban Exchange,"233 Main St, Northampton, MA 01060",Women's clothing store,Northampton,http://www.urbanexchangekeene.com/,,"Women's consignment store offering apparel, shoes & accessories, including designer selections.",,,http://www.urbanexchangekeene.com/contact.html,"
				Contact
			",1,MA,01060,clothing_store
Polgold Jewelers,"63 Cabot St, Chicopee, MA 01013",Jewelry store,Chicopee,https://www.polgoldjewelers.com/,,,,,https://www.polgoldjewelers.com/contacts,"
Contacts
",1,MA,01013,clothing_store
