name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched,state,zipcode,store_type
Nickelle Beauty Salon & Boutique,"160 Summer St k2, Kingston, MA 02364",Beauty salon,Kingston,http://www.nickellebeauty.com/,,,Buy a gift card,https://nickellebeauty.salontarget.com/egift/?guestonly=guestonly,http://www.nickellebeauty.com/contact,"
            Contact
          ",1,MA,02364,beauty_salon
LA Hair Design,"1280 Main St, Hanson, MA 02341",Hairdresser,Hanson,http://lahair.co/,,,Buy Now,https://lahairdesign.salontarget.com/egift?guestonly ,http://lahair.co/contact-us,Contact Us,1,MA,02341,beauty_salon
Atmosphere Salon,"288 Littleton Rd, Westford, MA 01886",Hair salon,Westford,http://atmospheresalonwestford.com/,,,Purchase Gift Certificate,https://atmospheresalonwestford.com/corona-virus/,https://atmospheresalonwestford.com/contact/,Contact,1,MA,01886,beauty_salon
RG Pro Laser,"801 Main St Suite 2, Concord, MA 01742",Laser hair removal service,Concord,http://www.rgprolaser.com/,,,"
            Gift Card
          ",http://www.rgprolaser.com/https/wwwgiftflycom/shop/rg-pro-laser1,,,1,MA,01742,beauty_salon
Elements Massage,"149 Great Rd, Acton, MA 01720",Massage therapist,Acton,https://elementsmassage.com/,,,"
Gift Cards
",https://elementsmassage.com/acton/gift-cards,https://elementsmassage.com/acton/contact-info,Contact Us,1,MA,01720,beauty_salon
Bedford Organic Nails And Spa,"64 Great Rd, Bedford, MA 01730",Nail salon,Bedford,http://www.bedfordorganicnails.com/,,,Giftcards,https://www.bedfordorganicnails.com/shop,https://www.bedfordorganicnails.com/contact,Contact,1,MA,01730,beauty_salon
Whole Beauty Salon,"74 Langley Rd, Newton, MA 02459",Beauty salon,Newton,https://wholebeautysalon.com/,,,WE ARE PARTNERS WITH SPAWEEK.COM AND SPAFINDER.COM ACCEPTING  GIFT CARDS  ,https://wholebeautysalon.com/services-1,https://wholebeautysalon.com/contact-us,Contact Us,1,MA,02459,beauty_salon
HunterDavid Salon,"1197 Adams St, Dorchester, MA 02124",Hair salon,Dorchester,https://square.com/,,,"
Buy now
",https://squareup.com/gift/DJWDYEAQXGJGW/order,,,1,MA,02124,beauty_salon
Amaci Salon,"230 Stuart Street South Cove Plaza, Boston, MA 02116",Beauty salon,Boston,http://www.amacisalon.com/,,,E-Gift Cards,https://amaci.salontarget.com/egift/?guestonly=guestonly,https://amacisalon.com/contact-us/,Contact,1,MA,02116,beauty_salon
Backstage Salon & Spa,"225 Newburyport Turnpike, Rowley, MA 01969",Beauty salon,Rowley,http://backstagerowley.com/,,,GIFT CARDS,http://backstagerowley.com/gift-cards/,http://backstagerowley.com/contact/,CONTACT,1,MA,01969,beauty_salon
Scruples Boutique and Day Spa,"325 Hazard Ave, Enfield, CT 06082",Beauty salon,Enfield,http://www.scruplesdayspa.com/,,,E-Gift Certificates,https://swipeit.com/product/637/scruples-salon-and-day-spa,http://www.scruplesdayspa.com/contact-us,Contact Us,1,CT,06082,beauty_salon
Puffer's Salon & Day Spa,"56 Southwick Rd, Westfield, MA 01085",Day spa,Westfield,http://www.pufferdayspa.com/,,,Gift Certificates,http://pufferdayspa.millenniumegift.com/,http://www.pufferdayspa.com/contact-about.html,Contact,1,MA,01085,beauty_salon
EYEFUL Beauty,"33 Middle St, Lowell, MA 01852",Beauty salon,Lowell,http://eyefulbeauty.com/,,,Purchase Gift Certificates,https://www.eyefulbeauty.com/book-now,https://www.eyefulbeauty.com,CONTACT,1,MA,01852,beauty_salon
Bella Sisters Salon & Spa,"321 Speen St, Natick, MA 01760",Beauty salon,Natick,https://www.bellasisters.net/,,"Plaza-based salon with an extensive menu of skin & hair treatments, like facials, waxing & styling.","  

Buy Gift Certificates
",https://www.thegiftcardcafe.com/cart/index.php?storeID=12512,https://www.bellasisters.net/contact," Contact

",1,MA,01760,beauty_salon
