name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched,state,zipcode,store_type
Blouse House,"23 Commercial Way, Hanson, MA 02341",Clothing store,Hanson,https://www.blousehouse.com/,,,Gift Cards,https://www.blousehouse.com/products/gift-card,https://www.blousehouse.com/pages/contact-us,Contact us,1,MA,02341,clothing_store
Merry Go Rounds,"49 Belmont St, South Easton, MA 02375",Children's clothing store,South Easton,http://www.shopmerrygorounds.com/,,"Colorful children's consignment shop carrying popular brands of apparel & accessories, plus books.",purchase a gift card,http://www.shopmerrygorounds.com/collections/gifts,http://www.shopmerrygorounds.com/pages/contact,Contact,1,MA,02375,clothing_store
I Love Boston Sports,"250 Granite St, Braintree, MA 02184",Sportswear store,Braintree,http://www.ilovebostonsports.com/,,,"
						Gift Certificates
					",http://www.ilovebostonsports.com/giftcertificates.php,https://www.ilovebostonsports.com/pages/Contact-Us.html,Contact Us,1,MA,02184,clothing_store
Peach,"204 2nd Ave, Waltham, MA 02451",Women's clothing store,Waltham,http://www.discoverpeach.com/,,,Gift Card,http://www.discoverpeach.com/t/categories/e-gift-card,,Contact Us,1,MA,02451,clothing_store
Altar'd State,"75 Middlesex Turnpike #1086A, Burlington, MA 01803",Clothing store,Burlington,https://www.altardstate.com/,,"Retailer of stylish clothing for young women, plus jewelry, shoes, accessories & decor items.",Gift Cards,https://www.altardstate.com/gift-card/,https://www.altardstate.com/help/?page=contact-us,Contact Us,1,MA,01803,clothing_store
Stellar Apparel  Screen Printing Embroidery Promotional Items,"14 Newton St, Southborough, MA 01772",Clothing store,Southborough,http://www.stellarapparel.com/,,,Gift Certificates,"http://www.stellarapparel.com/store/stellar-apparel-gift-certificate,category.asp",http://www.stellarapparel.com/custom-screenprinting-contactus.asp,Contact Us,1,MA,01772,clothing_store
LXRandCo Lord & Taylor Burlington Mall,"1320 Burlington Mall Road, Burlington, MA 01803",Clothing store,Burlington,https://www.lxrco.com/,,,Gift,https://www.lxrco.com/products/gift-card,https://www.lxrco.com/pages/contact-us,Help,1,MA,01803,clothing_store
fashion lounge clothing boutique,"427 Winthrop St, Taunton, MA 02780",Boutique,Taunton,http://www.fashionloungeusa.com/,,,"

",//cdn.shopify.com/s/files/1/1294/8307/products/e38bd83af578077b65a31424bd24d085.png?v=1464558300,,,1,MA,02780,clothing_store
Kiel James Patrick Flagship Store,"3 Bowens Wharf #3004, Newport, RI 02840",Clothing store,Newport,http://kieljamespatrick.com/,,,Gift Cards,http://kieljamespatrick.com/collections/gift-cards,http://kieljamespatrick.com/pages/contact-us,Contact Us,1,RI,02840,clothing_store
Bibi's Martha's Vineyard,"43A Main St, Vineyard Haven, MA 02568",Baby store,Vineyard Haven,http://www.bibismv.com/,,,Bibi's Gift Certificates,http://www.bibismv.com/category/gifts/bibis-gift-certificates,http://www.bibismv.com/contact-us.htm,CONTACT US,1,MA,02568,clothing_store
