name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt
Hutcheon's Flower Co,"84 Hancock St, Abington, MA 02351",Florist,abington,http://www.hutcheons.com/,,,,,https://www.facebook.com/Hutcheons-Flower-Co-386392851064/," 
"
Stop & Shop Florist,"Abington, MA 02351",Florist,abington,https://stopandshop.com/floral/,,,"
											Gift Cards
										",/shop-online/giftcard,/contact-us,Contact Us
Hartstone Flower Inc,"1275 Main St, South Weymouth, MA 02190",Florist,abington,http://www.hartstoneflower.com/,,,,,https://www.facebook.com/hartstone.flower/," 
"
Flowers Forever,"84 Hancock St, Abington, MA 02351",Florist,abington,http://www.hutcheons.com/,,,,,https://www.facebook.com/Hutcheons-Flower-Co-386392851064/," 
"
HolmesMcDuffy Florists Inc,"110 N Leyden St, Brockton, MA 02302",Florist,abington,https://www.holmesmcduffy.com/,,,,,https://www.facebook.com/Hutcheons-Flower-Co-386392851064/," 
"
Hawes Florist,"70 Powder Mill Rd, Maynard, MA 01754",Florist,acton,http://www.hawesflorist.com/,,,,,//www.hawesflorist.com/contactus.html?source=header,
The Flower Pot,"46 Main St, Maynard, MA 01754",Florist,acton,http://www.the-flower-pot.com/,,,,,,
Concord Flower Shop,"135 Commonwealth Ave, Concord, MA 01742",Florist,acton,http://www.concordflowershop.com/,,,,,https://www.concordflowershop.com/contact-us/,Contact Us
Copper Penny Flowers,"9 Independence Ct, Concord, MA 01742",Florist,acton,http://www.copperpennyflowers.com/,,,,,,
Roche Bros Acton,"387 Massachusetts Ave, Acton, MA 01720",Florist,acton,https://www.rochebros.com/,,,Gift Card Balance,https://www.cardbalance.net/mini.asp,/contact-us/,CONTACT US
Floral Arts Flowers,"129 Littleton Rd, Westford, MA 01886",Florist,acton,https://floralarts.net/,,,,,,
One Main Street Studio,"One main Street, Stow, MA 01775",Florist,acton,http://www.stowflowers.net/,,,,,https://www.stowflowers.net/product/dc1000120/no-contact-delivery,"

"
Trader Joe's,"145 Great Rd, Acton, MA 01720",Florist,acton,https://locations.traderjoes.com/ma/acton/511/?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,,"Grocery chain with a variety of signature items, plus produce, dairy & more (most sell wine & beer).",,,https://www.traderjoes.com/contact-us,Contact Us
Winston Flowers  Concord,"32 Main St, Concord, MA 01742",Florist,acton,http://www.winstonflowers.com/,,"Luxe floral shop offering arrangements, plants & gourmet gift baskets, plus garden design services.",,,https://www.winstonflowers.com/contact, Book an Appointment  
Love and Thistle,"12 Peabody Dr, Stow, MA 01775",Florist,acton,http://www.loveandthistle.com/,,,,,,
Colonial Gardens Full Service Florist & Garden Center,"442 Fitchburg Turnpike, Concord, MA 01742",Florist,acton,https://www.colonialgardensflorist.com/,,,,,,
Wayside Florists,"505 Old Bedford Rd, Concord, MA 01742",Florist,acton,http://waysideflorists.com/,,,,,http://waysideflorists.com/ContentPage.aspx?ID=1439,Contact Us
Westford Florist,"175 Littleton Rd, Westford, MA 01886",Florist,acton,https://westfordflorist.com/,,,,,,
The Frugal Flower,"736 Boston Post Rd, Sudbury, MA 01776",Florist,acton,https://www.frugalflower.com/,,,,,/non-contact-delivery,Non-Contact Delivery
Lindsay Norris Floral Design,,Florist,acton,http://www.lindsaynorrisfloraldesign.com/,,,,,,
Bedford Florist,"315 Great Rd, Bedford, MA 01730",Florist,acton,http://bedfordfloristandgifts.com/,,,,,https://www.facebook.com/Bedford-Florist-and-Gifts-1406996086190375/," 
"
All Occasions Hudson Florist,"114 Main St, Hudson, MA 01749",Florist,acton,http://www.alloccasionshudsonflorist.com/,,,,,,
Twillingate Gardens Flower Shop,"136 Hudson Rd, Sudbury, MA 01776",Florist,acton,http://www.twillingategardens.com/,,,,,,
Christian Flowers,"736 Boston Post Rd, Sudbury, MA 01776",Florist,acton,http://www.christianflower.com/,,,,,/non-contact-delivery,Non-Contact Delivery
My PassionFlower,"357 Boston Post Rd, Sudbury, MA 01776",Florist,acton,http://www.mypassionflower.com/,,,,,/contact.html,"
				Contact
			"
Crickets Florist,"184 Bedford St, Lexington, MA 02420",Florist,acton,http://cricketsflowers.com/,,,"






                                    Gift Certificates                                

                                    Gift Certificates                                




                                                $25.00                                            










Next Day Delivery


ADD TO FAVORITES





",https://cricketsflorist.com/lexington-crickets-flowers/gift-certificates.html,,
RussianFloracom,,Florist,acton,,,,,,,
Colonial Gardens Florist And Greenhouses,"442 Fitchburg Turnpike, Concord, MA 01742",Florist,acton,https://www.colonialgardensflorist.com/,,,,,,
Izabelles Floral Design,,Florist,acton,,,,,,,
Lavender,"137 Main St, Groton, MA 01450",Florist,acton,https://lavenderflorist.com/,,,"






                                    Gift Certificates                                

                                    Gift Certificates                                




                                                $35.00                                            










Next Day Delivery


ADD TO FAVORITES





",https://lavenderflorist.com/groton-lavender/gift-certificates.html,,
Blue Hyacinth Floral Design Studio,,Florist,acton,,,,,,,
Blossoms Florist,"1 Farwell Rd, Tyngsborough, MA 01879",Florist,acton,http://www.blossomsoftyngsboroma.com/,,,,,https://www.facebook.com/blossomsma/?rf=1541449509403200," 
"
Stop & Shop Florist,,Florist,acton,,,,,,,
Rose of Sharon at Blossom Hill,"101 Pleasant St, Dunstable, MA 01827",Florist,acton,http://www.roseofsharonatblossomhill.com/,,,,,,
Framingham Florist,,Florist,acton,,,,,,,
Christina's Floral Design,"22 Bosworth Rd, Framingham, MA 01701",Florist,acton,,,,,,,
Stop & Shop Florist,"2548 San Bruno Ave, San Francisco, CA 94134",Florist,acton,https://www.thebotanyshop.com/,,"Full-service flower shop with arrangements for many occasions, plus houseplants & gourmet baskets.",,,,
Given Erwin Florist,"165 Bedford St, Burlington, MA 01803",Florist,acton,http://www.givenerwinflorist.com/,,,,,../contact-us/contact-us.html,Contact Us
A Whole Bunch Flower Market,"326 Cambridge St, Burlington, MA 01803",Florist,acton,https://awholebunchflowermarket.com/,,,,,,
Barbara's Florals and More,"52 Great Rd, Bedford, MA 01730",Florist,acton,,,,,,,
Central Market Florist,"240 E Main St, Marlborough, MA 01752",Florist,acton,https://www.centralmarketflorist.net/additional_locations.html,,"Full-service florist chain providing bouquets, plants, balloons & gourmet baskets for all occasions.",,,//www.centralmarketflorist.net/contactus.html,Contact Us
English Garden Florist,"1 E Main St, Southborough, MA 01772",Florist,acton,http://www.enggarden.com/,,,,,,
The Floral Gallery,"146 Williams St, Marlborough, MA 01752",Florist,acton,https://www.thefloralgallery.org/,,,,,,
Party Flowers,"83 Concord St, Framingham, MA 01702",Florist,acton,,,,,,,
Stop & Shop Florist,,Florist,acton,,,,,,,
Art of Flowers by Bonnie,"30 Harbell St, Lexington, MA 02421",Florist,acton,http://www.flowershopsofamerica.com/0062index.aspx?sid=1mj3v3o2mcp5ozkuwryn4ono&searchwords=&viewedpreviously=&memberid=125261,,,,,http://www.flowershopsofamerica.com/contact_us.aspx?sid=1mj3v3o2mcp5ozkuwryn4ono&searchwords=&viewedpreviously=&memberid=125261,CONTACT US
O'Malley's Floral Expressions,"23 Chestnut Ave, Burlington, MA 01803",Florist,acton,http://www.omalleysfloral.com/,,,,,request-free-consultation.html,CONTACT
Flowers By Helene,"123 Clover Hill St, Marlborough, MA 01752",Florist,acton,,,,,,,
Wegmans Floral,"53 3rd Ave, Burlington, MA 01803",Florist,acton,https://www.wegmans.com/stores/burlington-ma.html?utm_source=G&utm_medium=local&utm_campaign=google-local,,,,,https://www.wegmans.com/service/contact-us/,Ways We Can Help
Gulbankian Farms Garden Ctr And Florist Shop,"40 Mt Vickery Rd, Southborough, MA 01772",Florist,acton,https://www.gulbankianfarms.com/,,,,,https://gulbankianfarms.com/contact-us/,Contact Us
Pinard's Florist Gifts & Coffee Cafe,"120 Central Ave #1405, Ayer, MA 01432",Florist,acton,http://www.pinardsfloristandgifts.com/,,,,,https://www.pinardsfloristandgifts.com/contact_us.php,Contact Us
Edible Arrangements,"175 Littleton Rd, Westford, MA 01886",Florist,acton,https://www.ediblearrangements.com/stores/175-littleton-road-westford-ma-01886,,Chain selling clever arrangements & gift baskets made up of gourmet fresh & chocolate-dipped fruit.,,,javascript:void(0);,Contact Us
Reflections  The Memory Lamp Store,,Florist,acton,http://www.reflectionlamps.com/,,,,,/pages/contact-us,"
        Contact Us
      "
Flowers at Westcott Barn,"46 Westcott Rd, Harvard, MA 01451",Florist,acton,http://www.flowersatwestcottbarn.com/,,,,,contact.html,CONTACT
Flowers By Stella,"26 Main St, Ayer, MA 01432",Florist,acton,http://www.flowersbystella.biz/,,,,,,
SpoonRosesCom LLC,,Florist,acton,,,,,,,
Crickets Flowers,"184 Bedford St, Lexington, MA 02420",Florist,acton,https://cricketsflorist.com/,,"Florist offering worldwide delivery of arrangements, plants, balloons & gourmet gift baskets.","






                                    Gift Certificates                                

                                    Gift Certificates                                




                                                $25.00                                            










Next Day Delivery


ADD TO FAVORITES





",https://cricketsflorist.com/lexington-crickets-flowers/gift-certificates.html,,
Classic Flowers Inc,"83 Parkhurst Rd, Chelmsford, MA 01824",Florist,acton,http://www.classicflowers.net/,,,,,,
East Coast Florist,"118 Chelmsford St, Chelmsford, MA 01824",Florist,acton,http://www.ecoastflorist.com/,,,,,https://www.ecoastflorist.com/contact_us.php,Contact Us
Viva's Flower Shop,"79B Concord St, Framingham, MA 01702",Florist,acton,https://www.vivasflorist.com/,,,,,/contact-us,"
                        Contact Us
                    "
Finally Flowers,"770 Stevens St, Lowell, MA 01851",Florist,acton,https://finallyflowers.com/,,,,,,
Post Road Flowers,"310 Boston Post Rd, Wayland, MA 01778",Florist,acton,http://www.postroadflowers.com/,,,,,#contactus,"
        Contact Us
      "
Leiby's Garden & Flower Shop,"430 Boston Post Rd, Weston, MA 02493",Florist,acton,https://leibysflorist.com/,,,,,https://leibysflorist.com/pages/contact-us,Contact Us
