name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched
Target,"1495 Old York Rd, Abington, PA 19001",Clothing store,abington,https://www.target.com/sl/abington-township/1256,,"Retail chain offering home goods, clothing, electronics & more, plus exclusive designer collections.",Gift Cards,/c/gift-cards/-/N-5xsxu,,,1
Ropa usada,"11 Orange St, Abington, MA 02351",Clothing store,abington,,,,,,,,1
JC Fast Tailors & Dry cleaner,"1540 Bedford St, Abington, MA 02351",Clothing alteration service,abington,http://www.jctailors.com/,,,,,https://www.jctailors.com/contact-us,Contact Us,1
UCC Thrift Store,"10 Bedford St, Abington, MA 02351",Clothing store,abington,,,,,,,,1
RAW Artistry,"823 Stewart Drive, Abington, MA 02351",Bridal shop,abington,http://www.rawartistry.com/,,,,,,,1
Fashion Fun Pop,"560 Washington St, Whitman, MA 02382",Clothing store,abington,http://www.fashionfunpop.com/,,,"
        Gift Card
      ",/collections/gift-card,/pages/contact-us,Contact Us,1
ivy & me,,Baby clothing store,abington,,,,,,,,1
Tea Time Cookies,"14 South Ave, Whitman, MA 02382",Used clothing store,abington,,,,,,,,1
Saving Grace,"826 Crescent St, Brockton, MA 02302",Used clothing store,abington,,,,,,,,1
Madrag,,Women's clothing store,abington,,,,,,,,1
Mino's Tailor and Tuxedo,"1606 Main St, South Weymouth, MA 02190",Tuxedo shop,abington,,,,,,,,1
Fashion Brasil,"151 Union St, Rockland, MA 02370",Youth clothing store,abington,,,,,,,,1
Marshalls,"50 Pleasant St S, Weymouth, MA 02190",Clothing store,abington,https://www.marshalls.com/,,"Retail chain offering brand-name clothing, accessories, shoes & housewares.",,https://marshalls.cashstar.com/store/recipient?locale=en-us,https://www.marshalls.com/us/store/jump/topic/Contact-Us/3200004,Contact Us,1
In Style,,Clothing store,abington,,,,,,,,1
Uptown Unlimited,"66 Pleasant St, Brockton, MA 02301",Clothing store,abington,,,,,,,,1
Diva Fashion,"28 Legion Pkwy, Brockton, MA 02301",Clothing store,abington,,,,,,,,1
King's Wear Men's Clothing,"280 Main St, Brockton, MA 02301",Men's clothing store,abington,,,,,,,,1
Citi Trends,"21 Torrey St, Brockton, MA 02301",Clothing store,abington,https://locations.cititrends.com/ma/brockton/21-torrey-street.html,,"Retail chain selling brand-name streetwear at a discount, plus accessories, shoes & decor items.",,,https://www.cititrends.com/contact,Contact Us,1
Vineyard Vines,"94 Derby St, Hingham, MA 02043",Clothing store,abington,http://www.vineyardvines.com/,,"Preppy chain for the whole family, inspired by Martha's Vineyard, including signature print ties.",gift cards,/giftcards,https://www.vineyardvines.com/contact,Contact,1
Old Navy,"200 Westgate Dr, Brockton, MA 02301",Clothing store,abington,https://oldnavy.gap.com/stores/ma/brockton/oldnavy-6200.html,,"Chain with a wide range of clothing for the family from jeans to loungewear, plus fun accessories.",,,,,1
