name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,state,zipcode,store_type
Brookline Booksmith,"279 Harvard St, Brookline, MA 02446",Book store,Brookline,http://www.brooklinebooksmith.com/,,"Established independent bookshop offering new & used titles, plus gifts, over 2 floors.",Giftcards,https://www.brooklinebooksmith-shop.com/gift-card-booksmith,,,MA,02446,book_store
Porter Square Books,"25 White St, Cambridge, MA 02140",Book store,Cambridge,http://www.portersquarebooks.com/,,"Independent bookstore featuring a large selection for kids & adults, plus a cafe & author events.",PSB Gift Card,http://www.portersquarebooks.com/indiebound-gift-card,https://lp.constantcontactpages.com/su/eOMaovF,Shelf Stable,MA,02140,book_store
Belmont Books,"79 Leonard St, Belmont, MA 02478",Book store,Belmont,http://www.belmontbooks.com/,,,Gift Cards,http://www.belmontbooks.com/gift-cards-0,http://www.belmontbooks.com/contact-us,Contact Us,MA,02478,book_store
Odyssey Bookshop,"9 College St, South Hadley, MA 01075",Book store,South Hadley,http://www.odysseybks.com/,,,Gift Cards,http://www.odysseybks.com/gift-cards,http://visitor.r20.constantcontact.com/manage/optin?v=001yNBsj5sMLItCHJx3v8G6X8L1C6n_gsD45t76bT-P1dP1IlCMdlZbP35mRKGgJYHOpPdPMb3dcIHVhT0BNmH8dbnzsDS4SCOTgVSoS83neJzBFuZPYKWVxw%3D%3D,Click here to join our mailing list,MA,01075,book_store
Mutability in Motion Gift Shop,"36 Main St, Stockbridge, MA 01262",Gift shop,Stockbridge,http://www.mutabilityinmotion.com/,,,EMAILING,http://www.mutabilityinmotion.com/mailto:info@mutabilityinmotion.com?subject=Gift Certificate Request,https://www.mutabilityinmotion.com/contact,CONTACT,MA,01262,book_store
The Book Oasis,"311 Main St, Stoneham, MA 02180",Used book store,Stoneham,http://www.thebookoasis.com/,,,Buy an E-Gift card,https://squareup.com/gift/DV4GJXPZ8REJJ/order,http://www.thebookoasis.com/tel:7814380077,(781) 438-0077,MA,02180,book_store
Indy Reads Books,"911 Massachusetts Ave, Indianapolis, IN 46202",Book store,Indianapolis,http://indyreadsbooks.org/,,,Purchase A Gift Card,https://squareup.com/gift/BS1XZ1CKCMFHT/order,http://www.indyreadsbooks.org/contact/,CONTACT,IN,46202,book_store
Bookbug & this is a bookstore,"3019 Oakland Dr, Kalamazoo, MI 49008",Book store,Kalamazoo,http://www.bookbugkalamazoo.com/,,,Gift Cards,http://www.bookbugkalamazoo.com/bookstore-gift-cards,,Contact,MI,49008,book_store
Circles of Wisdom,"386 Merrimack St #1A, Methuen, MA 01844",Book store,Methuen,http://www.circlesofwisdom.com/,,,Gift Cards,http://www.circlesofwisdom.com/gift-cards/,http://www.circlesofwisdom.com/contact/customer-service/site-login/,Forgot your password?,MA,01844,book_store
Creative Connections,"56 Main St #1242, Ashburnham, MA 01430",Gift shop,Ashburnham,http://www.ccgiftgallery.com/,,,Gift Certificates,http://www.ccgiftgallery.com/giftcertificates.php,http://www.ccgiftgallery.com/contact-us/,Contact Us,MA,01430,book_store
I AM Books,"189 North St, Boston, MA 02113",Book store,Boston,https://www.iambooksboston.com/,,,Gift Cards,https://squareup.com/gift/23J4E3JWD1BVS/order,https://iambooksboston.com/contact/,Contact,MA,02113,book_store
Moe's Books,"2476 Telegraph Ave, Berkeley, CA 94704",Book store,Berkeley,http://moesbooks.com/,,"Enduring indie shop, buying, selling & trading books, also hosting regular readings & talks.","

",http://moesbooks.com/pages/books/100000GC75/moes-books/gift-card-75,https://www.moesbooks.com/contact.php,Contact,CA,94704,book_store
Wellesley Books,"82 Central St, Wellesley, MA 02482",Book store,Wellesley,http://store.wellesleybooks.com/,,,Wellesley Books gift cards,http://store.wellesleybooks.com/wellesley-books,http://visitor.r20.constantcontact.com/manage/optin?v=001slSEbyvZTIhxQzYF_ZvA2IZZh2nAKuM6n19hQiqseyIri5WIRqwlLP2FmvGfTkIrG60YoMGGebccbk571aP2O93Ud5x6c1PG39jLGRHk5oTRTUmyl71lw6rD_E_Wm3N2E9vyoyH1lTOlBGutN4E4aMhfQiPbYJKTaTZB18pfb0Q%3D,Newsletter,MA,02482,book_store
The Concord Bookshop,"65 Main St, Concord, MA 01742",Book store,Concord,http://www.concordbookshop.com/,,, ,http://www.concordbookshop.com/gift-certificate-0,http://www.concordbookshop.com/hours-and-contact,Hours and Contact,MA,01742,book_store
Storybook Cove,"1775 Washington St, Attleboro, MA 02703",Book store,Attleboro,http://www.storybookcove.com/,,,,http://www.storybookcove.com/gift-cards,,,MA,02703,book_store
CCRI Bookstore,"1762 Old Louisquisset Pike, Lincoln, RI 02865",Book store,Lincoln,http://bookstore.ccri.edu/,,,"
        Gift Cards",http://bookstore.ccri.edu/store1/merchlist?ID=33251,http://bookstore.ccri.edu/store1/contact,"
        Contact Us",RI,02865,book_store
Papercuts JP,"60 South St, Jamaica Plain, MA 02130",Book store,Jamaica Plain,http://papercutsjp.com/,,,Gift Cards & More!,http://papercutsjp.com/shop,http://papercutsjp.com/contact,Contact,MA,02130,book_store
Oliver's Wands and Wizarding Wares,"60 Main St, Maynard, MA 01754",Gift shop,Maynard,http://www.oliverswands.com/,,,"
GIFT CARDS
",http://www.oliverswands.com/collections/gift-cards,http://www.oliverswands.com/pages/contact-us,"
CONTACT US
",MA,01754,book_store
Dandelions LLC,"531 Summer St, Barre, MA 01005",Gift shop,Barre,http://www.dandelionsonline.com/,,,Gift Cards,http://www.dandelionsonline.com/collections/gift-cards,http://www.dandelionsonline.com/pages/978-257-8064,Contact Us,MA,01005,book_store
Abyss Distribution & AzureGreen,"16 Bell Rd, Middlefield, MA 01243",Gift shop,Middlefield,http://www.azuregreen.net/,,,Gift Certificates,https://www.azuregreen.net/Gift-Certificates/products/33/,https://www.azuregreen.net/contactus.asp,Contact Us,MA,01243,book_store
The Thoreau Society Shop at Walden Pond,"915 Walden St, Concord, MA 01742",Book store,Concord,http://www.shopatwaldenpond.org/,,,Gift Certificates,https://www.shopatwaldenpond.org/Gift_Certificates_s/35.htm,http://www.shopatwaldenpond.org/Contact_Us_a/83.htm,Contact Us,MA,01742,book_store
The Bookstore and Get Lit Wine Bar,"11 Housatonic St, Lenox, MA 01240",Book store,Lenox,http://bookstoreinlenox.com/,,,Gift Certificates &ampSouvenirs,http://bookstoreinlenox.com/gift-certificates-souvenirs,http://bookstoreinlenox.com/contact,Contact,MA,01240,book_store
Park Street Books & Toys,"504 Main St, Medfield, MA 02052",Book store,Medfield,http://www.parkstreetbooks.com/,,,Gift Certificates,https://www.parkstreetbooks.com/gift-certificates,,,MA,02052,book_store
Community Bookstore,"143 7th Ave, Brooklyn, NY 11215",Book store,Brooklyn,http://communitybookstore.net/,,Welcoming neighborhood book store offering an array of new titles for adults & children.,Gift Certificates,http://communitybookstore.net/gift-certificate,,,NY,11215,book_store
Terrace Books,"242 Prospect Park West, Brooklyn, NY 11215",Book store,Brooklyn,http://www.communitybookstore.net/,,,Gift Certificates,http://www.communitybookstore.net/gift-certificate,,,NY,11215,book_store
Strand Book Store  Times Square Kiosk,"43rd Street between Broadway &, 7th Ave, New York, NY 10036",Book store,New York,http://www.strandbooks.com/,,"Outpost of the famed NYC bookstore offering paperbacks, postcards & souvenirs from a sidewalk kiosk.","
                    Gift Cards
                ",https://www.strandbooks.com/gift-cards-1,https://www.strandbooks.com/contact-us,Contact Us,NY,10036,book_store
Green Apple Books on the Park,"1231 9th Ave, San Francisco, CA 94122",Book store,San Francisco,http://greenapplebooks.com/,,,Gift Cards,http://greenapplebooks.com/gift-cards,,,CA,94122,book_store
Gospel Book Store,"4900 Oak St, Berlin, OH 44610",Book store,Berlin,http://www.mygospelbookstore.com/,,,Gift Certificates,http://www.mygospelbookstore.com/GC_Splash.asp,http://www.mygospelbookstore.com/custom.asp?id=111,Contact Us / Directions,OH,44610,book_store
