name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched,state,zipcode,store_type
JC Fast Tailors & Dry cleaner,"1540 Bedford St, Abington, MA 02351",Clothing alteration service,Abington,http://www.jctailors.com/,,,,,https://www.jctailors.com/contact-us,Contact Us,1,MA,02351,clothing_store
Gould's Clothing,"Gould's Plaza, 260 Great Rd, Acton, MA 01720",Tuxedo shop,Acton,http://www.gouldsclothing.com/,,,,,http://www.gouldsclothing.com/contact.html,Contact Us,1,MA,01720,clothing_store
Cornerstone Thrift Shop Acton,"12 Concord Rd, Acton, MA 01720",Thrift store,Acton,https://actonc.org/,,,,,https://actonc.org/contact_us,Contact Us,1,MA,01720,clothing_store
Circa Vintage Wear,"204 Court St, New Bedford, MA 02740",Vintage clothing store,New Bedford,http://www.circavintage1986.com/,,,,,http://www.circavintage1986.com/contact,Contact,1,MA,02740,clothing_store
Baby Boudoir Bargain Outlet,"58 Conduit St, New Bedford, MA 02745",Baby store,New Bedford,https://www.babystorenewbedford.com/,,,,,https://www.babystorenewbedford.com/contactus/,contact,1,MA,02745,clothing_store
MacKimmie Co,"69 Church St, Lenox, MA 01240",Clothing store,Lenox,http://www.mackimmieco.com/,,,,,http://www.mackimmieco.com/contact-us,Contact Us,1,MA,01240,clothing_store
Steilmann European Fashion,"28 Walker St, Lenox, MA 01240",Clothing store,Lenox,https://steilmannusa.wordpress.com/,,,,,https://steilmannusa.wordpress.com/contact/,Contact,1,MA,01240,clothing_store
J J Fashions,"336 N Westfield St, Feeding Hills, MA 01030",Clothing store,Feeding Hills,http://jjssoftserve.com/,,,,,http://jjssoftserve.com/tel:4132099832,(413) 209-9832,1,MA,01030,clothing_store
Massachusetts Fire Technologies Inc,"57 York St, West Springfield, MA 01089",Formal wear store,West Springfield,http://www.hibu.com/,,,,,http://www.hibu.com/client-support,"





Client Support
",1,MA,01089,clothing_store
L & A Fine Men's Shop,"1394 Main St, Springfield, MA 01103",Men's clothing store,Springfield,http://lafinemensshop.com/,,,,,http://lafinemensshop.com/#contact,CONTACT,1,MA,01103,clothing_store
Trendsetters Boutique,"85 Main St, Amesbury, MA 01913",Boutique,Amesbury,http://www.trendsettersboutiquema.com/,,,,,https://trendsettersboutiquema.wordpress.com/contact/,Contact,1,MA,01913,clothing_store
Sew Sweet,"25 Macy St, Amesbury, MA 01913",Tailor,Amesbury,http://sewsweettailoring.com/,,,,,https://www.sewsweettailoring.com,CONTACT US,1,MA,01913,clothing_store
Andara Clothing,"50 Water St #303, Newburyport, MA 01950",Women's clothing store,Newburyport,https://www.andaraclothing.com/,,,,,https://www.andaraclothing.com/pages/contact-us,Contact,1,MA,01950,clothing_store
