name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,state,zipcode,store_type
Cast a Stone,"700 Brockton Ave, Abington, MA 02351",Gift shop,Abington,http://www.castastone.com/,,,,,http://www.castastone.com/mailto:shop@castastone.com?subject=Cast-A-Stone_EMAIL_US,Contact Us,MA,02351,book_store
Frugal Bookstore,"57 Warren St, Roxbury, MA 02119",Book store,Roxbury,http://frugalbookstore.net/,,,,,http://frugalbookstore.net/pages/contact-us,"
            Contact Us
          ",MA,02119,book_store
New England Mobile Book Fair,"241 Needham St, Newton Upper Falls, MA 02464",Book store,Newton Upper Falls,http://www.nebookfair.com/,,,,,http://www.nebookfair.com/contacts,Email Us,MA,02464,book_store
I AM Books,"7900 High School Rd, Elkins Park, PA 19027",Book store,Elkins Park,http://www.openbookphilly.com/,,,,,https://openbookphilly.com/contact/,Contact,PA,19027,book_store
Book Ends,"559 Main St, Winchester, MA 01890",Book store,Winchester,http://www.bookendswinchester.com/,,"Charming bookshop features a range of bestselling titles for all ages, plus frequent author events.",,,http://www.bookendswinchester.com/contact,Contact Us,MA,01890,book_store
Purple Dragon Games,"40 Spring St, Williamstown, MA 01267",Game store,Williamstown,http://www.purpledragongames.com/,,,,,http://www.purpledragongames.com/contact/,Contact,MA,01267,book_store
Just Write Words,"53 Melwood Ave, East Longmeadow, MA 01028",Book store,East Longmeadow,https://carolmunrojustwritewords.com/,,,,,https://carolmunrojustwritewords.com/contact-me/,Contact Me,MA,01028,book_store
Broadside Bookshop,"247 Main St, Northampton, MA 01060",Book store,Northampton,http://www.broadsidebooks.com/,,,,,http://www.broadsidebooks.com/contact-us,Contact Us,MA,01060,book_store
Amherst Books,"8 Main St, Amherst, MA 01002",Book store,Amherst,https://www.amherstbooks.com/,,,,,https://www.amherstbooks.com/mailto:webmail@amherstbooks.com,Contact Us!,MA,01002,book_store
Bridgeport National Bindery Inc,"662 Silver St, Agawam, MA 01001",Bookbinder,Agawam,http://www.bnbindery.com/,,,,,http://www.bnbindery.com/contact-bnb,"
                Contact Us
              ",MA,01001,book_store
Crystal Essence,"39 Railroad St, Great Barrington, MA 01230",Book store,Great Barrington,http://www.crystalessence.com/,,,,,http://www.crystalessence.com/contact-us.html,"
            				Contact Us
            			",MA,01230,book_store
Steiner Books,"610 S Main St, Great Barrington, MA 01230",Book store,Great Barrington,https://steinerbooks.org/,,,,,https://steinerbooks.org/contact-us-1,"
                  Contact Us
                ",MA,01230,book_store
Matrushka Toys & Gifts,"309 Main St # 1, Great Barrington, MA 01230",Book store,Great Barrington,http://www.berkshiretoys.com/,,,,,http://www.berkshiretoys.com/contact,Contact,MA,01230,book_store
Berkshire Great Finds & Frame Shop,"1840 N Main St, Sheffield, MA 01257",Book store,Sheffield,http://berkshiregreatfinds.com/,,,,,http://berkshiregreatfinds.com/contact-us,Contact Us,MA,01257,book_store
Tom's Toys,"297 Main St, Great Barrington, MA 01230",Toy store,Great Barrington,http://www.tomstoys.com/,,,,,https://www.tomstoys.com/contact,Contact Us,MA,01230,book_store
Colebrook Book Barn,"657 Colebrook Rd, Colebrook, CT 06021",Used book store,Colebrook,https://www.colebrookbookbarn.com/,,,,,https://www.colebrookbookbarn.com/contact.php,Contact,CT,06021,book_store
Toy Soldier Games,"113 Main St, Amesbury, MA 01913",Book store,Amesbury,http://amesburygames.com/,,,,,http://amesburygames.com/tel:9783882512,(978) 388-2512,MA,01913,book_store
Artbeat Creativity Store & Studio,"212 Massachusetts Ave A, Arlington, MA 02474",Gift shop,Arlington,http://artbeatonline.com/,,Pint-sized shop featuring an array of art supplies plus classes of all types & a walk-in studio.,,,https://artbeatonline.com/about-us/contact-us/,Contact Us,MA,02474,book_store
Escape Hatch Books,"27 Main St, Jaffrey, NH 03452",Comic book store,Jaffrey,http://www.escapehatchbooks.com/,,,,,http://www.escapehatchbooks.com/#,Contact Escape Hatch Books on Messenger,NH,03452,book_store
Bauhan Publishing,"70 Main St, Peterborough, NH 03458",Book store,Peterborough,http://www.bauhanpublishing.com/,,,,,http://www.bauhanpublishing.com/about/contact/,Contact,NH,03458,book_store
Pandemonium Books & Games,"4 Pleasant St, Cambridge, MA 02139",Game store,Cambridge,http://www.pandemoniumbooks.com/,,"Book & game shop focusing on the science fiction, horror & fantasy genres, plus frequent events.",,,http://www.pandemoniumbooks.com/tel:617-547-3721,"


Shape
Created with Sketch.








",MA,02139,book_store
Barnes & Noble at UConn  Downtown Storrs,"1 Royce Cir, Storrs, CT 06268",Book store,Storrs,http://uconn.bncollege.com/,,,,,http://uconn.bncollege.com/webapp/wcs/stores/servlet/BNCBLocationAndContactView?catalogId=10001&langId=-1&storeId=88191,Contact Us,CT,06268,book_store
The Hall of Comics,"3 Turnpike Rd, Southborough, MA 01772",Comic book store,Southborough,http://www.thehallofcomics.com/,,,,,http://www.thehallofcomics.com/pages/contact-us,CONTACT US,MA,01772,book_store
Bedrock Comics,"371 Worcester Rd, Framingham, MA 01701",Book store,Framingham,http://www.bedrock-comics.com/,,,,,http://www.bedrock-comics.com/contact.php,Contact Us,MA,01701,book_store
Shuki's Judaica Jewlery & Gift,"499 Worcester Rd, Framingham, MA 01701",Book store,Framingham,http://www.shukisjudaica.com/,,,,,http://www.shukisjudaica.com/info/contact-us,Contact,MA,01701,book_store
Never Grow Up,"463 Main St, Athol, MA 01331",Video game store,Athol,http://www.nevergrow.com/,,,,,http://www.nevergrow.com/contact_us,Contact Us,MA,01331,book_store
Federal Street Books,"8 Federal St, Greenfield, MA 01301",Used book store,Greenfield,https://federalstreetbooks.com/,,,,,https://federalstreetbooks.com/pages/contact-us,"
              Contact
            ",MA,01301,book_store
