name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,state,zipcode,store_type
Crickets Florist,"184 Bedford St, Lexington, MA 02420",Florist,Lexington,http://cricketsflowers.com/,,,"






                                    Gift Certificates                                

                                    Gift Certificates                                




                                                $25.00                                            










Next Day Delivery


ADD TO FAVORITES





",https://cricketsflorist.com/lexington-crickets-flowers/gift-certificates.html,,,MA,02420,florist
Bigelow Nurseries,"455 W Main St, Northborough, MA 01532",Garden center,Northborough,http://www.bigelownurseries.com/,,"Family-owned garden center since 1915 with an extensive selection of native plants, trees & shrubs.",Buy Gift Cards,http://www.bigelownurseries.com/garden-center/buy-gift-cards/,http://www.bigelownurseries.com/contact-us/,Contact Us,MA,01532,florist
Micro Plant Studio,"365 W Broadway, Boston, MA 02127",Florist,Boston,http://www.microplantstudio.com/,,,GIFT CARD,https://microplantstudio.com/gift-cards/,https://microplantstudio.com/contact/,CONTACT US,MA,02127,florist
Berkeley Flowers and Gifts,"108 Buckwalter Pkwy #2E, Bluffton, SC 29910",Florist,Bluffton,http://www.berkeleyflowers.net/,,,"


",https://www.berkeleyflowers.net/product/5e7a5acc8b1b76.38512/berkeley-flowers-gift-certificate,https://www.berkeleyflowers.net/contact_us.php,Contact Us,SC,29910,florist
Windham Flowers,"178 Main St #2837, Brattleboro, VT 05301",Florist,Brattleboro,http://www.windhamflowers.com/,,,"

",https://www.windhamflowers.com/product/5e7507f170bfd4.60666/gift-card-15-25-or-40,https://www.windhamflowers.com/contact_us.php,Contact Us,VT,05301,florist
Giant Eagle Floral,"4010 Monroeville Blvd, Monroeville, PA 15146",Florist,Monroeville,http://www.gianteagle.com/,,,"
Gift Cards
",https://giftcards.gianteagle.com/,https://account.gianteagle.com/contact,"
Contact Us
",PA,15146,florist
Rouvalis Flowers,"40 W Cedar St, Boston, MA 02108",Florist,Boston,http://rouvalisflowers.com/,,"Charming, petite florist offering flower delivery & home-landscaping design services.",,http://rouvalisflowers.com/designers-choice/egift-card,,,MA,02108,florist
Rittners School of Floral Design,"345 Marlborough St, Boston, MA 02115",Florist,Boston,http://www.floralschool.com/,,,Gift Certificates From Rittners Floral School...... ,http://www.floralschool.com/gift-certificates.htm,,,MA,02115,florist
Val's Flowers of Chelsea,"161 Broadway, Chelsea, MA 02150",Florist,Chelsea,http://www.chelseaflowers.florist/,,, Gift Certificates,https://chelseaflowers.florist/giftcertificates.php,http://www.chelseaflowers.florist/about-us/contact-us/,"


 Owned and Family Operated by Salvy the Florist Since 1962.

",MA,02150,florist
Snapdragon Flowers of Elm Grove,"13458 Watertown Plank Rd, Elm Grove, WI 53122",Florist,Elm Grove,https://elmgroveflowershop.com/,,,"

",https://elmgroveflowershop.com/flower-gift-card.html,https://elmgroveflowershop.com/contacts,"
Contact Us
",WI,53122,florist
Royer's Flowers & Gifts,"100 York Rd, Carlisle, PA 17013",Florist,Carlisle,http://www.royers.com/,,"Family-owned flower store specializing in floral arrangements, plants & gift baskets since 1937.",Gift Cards,https://www.royers.com/usrf.cfm?products=displaypage&category=giftcert&Session=20200421190814V9912E6142Y3281Y9951853724,https://www.royers.com/usrf.cfm?aboutus=coronavirus&Session=20200421190814V9912E6142Y3281Y9951853724,"











We're Still Taking Orders
We are able to offer contactless delivery and pick up at select stores.
Learn More



 Admin. Prof. Week
April 19 - 25
 Mother's Day
May 10


",PA,17013,florist
Consider the Lilies,"35 Depot St, Duxbury, MA 02332",Florist,Duxbury,http://www.ctlflorist.com/,,,order an arrangement or gift card,http://www.ctlflorist.com/order,http://www.ctlflorist.com/contact,"
              Contact
            ",MA,02332,florist
The Gift Garden,"431 Main St, Bennington, VT 05201",Florist,Bennington,http://thegiftgardenvt.com/,,," 

Gift Card

                            $35.00
Buy Now >
",http://thegiftgardenvt.com/flower-arrangement/gift-card/prod7470699,https://www.facebook.com/The-Gift-Garden-136610576436248/?ref=br_rs," 
",VT,05201,florist
The Tuscan Sunflower,"318 North St, Bennington, VT 05201",Florist,Bennington,http://thetuscansunflower.net/,,,View details,https://thetuscansunflower.net/gift-certificate.html,https://thetuscansunflower.net/contacts,"
Contact Us
",VT,05201,florist
Affairs to Remember,"547 Main St, Melrose, MA 02176",Florist,Melrose,https://affairstorememberflorist.com/,,"Flower shop featuring everyday & special-occasion bouquets & plants, plus fruit & gift baskets.",View details,https://affairstorememberflorist.com/gift-certificate-1.html,https://affairstorememberflorist.com/contacts,"
Contact Us
",MA,02176,florist
Cheshire Nursery,"1317 S Main St, Cheshire, CT 06410",Florist,Cheshire,http://www.cheshirenursery.com/,,"Enduring garden center & florist selling flower arrangements, plants & gardening supplies.",Gift Cards,http://www.cheshirenursery.com/gift-cards.html,http://www.cheshirenursery.com/contact.html,Contact Us,CT,06410,florist
Lee's Florist & Nrsry,"1420 University Ave, Berkeley, CA 94702",Florist,Berkeley,https://leesfloristandnursery.com/,,"Veteran florist & nursery specializing in contemporary arrangements, tropical plants, bonsai & more.","






                                    Gift Certificate                                

                                    Gift Certificate                                




                                                $25.00                                            








In-Store Pickup Only


ADD TO FAVORITES





",https://leesfloristandnursery.com/berkeley-lees-florist-nursery/gift-certificate.html,,,CA,94702,florist
York Flowers,"5023 Wisconsin Ave NW, Washington, DC 20016",Florist,Washington,https://yorkflowers.com/,,"Lush, circa-1942 local florist offering a wide range of flower bouquets plus delivery services.","






                                    York Flowers Gift Card                                

                                    York Flowers Gift Card                                




                                                $50.00                                            










Next Day Delivery


ADD TO FAVORITES





",https://yorkflowers.com/washington-york-flowers/york-flowers-gift-card.html,https://yorkflowers.com/contact-us/,Contact Us,DC,20016,florist
Chester's Flower Shop and Greenhouses,"1117 York St, Utica, NY 13502",Florist,Utica,http://www.chestersflowers.com/,,,"



   
                                        $25.00
",https://www.chestersflowers.com/gifts/gift-card/prod7540088?nav=clear,http://www.facebook.com/chestersflowershop," 
",NY,13502,florist
Harrington Flowers,"539 Mammoth Rd, Londonderry, NH 03053",Florist,Londonderry,https://harringtonflowers.com/,,,Gift Certificates,https://harringtonflowers.com/londonderry-florist-flower-delivery/harrington_custom/gift-certificates/,,,NH,03053,florist
DODO'S PHLOWERS,"285 Central St STE 116, Leominster, MA 01453",Florist,Leominster,https://www.dodosphlowers.com/,,,"

",https://www.dodosphlowers.com/product/5c2556c18eafe/50-petal-cash,https://www.dodosphlowers.com/contact_us.php,Contact Us,MA,01453,florist
Cross Creek Nursery & Landscaping,"501 Courthouse Rd, Richmond, VA 23236",Florist,Richmond,http://www.crosscreeknursery.com/,,,"

			Gift Certificate
		
",http://www.crosscreeknursery.com/gift-certificate.html,http://www.crosscreeknursery.com/interiors-employment-contact-page.html,"

			Interiors Employment Contact Page
		
",VA,23236,florist
Dutch Bloemen Winkel,"18 Black Mountain Rd, Jackson, NH 03846",Florist,Jackson,http://www.dutchbw.com/,,,gift cards,https://www.dutchbw.com/product/gift-cards/,,,NH,03846,florist
The Flower Room,"474 Central Ave, Dover, NH 03820",Florist,Dover,http://www.nhflowerroom.com/,,,,https://nhflowerroom.com/flowers/shop/200-gift-card/,https://nhflowerroom.com/flowers/contact/,Contact,NH,03820,florist
