name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched
El Huipil,"51 R Main St, Maynard, MA 01754",Mexican,acton,"Comfy, neighborhood nook with folksy decor, sizable portions of classic Mexican staples & cocktails.",http://www.elhuipil.com/,http://places.singleplatform.com/el-huipil---maynard/menu?ref=google,,,,,1
80 Thoreau,"80 Thoreau St, Concord, MA 01742",American,acton,"Classy, rustic-chic eatery featuring creative, farm-to-fork New American fare, wines galore & a bar.",http://www.80thoreau.com/,,store/gift-cards/,#contact,Gift Cards,Contact,1
Thai Chilli,"40 Main St, Maynard, MA 01754",Thai,acton,"Established eatery specializing in traditional Thai dishes, including vegetarian ones.",http://www.thaichillimaynard.com/,,,,,,1
Maynard Village Pizza,"86 Powder Mill Rd, Maynard, MA 01754",Pizza,acton,,https://www.maynardvillagepizza.biz/,http://www.maynardvillagepizza.biz/menu.pdf,,https://maynardvillage.foodtecsolutions.com/contact,,Contact us,1
Legend Cafe & Catering,"5 Spruce St, Acton, MA 01720",Cafe,acton,,http://legend-cafe.com/,,,http://legend-cafe.com/#contact,, Contact,1
Dunkin',,Coffee shop,acton,,,,,,,,1
Roasted Peppers,"65 Main St #2513, Maynard, MA 01754",Restaurant,acton,"Brick-oven pizza, panini, burritos & wrap sandwiches served in a comfy, colorful restaurant.",,,,,,,1
Cafe of India,"155 Main St, Maynard, MA 01754",Indian,acton,,https://www.cafeofindiamaynard.com/,https://www.cafeofindiamaynard.com/,,,,,1
Nancy's Air Field Cafe,"302 Boxboro Rd, Stow, MA 01775",American,acton,"With a view of the planes, this cheery spot serves up eclectic daytime eats, plus weekend dinners.",http://www.nancysairfieldcafe.com/,http://www.nancysairfieldcafe.com/menus/pick-up-menu/,,http://www.nancysairfieldcafe.com/contact/,,Contact Us,1
Dino's Kouzina & Pizzeria,"1135 Main St, Concord, MA 01742",Pizza,acton,Relaxed Greek & Italian standby for creative pizzas & classic dishes made with choice ingredients.,http://www.dinoskouzina.com/,https://www.ediningexpress.com/live20/150/237/,,,,,1
Max & Leo's Pizza Sudbury,"470 North Rd, Sudbury, MA 01776",Pizza,acton,,http://www.maxandleospizza.com/sudbury,http://www.maxandleospizza.com/sudbury/menu/,,#7a11841dd17e87202,,Contact,1
Saltbox Kitchen,"84 Commonwealth Ave, Concord, MA 01742",New American,acton,"Bright, barnlike spot serving globally inspired fare made with ingredients from Saltbox Farm.",http://www.saltboxkitchen.com/,,https://www.toasttab.com/saltbox-kitchen-concord/giftcards,/#saltbox-kitchen-contact-section,Purchase Gift Gards,"
                        Contact
                      ",1
Adelita,"1200 Main St, Concord, MA 01742",Restaurant,acton,"Mexican food from all-natural ingredients & meats sourced from a sibling farm, plus margaritas.",http://www.adelitaconcord.com/,https://www.adelitaconcord.com/menu/,https://woodshilltable.com/giftcards,,Giftcards,,1
Atlantic Sea Grill,"77 Great Rd, Acton, MA 01720",Seafood,acton,"Long-standing seafood joint offering clam chowder, lobster & grilled fish in an old-school setting.",https://atlanticseagrill.net/,http://atlanticseagrill.net/lunch-menu/,,https://atlanticseagrill.net/contact/,,Contact,1
Emma's Cafe,"117 Great Rd, Stow, MA 01775",Restaurant or cafe,acton,Locally sourced bites & health-conscious drinks in a neighborhood hangout serving breakfast all day.,http://www.emmascafestowmass.com/,,,/contact,,"
            Contact
          ",1
Gigi's Restaurant,"177 Main St, Maynard, MA 01754",Vietnamese,acton,,http://gigisrestaurant.com/,,,#contact,,Contact,1
Main Streets Market & Cafe,"42 Main St #2515, Concord, MA 01742",Restaurant,acton,Bustling haunt serving American staples like burgers & sandwiches in casual digs with live music.,http://www.mainstreetsmarketandcafe.com/,http://mainstreetsmarketandcafe.com/Our_Menus.html,,,,,1
