name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched
The Thrift Shop,"10 Bedford St, Abington, MA 02351",Thrift store,abington,,,,,,,,1
Bunch of Grapes Bookstore,"23 Main St, Vineyard Haven, MA 02568",Book store,abington,http://www.bunchofgrapes.com/,,,,/gift-card,/contact,Contact Us,1
Middlesex Community College Bookstore  Lowell,"88 Middle St, Lowell, MA 01852",Book store,abington,https://www.bkstr.com/middlesexcclowellstore/home,,,,,,,1
Brewster Book Store Inc,"2648 Main St, Brewster, MA 02631",Book store,abington,http://www.brewsterbookstore.com/,,,,,/contactus,Contact Us,1
Taproot Book Store,"1200 W Boylston St, Worcester, MA 01606",Book store,abington,https://www.taprootbookstore.com/,,,,,https://www.facebook.com/taprootbookstore,find us on FACEBOOK,1
Barnes & Noble,"769 Iyannough Rd, Hyannis, MA 02601",Book store,abington,https://stores.barnesandnoble.com/store/2092,,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.",,,,,1
Barnes & Noble,,Book store,abington,,,,,,,,1
Becker College Bookstore  Worcester,"61 Sever St Lower Level - Weller Academic Center, Worcester, MA 01609",Book store,abington,https://www.bkstr.com/beckerworcesterstore/home,,,,,,,1
Barnes & Noble,"The Shoppes at Blackstone Valley, 70 Worcester-Providence Turnpike #5, Millbury, MA 01527",Book store,abington,https://stores.barnesandnoble.com/store/2206,,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.",,,,,1
Eight Cousins Books,"189 Main St, Falmouth, MA 02540",Book store,abington,http://www.eightcousins.com/,,,Eight Cousins Gift Card,/eight-cousins-gift-card,https://visitor.r20.constantcontact.com/manage/optin?v=001UYKiRe5OVrmYA35pzf5aONB6qk1Rth-dT9cRPduXFD_eyXf-O3PLM3WaFEmmG1eKO5wbJ98RajusbJI3JimHrL-pqm1GPsJX6bF59SrwdJ4%3D,SIGN UP FOR NEWSLETTERS,1
Morning Star Bookstores ,"375 Harvard St, Leominster, MA 01453",Christian book store,abington,https://www.morningstarbookstore.com/leominster/,,,PURCHASE A GIFT CERTIFICATE,/shop,/leominster#ContactForm,"  

Send Message
",1
Barnes & Noble,"120 Watertower Plaza, Leominster, MA 01453",Book store,abington,https://stores.barnesandnoble.com/store/2903,,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.",,,,,1
Bookstore & Restaurant,"50 Kendrick Ave, Wellfleet, MA 02667",Book store,abington,http://www.wellfleetoyster.com/,http://wellfleetoyster.com/,Quirky family-run eatery with a bookstore attached serves casual seafood & inventive cocktails.,,,https://www.wellfleetoyster.com/contact/,Contact,1
Annie's Book Stop,"65 James St, Worcester, MA 01603",Book store,abington,http://anniesbooksworcester.com/,,,,,http://anniesbooksworcester.com/Annies_Book_Stop_Contact_Us_Worcester_MA.html,Contact Us,1
Booklovers' Gourmet,"#A, 55 East Main Street, Webster, MA 01570",Book store,abington,http://www.bookloversgourmet.com/,,,,,http://bookloversgourmet.com/contact-us/,Contact Us,1
Jabberwocky Bookshop,"50 Water St #22, Newburyport, MA 01950",Book store,abington,http://www.jabberwockybookshop.com/,,,,,,,1
Where the Sidewalk Ends Bookstore,"432 Main St, Chatham, MA 02633",Book store,abington,http://www.booksonthecape.com/,,,Gift Certificates,/gift-certificates,/contact,Contact,1
Charity Guild Food Pantry,"404 N Main St, Brockton, MA 02301",Thrift store,abington,http://www.thecharityguild.org/,,,,,https://visitor.r20.constantcontact.com/d.jsp?llr=l5osit8ab&p=oi&m=1129149184971&sit=6ou7it7lb&f=8ba4bc7f-65eb-492d-8027-c53104de0b87,,1
