name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched
Burlington,"200 Westgate Dr #136, Brockton, MA 02301",Clothing store,abington,https://www.burlington.com/,,," 
buy gift cards
",/gift-cards,,,1
Aeropostale,"200 Westgate Dr, Brockton, MA 02301",Clothing store,abington,https://www.aeropostale.com/storedetails/?StoreID=759&utm_source=gmb&utm_medium=organic,,Trendy retail chain selling casualwear & accessories for young adults (some focus on kids' apparel).,Gift Cards,/gift-card-main/egift-card-lp.html/?content=footer,https://www.aeropostale.com/customer-service/contact-us/contact-us-main.html,Contact Us,1
Blouse House,"23 Commercial Way, Hanson, MA 02341",Clothing store,abington,https://www.blousehouse.com/,,,Gift Cards,/products/gift-card,/pages/contact-us,Contact us,1
Bob's Stores Footwear & Apparel,"100 Mazzeo Dr, Randolph, MA 02368",Clothing store,abington,http://www.bobstores.com/store-details?StoreID=013,,"Chain retailer supplying work & casualwear, plus shoes & licensed team merchandise.",,,/contact,Contact Us,1
Marshalls,"135 Pearl St, Braintree, MA 02184",Clothing store,abington,https://www.marshalls.com/,,"Retail chain offering brand-name clothing, accessories, shoes & housewares.",,https://marshalls.cashstar.com/store/recipient?locale=en-us,https://www.marshalls.com/us/store/jump/topic/Contact-Us/3200004,Contact Us,1
Clouzet Designs,"300 Union St, Rockland, MA 02370",Boutique,abington,,,,,,,,1
Breakwater Blue,,Beach clothing store,abington,http://www.breakwaterblue.com/,,,Gift Cards,https://www.breakwaterblue.com/product.asp?itemid=219,crm.asp?action=contactus,Contact Us,1
Macy's,,Clothing store,abington,,,,,,,,1
Men's Wearhouse,"1264 Washington St, Hanover, MA 02339",Men's clothing store,abington,https://www.menswearhouse.com/store-locator/5113?utm_source=google&utm_medium=listing&utm_content=5113&utm_campaign=MA,,"Menswear chain offering brand-name formal & casual attire, shoes & accessories, plus tuxedo rentals.",Gift Cards,https://www.menswearhouse.com/gift-cards,https://www.menswearhouse.com/support,Contact Us,1
Madewell,"94 Derby Street Space #255, Hingham, MA 02043",Clothing store,abington,https://stores.madewell.com/en/derby-street-shoppes,,"Chain featuring stylish apparel for women, including denim jeans, plus accessories, shoes & bags.",Gift Card,https://www.madewell.com/giftcard,https://www.madewell.com/contact-us.html,Contact Us,1
NICZOE,,Women's clothing store,abington,,,,,,,,1
American Eagle & Aerie Store,"98 Derby St Building 4, Space 413, Hingham, MA 02043",Clothing store,abington,http://storelocations.ae.com/us/ma/hingham/94-derby-street.html,,"Chain selling trendy casualwear, shoes, accessories & loungewear for guys & girls.",,,,,1
Family Dollar,"611 Washington St, Whitman, MA 02382",Clothing store,abington,https://www.familydollar.com/locations/ma/whitman/26646/,,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",Gift Cards,//www.familydollar.com/party-supplies-gift-wrap/gift-cards-fd,//www.familydollar.com/contact-family-dollar,Contact Us,1
JB Pride Uniforms,"1471 Main St, South Weymouth, MA 02190",Uniform store,abington,https://www.jbprideuniforms.com/,,,,,https://www.jbprideuniforms.com/uniforms/content/contact-us,Contact,1
CHEZ ELLE BOUTIQUE,"117 Legion Pkwy, Brockton, MA 02302",Clothing store,abington,https://chez-elle-boutique.business.site/,,,,,,Contact,1
CHOOK CLOTHING,"171 Brockton Ave, Abington, MA 02351",Clothing store,abington,,,,,,,,1
Skynet,,Clothing store,abington,,,,,,,,1
Brandy Melville  Hingham,"94 Derby St #269, Hingham, MA 02043",Women's clothing store,abington,http://www.brandymelville.com/,,,,,,,1
Target,"1167 Washington St, Hanover, MA 02339",Clothing store,abington,https://www.target.com/sl/hanover/2532,,"Retail chain offering home goods, clothing, electronics & more, plus exclusive designer collections.",Gift Cards,/c/gift-cards/-/N-5xsxu,,,1
Work 'N Gear,"1810 Washington St, Hanover, MA 02339",Work clothes store,abington,http://www.workngear.com/,,"Retailer of workwear, shoes & more for use in security, industrial & health-care environments.",,,/contactus,"



									Need
								
								    Help
								

",1
White House Black Market,"98 Derby St Suite 251, Hingham, MA 02043",Clothing store,abington,https://www.whitehouseblackmarket.com/store/,,"Women's apparel chain supplying modern dresses, separates & workwear, primarily in black & white.",Gift Cards,/store/page/the-perfect-gift-white-house-black-market/117509275,/store/page/contact-us/22,Contact Us,1
Burlington,"705 Granite St, Braintree, MA 02184",Clothing store,abington,https://www.burlington.com/,,," 
buy gift cards
",/gift-cards,,,1
Casual Male XL,"1410 Washington St, Hanover, MA 02339",Men's clothing store,abington,https://stores.dxl.com/us/ma/hanover/1410-washington-street,,"Retail chain for men's casualwear, brand-name suits & shoes in a wide selection of larger sizes.",Buy Gift Cards,"https://www.dxl.com/mens-big-and-tall-store/Gift-Cards/cat190007
","https://www.dxl.com/mens-big-and-tall-store/static/customerservice
",Contact Us,1
AE Sports,"700 Bedford St, Abington, MA 02351",Sporting goods store,abington,,,,,,,,1
Men's Wearhouse,"44 Granite St, Braintree, MA 02184",Men's clothing store,abington,https://www.menswearhouse.com/store-locator/5115?utm_source=google&utm_medium=listing&utm_content=5115&utm_campaign=MA,,"Menswear chain offering brand-name formal & casual attire, shoes & accessories, plus tuxedo rentals.",Gift Cards,https://www.menswearhouse.com/gift-cards,https://www.menswearhouse.com/support,Contact Us,1
Nordstrom Rack Marketplace at Braintree,"200 Grossman Dr Suite 102, Braintree, MA 02184",Clothing store,abington,https://stores.nordstromrack.com/us/ma/braintree/200-grossman-drive?utm_source=google&utm_medium=organic&utm_campaign=rack&utm_content=553&utm_channel=low_nd_seo_local&sp_source=google&sp_campaign=rack,,,Gift Cards,https://rack.giftcard.nordstrom.com/,https://www.nordstromrack.com/contactus,Contact Us,1
Family Dollar,"366 Market St, Rockland, MA 02370",Clothing store,abington,https://www.familydollar.com/locations/ma/rockland/23837/,,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",Gift Cards,//www.familydollar.com/party-supplies-gift-wrap/gift-cards-fd,//www.familydollar.com/contact-family-dollar,Contact Us,1
TJ Maxx & HomeGoods,"180 Pearl St, Braintree, MA 02184",Clothing store,abington,https://tjmaxx.tjx.com/store/index.jsp,,"Retail chain featuring stylish brand-name apparel, shoes & accessories, plus housewares.",,,,,1
Burlington,"233 Broad St, Bridgewater, MA 02324",Clothing store,abington,https://www.burlington.com/,,," 
buy gift cards
",/gift-cards,,,1
Ocean State Job Lot,"360 Market St, Rockland, MA 02370",Clothing store,abington,https://www.oceanstatejoblot.com/store-details?storeid=218,,"Retail chain for home goods, apparel, grocery items & more at closeout prices.",,,,,1
MARC ALLEN NEW ENGLAND,"150 State St 3rd floor, Boston, MA 02109",Custom tailor,abington,http://manewengland.com/,,,,,https://www.manewengland.com,Contact,1
Trunk Club,"501 Boylston St #3102, Boston, MA 02116",Clothing store,abington,https://www.trunkclub.com/clubhouse/boston?c=RM_GMB_Boston_LocalListing&utm_source=RM&utm_medium=GMB&utm_content=boston&utm_campaign=LocalListing,,Personal stylists assist customers in choosing designer casualwear at this upscale outfitter.,"
                  Gift Cards
                ",/gift-cards,/contact,"

Contact

",1
Primark,"250 Granite St, Braintree, MA 02184",Clothing store,abington,https://stores.primark.com/united-states/braintree/250-granite-street,,"Discount fashion chain offering clothes and accessories for all ages, plus homewares.",Buy Gift Card,https://www.primark.com/en/about-us/gift-card,,,1
