name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched
Neet Nails,"376 Washington St # 3, Norwell, MA 02061",Nail salon,abington,http://www.neetnails.com/,,,,,/contact-us.html,"
				Contact Us...
			",1
Hollywood Nails,"454 Washington St Ste 6, Norwell, MA 02061",Nail salon,abington,,,,,,,,1
MANE EVENT MOBILE,,Beauty salon,abington,,,,,,,,1
Blink Eyelash Extensions Studio Boutique and Bar,"68 Webster St, Hanover, MA 02339",Beauty salon,abington,http://www.blinklashextensions.com/,,,,,/eyelash-extensions-hanover-ma-south-shore-contact-us.html,"
				Contact
			",1
Creative Nails & Spa,"6 Grove St A, Norwell, MA 02061",Nail salon,abington,https://creativenailsspa-nailsalon.business.site/,,,,,,Contact,1
Vina Nails and Spa,"326 N Main St, Randolph, MA 02368",Nail salon,abington,http://vinanailsandspa.com/,,,,,contact.php,,1
Nickelle Beauty Salon & Boutique,"160 Summer St k2, Kingston, MA 02364",Beauty salon,abington,http://www.nickellebeauty.com/,,,Buy a gift card,https://nickellebeauty.salontarget.com/egift/?guestonly=guestonly,/contact,"
            Contact
          ",1
Supercuts Belmont Plaza,"1285 Belmont St #5a, Brockton, MA 02301",Beauty salon,abington,https://www.supercuts.com/locations/ma/brockton/belmont-plaza-haircuts-80633.html,,,"
												Gift Cards ",/gift-cards.html,#,Store Contact Number,1
Supercuts,"333 Columbia Rd, Hanover, MA 02339",Hair salon,abington,https://www.supercuts.com/locations/ma/hanover/columbia-road-haircuts-8700.html,,,"
												Gift Cards ",/gift-cards.html,#,Store Contact Number,1
Miranda pet grooming salon,"24 Rutland Square, Brockton, MA 02301",Hair salon,abington,,,,,,,,1
DNA Skin Care,,Facial spa,abington,,,,,,,,1
John's Barber Shop,"196 Union St, Rockland, MA 02370",Hair salon,abington,,,,,,,,1
LA Hair Design,"1280 Main St, Hanson, MA 02341",Hairdresser,abington,http://lahair.co/,,,Buy Now,https://lahairdesign.salontarget.com/egift?guestonly ,/contact-us,Contact Us,1
Rebel Hair Studio,"124 Washington St, Norwell, MA 02061",Hair salon,abington,http://rebelhairstudionorwell.com/,,,,,,contact,1
Salon S209,,beauty_salons,abington,,,,,,,,1
Salon 605,"605 Great Rd, Stow, MA 01775",Beauty salon,acton,https://www.salonsix0five.com/,,,,,mailto:salon605@gmail.com,Contact Me,1
