name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched
Zumiez,"THE MALL OF VICTOR VALLEY, 14400 Bear Valley Rd #609, Victorville, CA 92392",Clothing store,adelanto,"Chain retailer offering trendy, brand-name clothing & shoes, plus gear for skate- & snowboarders.",http://www.zumiez.com/storelocator/store/index/id/951/us/ca/victorville/the-mall-of-victor-valley?utm_source=google+my+business&utm_medium=organic&utm_content=the+mall+of+victor+valley&utm_campaign=store+locations,,https://www.zumiez.com/gift-cards.html,https://www.zumiez.com/help/contact-us/,"
                            Gift Cards                        ",Contact Us,1
Solo Wear,"14400 Bear Valley Rd Ste 921, Victorville, CA 92392",Clothing store,adelanto,,http://www.themallofvictorvalley.com/Directory/Details/210925,,,/Contact,,CONTACT US,1
Marshalls,"12787 Main St, Hesperia, CA 92345",Clothing store,adelanto,"Retail chain offering brand-name clothing, accessories, shoes & housewares.",https://www.marshalls.com/,,https://marshalls.cashstar.com/store/recipient?locale=en-us,https://www.marshalls.com/us/store/jump/topic/Contact-Us/3200004,,Contact Us,1
The Children's Place,"14400 Bear Valley Rd, Victorville, CA 92392",Children's clothing store,adelanto,"Upbeat retail chain carrying a range of trendy clothing, accessories & footwear for babies & kids.",https://www.childrensplace.com/us/store/themallofvictorvalley-victorville-CA-111653,,,,,,1
NANCY'S BOUTIQUE,"14400 Bear Valley Rd #237, Victorville, CA 92392",Clothing store,adelanto,,,,,,,,1
rue21,"12799 Main St #230, Hesperia, CA 92345",Clothing store,adelanto,Retail brand offering fashion-forward clothing & accessories for young men & women.,https://stores.rue21.com/ca/hesperia/12799-main-st.html/?utm_source=gmb&utm_medium=localsearch&utm_campaign=881,,https://www.rue21.com/store/gift-cards?ici=footer_global&icn=GiftCardsEGiftCards,https://www.rue21.com/store/jump/static/Contact-Us/contact?ici=footer_global&icn=ContactUs, Gift Cards,Contact Us,1
Lane Bryant,,Plus size clothing store,adelanto,,,,,,,,1
Casa Rodeo Boots,"12353 Mariposa Rd f16, Victorville, CA 92395",Clothing store,adelanto,,https://instagram.com/casarodeoboots?igshid=143liiojpr1nr,,,,,,1
Infinite Styles,"17993 CA-18, Apple Valley, CA 92307",Clothing store,adelanto,,,,,,,,1
Hollister Co,"14400 Bear Valley Rd #333, Victorville, CA 92392",Clothing store,adelanto,Trendy chain retailer with Southern California-inspired apparel & accessories aimed at young adults.,https://www.hollisterco.com/shop/us/clothing-stores/US/Victorville/CA/31101,,,,,,1
