name,website,gift_card_txt,gift_card_website,contact_txt,contact_website
Sweet Basil,http://sweetbasilneedham.com,,/cookbook.html,,
Spiga,https://www.spigaristorante.com,,,Contact Us Every Day,https://www.spigaristorante.com/copy-of-contact-us
Cappella Restaurant,http://cappellarestaurant.com,Gift Cards,https://www.toasttab.com/cappella-restaurant/giftcards,Location | Hours,https://cappellarestaurant.com/contact-cappella-needham-italian-cuisine/
Blue On Highland,https://blueonhighland.com,,,Contact,https://blueonhighland.com/contact/
Three Squares Craft Kitchen & Cocktails,http://threesquaresneedham.com,GIFT CARDS,http://threesquaresneedham.com/gift-cards/,CONTACT US,http://threesquaresneedham.com/contact-us/
Dragon Chef,http://dragonchef1.com,,,Contact Us,http://www.dragonchef1.com/contactus.html
Hearth Pizzeria,http://hearthpizzeria.com,"
Purchase Giftcards!
",https://www.toasttab.com/hearth-pizza-needham/giftcards,CONTACT,http://hearthpizzeria.com/contact/
The Rice Barn,https://thericebarn.net,,,"
            Contact
          ",/contact
Mandarin Cuisine,https://mandarincuisine.com,,,Contact,contact.shtml
Gari Japanese Fusion Bistro,http://garifusion.com,,https://swipeit.com/product/737/gari-japanese-fusion-bistro/in/Restaurant-Gift-Cards,,
Ray's New Garden,https://www.raysnewgarden.com/,Buy Gift Card,https://www.toasttab.com/rays-new-garden/giftcards,Contact Us >,mailto:raysnewgarden@gmail.com?subject=Information Request
Brothers Pizza & Restaurant,https://www.brothersneedham.com,,,,
Cook Needham,http://www.cookneedham.com/,Gift Cards,http://www.cookneedham.com/gift-cards/,Contact,http://www.cookneedham.com/contact/
The Farmhouse,https://www.thefarmhouseneedham.com/,Gift Cards,https://www.thefarmhouseneedham.com/shop,Contact Us,https://www.thefarmhouseneedham.com/contact-us
Fresco,https://fresconeedham.com/,,,Contact,https://fresconeedham.com/contact/
The James,https://www.thejamespub.com/,"
            Gift Cards
          ",/gift-cards,"
            Find us
          ",/findus
Fuji Steak House Needham,https://www.fujisteakhouseneedham.com/,Gift Certificate ,/Gift,Contact Us ,/Contact
Town House of Pizza,https://www.townhouseofpizza.com/,,,"
															Contact Us
														",contact-us.html
Comella's,https://www.comellasrestaurants.com/,Gift Cards,/gift-cards,Contact Us ,/contact
Nicholas' Pizzeria,https://www.nicholaspizzeria.com/,,,Contact,contact.html
