name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched
Hair By Sunnie,"13295 Spring Valley Pkwy suite f, Victorville, CA 92395",Beauty salon,adelanto,,http://www.sunniesalon.com/,,,http://www.sunniesalon.com/contact-us/,,Contact Us,1
Belleza por Melito,"12611 Geronimo Ave, Victorville, CA 92395",Beauty salon,adelanto,,,,,,,,1
Special Effects Hair Salon,"12027 1887, Hesperia Rd STE G, Hesperia, CA 92345",Beauty salon,adelanto,,,,,,,,1
Tangles,"12421 Hesperia Rd #16, Victorville, CA 92395",Beauty salon,adelanto,,http://www.tangleshair.net/,,,https://www.tangleshair.net/contact-us/,,Contact Us,1
Creative Hair & Nail Design,"18843 Outer Hwy 18 S, Apple Valley, CA 92307",Beauty salon,adelanto,,,,,,,,1
Riahn Hair & Nail Salon,"13295 Spring Valley Pkwy, Victorville, CA 92395",Hair salon,adelanto,,,,,,,,1
Holy Nails,"13622 Bear Valley Rd b3, Victorville, CA 92392",Nail salon,adelanto,,,,,,,,1
The Loft Nails,"17993 CA-18 STE 6, Apple Valley, CA 92307",Nail salon,adelanto,,,,,,,,1
Classic Nails,"16137 Green Tree Blvd #3, Victorville, CA 92395",Nail salon,adelanto,,,,,,,,1
ChipNNails,,Nail salon,adelanto,,,,,,,,1
Bella Mia Salon,"16727 Bear Valley Rd, Hesperia, CA 92345",Beauty salon,adelanto,,,,,,,,1
SmartStyle Hair Salon,"13401 Main St, Hesperia, CA 92345",Beauty salon,adelanto,,https://www.smartstyle.com/en-us/locations/ca/hesperia/located-inside-walmart-4340-haircuts-18827.html,,/en-us/gift-cards.html,#,Gift Cards,Store Contact Number,1
Desert Beauty Facial Rejuvenation,"18564 CA-18 #200, Apple Valley, CA 92307",Beauty salon,adelanto,,http://www.desertbeautyfacial.com/#!contact/c15n8,,,,,,1
Janine Lauder Hair Curly Girl Devacurl Trained Stylist  Hairvana in salon18suites,"18564 Outer Hwy 18 N, Apple Valley, CA 92307",Beauty salon,adelanto,,http://www.janinelauder.com/,,,contact.html,,"

c o n t a c t
",1
Lee Nails,"14400 Bear Valley Rd, Victorville, CA 92392",Nail salon,adelanto,,,,,,,,1
Spotted Unable,"13738 Bear Valley Rd, Victorville, CA 92392",Nail salon,adelanto,,,,,,,,1
FlawLess Stylz By Pri,,Hair salon,adelanto,,,,,,,,1
New Envy Hair,"14725 7th St #1100, Victorville, CA 92395",Hair salon,adelanto,,,,,,,,1
Strands Hair & Co,"12402 Industrial Blvd # A3, Victorville, CA 92395",Beauty salon,adelanto,,,,,,,,1
Teresa's Beauty Salon,"9546 5th Ave, Hesperia, CA 92345",Beauty salon,adelanto,,,,,,,,1
LUX Eyebrow Threading & Beauty Salon,"17003 Bear Valley Rd suite b, Hesperia, CA 92345",Beauty salon,adelanto,,,,,,,,1
Talking Heads Hair & Nail Salon,"12180 Ridgecrest Rd STE 108, Victorville, CA 92395",Nail salon,adelanto,,,,,,,,1
Lil'd's Hair & Nail Salon,"18361 Bear Valley Rd # 4, Hesperia, CA 92345",Beauty salon,adelanto,,,,,,,,1
Victorville Lashes,,Beauty salon,adelanto,,,,,,,,1
Jeremy Christopher's,"12180 Ridgecrest Rd # 202B, Victorville, CA 92395",Beauty salon,adelanto,,,,,,,,1
wonderful beauty supply,"15048 7th St B, Victorville, CA 92395",Beauty salon,adelanto,,,,,,,,1
Estilo Latino Beauty Salon,"16005 Main St STE F, Hesperia, CA 92345",Beauty salon,adelanto,,,,,,,,1
Hair and Nail Republic Beauty SalonEducational Center,"17003 Bear Valley Rd, Hesperia, CA 92345",Beauty salon,adelanto,,http://www.hairandnailrepublic.com/,,https://squareup.com/gift/K7K7HPQ3ZAMB5/order,/contact,Buy Now,Contact,1
Pleasant Beauty,"12192 Hesperia Rd, Victorville, CA 92395",Nail salon,adelanto,,,,,,,,1
EYEBROW R US,"12715 Main St SUITE 710, Hesperia, CA 92344",Beauty salon,adelanto,,http://www.hesperiaeyebrow.com/,,,https://applevalleyeyebrow.com/contact-us,,Contact Us,1
Alvin's nails and spa,"19063 Outer Hwy 18 S Suite 104, Apple Valley, CA 92307",Nail salon,adelanto,,,,,,,,1
Fantastic Sams Cut & Color,"14880 Dale Evans Pkwy #910, Apple Valley, CA 92307",Hair salon,adelanto,,https://www.fantasticsams.com/about/regions/los-angeles-ca/fantastic-sams-apple-valley-ca,,/gift-card,/contact,Gift Cards, Contact Us,1
