name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched
Wendy's,"14181 Us Hwy 395, Victorville, CA 92392",Fast Food,adelanto,Fast-food burger chain serving sides such as chili & baked potatoes.,https://locations.wendys.com/united-states/ca/victorville/14181-us-hwy-395?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search,https://menu.wendys.com/en_US/categories/?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search,http://www.wendysgiftcards.com/#/home,https://www.wendys.com/contact-us,gift card portal.,Contact page,1
Americano Mexican Cajun Grill,"11272 Palmdale Rd, Adelanto, CA 92301",Restaurant,adelanto,,,,,,,,1
Panda Express,"14361 US-395, Victorville, CA 92394",Chinese,adelanto,"Fast-food chain for Chinese standards, including some health-conscious options.",https://www.pandaexpress.com/userlocation/1622/CA/Victorville/14361-Highway-395,https://www.pandaexpress.com/menu/entrees,/giftcards,/contactus,Gift Cards,Contact Panda,1
Subway,"14148 Hwy 395, Suite 3A, Adelanto, CA 92301",Sandwich,adelanto,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",https://order.subway.com/en-us/restaurant/39979/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=39979&utm_campaign=evergreen-2020,https://order.subway.com/en-us/restaurant/39979/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acquisition&utm_content=39979&utm_campaign=yxt-restaurant-listing-allyear-2020&cid=0:tx:0:swy-web:0:0&segment_code=0,,,,,1
El Pollo Loco,"12294 Palmdale Rd, Victorville, CA 92392",Mexican,adelanto,Fast-food chain outpost known for Mexican classics made with fire-grilled chicken.,http://www.elpolloloco.com/locations/store/3766,,/gift-cards/,/contact-us/,Gift Cards,Contact Us,1
Long John Silver's,"14258 US-395, Adelanto, CA 92301",Fast Food,adelanto,"Counter-serve chain offering fried fish & seafood combos, plus chicken & sides.",https://www.ljsilvers.com/,http://places.singleplatform.com/kfc-long-john-silvers-2/menu?ref=google,,,,,1
LU'S KITCHEN 395,"11336 Bartlett Ave#1, Adelanto, CA 92301",Restaurant,adelanto,,,,,,,,1
Burger King,"12077 Palmdale Rd, Victorville, CA 92392",Fast Food,adelanto,"Well-known fast-food chain serving grilled burgers, fries & shakes, plus breakfast.",https://burgerking.com/store-locator/store/restaurant_5245,http://www.bk.com/menu,,,,,1
Lee's Donuts,"12091 Air Expy, Adelanto, CA 92301",Donuts,adelanto,,,,,,,,1
McDonald's,"12254 Palmdale Rd, Victorville, CA 92392",Fast Food,adelanto,"Classic, long-running fast-food chain known for its burgers, fries & shakes.",https://www.mcdonalds.com/us/en-us/location/CA/VICTORVILLE/12254-PALMDALE-ROAD/36734.html?cid=RF:YXT:GMB::Clicks,https://www.mcdonalds.com/us/en-us/full-menu.html?cid=RF:YXT_LS:SI::MGBM,,/us/en-us/contact-us.html,,Contact Us,1
Delicious Tacos & More Catering Services,"12002 Air Expy, Adelanto, CA 92301",Grill,adelanto,,,,,,,,1
Dunagan's Market,"11913 Bartlett Ave, Adelanto, CA 92301",Restaurant,adelanto,,"https://www.google.com/search?q=dunagan's+market+adelanto&ie=utf-8&oe=utf-8#q=dunagan%27s%20market%20adelanto&tbs=lf:1,lf_ui:2&rflfq=1&rlha=0&tbm=lcl&rlfi=hd:;si:8002406795175049903",,,,,,1
Domino's Pizza,"12274 Palmdale Rd, Victorville, CA 92392",Pizza Delivery,adelanto,Delivery/carryout chain offering a wide range of pizzas & a variety of other dishes & sides.,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,https://www.dominos.com/en/pages/order/menu.jsp?utm_source=locallistings&utm_medium=loclist&utm_campaign=localmapsmenuclick#/menu/category/viewAll/,,,,,1
Denny's,"11824 Air Expy, Adelanto, CA 92301",Fine Dining,adelanto,,,,,,,,1
Long John Silver's,"14258 US-395, Adelanto, CA 92301",Seafood,adelanto,"Counter-serve chain offering fried fish & seafood combos, plus chicken & sides.",https://www.ljsilvers.com/store-locator/,,,,,,1
Sakura Sushi Bar & Grill,"2408 Santa Clara Ave, Alameda, CA 94501",Sushi,alameda,,http://www.sakuraalameda.com/,http://www.sakuraalameda.com/,,,,,1
