name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched,state,zipcode,store_type
Fashion Fun Pop,"560 Washington St, Whitman, MA 02382",Clothing store,Whitman,http://www.fashionfunpop.com/,,,"
        Gift Card
      ",http://www.fashionfunpop.com/collections/gift-card,http://www.fashionfunpop.com/pages/contact-us,Contact Us,1,MA,02382,clothing_store
Calico,"173 Union St, New Bedford, MA 02740",Women's clothing store,New Bedford,https://www.shopcalico.com/,,"Womenswear boutique featuring a stylish inventory of casualwear, including jeans, shoes & jewelry.","
       The Perfect Gift  👇
     ",https://www.shopcalico.com/products/shopcalico-com-online-gift-card,https://www.shopcalico.com/pages/contact-us,Contact Us,1,MA,02740,clothing_store
Nature's Closet,"61 Spring St, Williamstown, MA 01267",Clothing store,Williamstown,http://www.naturescloset.net/,,,Gift Cards,http://naturescloset.net/gift-cards/,http://naturescloset.net/contact/,Connect,1,MA,01267,clothing_store
Helena's,"397 Massachusetts Ave, Arlington, MA 02474",Clothing store,Arlington,https://ilovehelenas.com/,,Chic boutique catering to women wanting stylish wear that can be worn every day & anywhere.,,https://ilovehelenas.com/designers2.html,https://ilovehelenas.com/contact.html,,1,MA,02474,clothing_store
Creative Connections,"56 Main St #1242, Ashburnham, MA 01430",Gift shop,Ashburnham,http://www.ccgiftgallery.com/,,,Gift Certificates,http://www.ccgiftgallery.com/giftcertificates.php,http://www.ccgiftgallery.com/contact-us/,Contact Us,1,MA,01430,clothing_store
Cathy Cross,"151 Main St, Northampton, MA 01060",Women's clothing store,Northampton,http://www.cathycrossfashion.com/,,,Gift Cards,http://www.cathycrossfashion.com/gift-cards/,http://www.cathycrossfashion.com/contact-us/,Contact Us,1,MA,01060,clothing_store
Phoenix Trading Company,"92 Blandin Ave Unit J2, Framingham, MA 01702",Plus size clothing store,Framingham,http://www.phoenixtradingcompany.com/,,,Gift Certificates,http://www.phoenixtradingcompany.com/giftcertificates.php,http://www.phoenixtradingcompany.com/contact-us/,Contact Us,1,MA,01702,clothing_store
This Beautiful Dust,"159 Main St, Groton, MA 01450",Boutique,Groton,http://saltandlight.cafe/,,,"
        Buy A Gift Card
      ",https://www.toasttab.com/salt-light-cafe-bistro/giftcards,,,1,MA,01450,clothing_store
Dandelions LLC,"531 Summer St, Barre, MA 01005",Gift shop,Barre,http://www.dandelionsonline.com/,,,Gift Cards,http://www.dandelionsonline.com/collections/gift-cards,http://www.dandelionsonline.com/pages/978-257-8064,Contact Us,1,MA,01005,clothing_store
Railriders Sportswear,"70 Trapelo Rd, Belmont, MA 02478",Sportswear store,Belmont,https://www.railriders.com/,,,Gift Cards,https://www.railriders.com/men-outdoor-clothing-gift-cards-c-104_107.html,https://www.railriders.com/mailto:info@railriders.com,contact us,1,MA,02478,clothing_store
Too Tempted,"444 Common St, Belmont, MA 02478",Women's clothing store,Belmont,http://www.shoptootempted.com/,,,GIFT CARDS,http://www.shoptootempted.com/products/gift-card,,,1,MA,02478,clothing_store
Altiplano,"42 Elliot St, Brattleboro, VT 05301",Boutique,Brattleboro,http://www.altiplano.com/,,"Flagship store selling Guatemalan-inspired jewelry, accessories & decor by Shari Zarin.",Gift Certificates,http://www.altiplano.com/giftcertificates.php,https://altiplano.com/contact-1/,contact,1,VT,05301,clothing_store
Green Mountain Diapers,"74 Cotton Mill Hill A220, Brattleboro, VT 05301",Baby store,Brattleboro,http://www.greenmountaindiapers.com/,,,"
          Gift Cards",http://www.greenmountaindiapers.com/pages/gift-certificate,http://www.greenmountaindiapers.com/pages/contact-us,"
          Contact Us",1,VT,05301,clothing_store
Beaux Biens Beverly,"269 Cabot St, Beverly, MA 01915",Clothing store,Beverly,http://beauxbiens.com/,,,Gift Card,http://beauxbiens.com/products/beaux-biens-gift-card,http://beauxbiens.com/pages/contact-us,Contact Us,1,MA,01915,clothing_store
Breakmark,"7 Ferguson Rd, Wilmington, MA 01887",Clothing store,Wilmington,https://www.breakmark.com/,,,Gift Cards,https://www.breakmark.com/giftcertificates.php,https://breakmark.com/contact-us/,"
Contact Us
",1,MA,01887,clothing_store
Banana Republic Factory Store,"50 Water St, Lee, MA 01238",Clothing store,Lee,http://www.bananarepublic.gap.com/,,,Check Gift Card Balances,"http://www.bananarepublic.gap.com/customerService/info.do?cid=61830&mlink=5001,9222156,quickgift&clink=9222156",,,1,MA,01238,clothing_store
Sassy You Boutique,"369 W Main St, Northborough, MA 01532",Clothing store,Northborough,http://sassyyou.com/,,,Sassy Gift Card,http://sassyyou.com/products/gift-card,http://sassyyou.com/pages/contact-us,Contact Us,1,MA,01532,clothing_store
No Rest For Bridget Boston,"220 Newbury St, Boston, MA 02116",Women's clothing store,Boston,http://www.norestforbridget.com/,,"Boutique selling trendy, casual & fun styles of women's clothing, shoes, jewelry & accessories.","
Gift Cards
",http://www.norestforbridget.com/collections/gift-cards,http://www.norestforbridget.com/pages/contact-us,"
Contact Us
",1,MA,02116,clothing_store
