name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,state,zipcode,store_type
Tryst,"689 Massachusetts Ave, Arlington, MA 02476",New American,Arlington,"Its name is the menu theme at this bistro offering New American plates, sleek digs & a popular bar.",http://www.trystrestaurant.com/,,https://www.trystrestaurant.com/gift-card,,Gift Card,,MA,02476,restaurant
Sugo Cucina Italiana,"162 Massachusetts Ave, Arlington, MA 02474",Italian,Arlington,,http://sugomia.com/,http://sugomia.com/dinner-menu/,http://sugomia.com/2015/12/01/christmas-at-sugo/,http://sugomia.com/find-us/,Gift Certificates,"Map, Hours, Reservations and Info",MA,02474,restaurant
The Tavern on Central,"3 Central St, Ashburnham, MA 01430",Pub,Ashburnham,,http://www.thetavernoncentral.com/,http://www.thetavernoncentral.com/Pages/Menu.aspx?DeptID=0,https://www.toasttab.com/tavern-on-central-mcnallys-north-tavern-on-central/giftcards ,,Gift Cards,,MA,01430,restaurant
The 1761 Old Mill,"69 State Rd E, Westminster, MA 01473",American,Westminster,"Venerable, family-run place serving American fare in a rustic mill dating from 1761.",http://www.1761oldmill.com/,http://www.1761oldmill.com/,http://www.1761oldmill.com/gift-cards.html,http://www.1761oldmill.com/contact.html,Gift Cards,Contact,MA,01473,restaurant
Blueprint,"10 Village Square, Westminster, MA 01473",Grill,Westminster,,http://blueprintamerican.com/,http://www.blueprintamerican.com/Pages/Menu.aspx?DeptID=0,https://www.toasttab.com/blueprint/giftcards,,Gift Cards,,MA,01473,restaurant
Parker's Maple Barn,"1316 Brookline Rd, Mason, NH 03048",Breakfast,Mason,"Rustic restaurant for New England-style breakfast & lunch, plus a maple sugar–focused gift shop.",http://www.parkersmaplebarn.com/,http://places.singleplatform.com/parkers-maple-barn/menu?ref=google,https://parkersmaplebarn.com/index.php?cPath=25&osCsid=ifj8imhe717tckkh2mdboo1363,http://www.parkersmaplebarn.com/contact.php,Gift Cards,Home,NH,03048,restaurant
Townsend Pizza,"330 Townsend St, San Francisco, CA 94107",Pizza,San Francisco,,https://www.slicesusa.com/,http://places.singleplatform.com/slices-59/menu?ref=google,https://www.slicesusa.com/gift-cards/,,Gift Cards,,CA,94107,restaurant
Chrysanthi's Restaurant,"204 Rte 13, Brookline, NH 03033",Greek,Brookline,"Cozy kitchen with a country feel & booth seating featuring Greek, Italian & American cuisines.",http://www.chrysanthisrestaurant.com/,http://places.singleplatform.com/chrysanthis-restaurant/menu?ref=google,https://chrysanthisrestaurant.com/gift-cards/,http://www.chrysanthisrestaurant.com/#footer,Gift Cards,Contact Us,NH,03033,restaurant
Mexico City Taqueria,"1 W Union St, Ashland, MA 01721",Mexican,Ashland,"Convivial, family-owned restaurant supplying familiar Mexican specialties, plus beer & margaritas.",http://www.mexicocitytaqueria.com/,http://www.mexicocitytaqueria.com/menu.html,https://swipeit.com/product/2028/mexico-city-taqueria,https://www.mexicocitytaqueria.com/contact-reservations,Order Gift Cards,Contact Us,MA,01721,restaurant
Doragon Ramen,"1 W Union St, Ashland, MA 01721",Restaurant,Ashland,,https://www.doragonramen.com/,https://www.doragonramen.com/menus,https://swipeit.com/product/1677/noodle-city,https://www.doragonramen.com/contact-us,GIFT CARDS,CONTACT US,MA,01721,restaurant
Pizza Bella,"1 W Union St, Ashland, MA 01721",Pizza,Ashland,,http://www.ashlandpizzabella.net/,http://ashlandpizzabella.net/Menus,http://www.ashlandpizzabella.net/Gift,http://www.ashlandpizzabella.net/Contact,Gift Certificate ,Contact Us ,MA,01721,restaurant
Asia Gourmet,"144 Market Dr, Athol, MA 01331",Restaurant,Athol,,https://www.asiagourmetathol.com/,,https://www.asiagourmetathol.com/gift-cards/,,Gift Cards,,MA,01331,restaurant
Colonel Blackinton Inn,"203 N Main St, Attleboro, MA 02703",American,Attleboro,,http://colblackintoninn.com/,,https://ao4.availabilityonline.com/gift_certificate.php?un=blackinton,http://colblackintoninn.com/contact.html, Gift Certificates,Contact,MA,02703,restaurant
Mediterranean Grill & Pizzeria,"595 Washington St, Attleboro, MA 02703",Pizza,Attleboro,Greek standards share the menu with American comfort food & pizzas at this casual eatery with a bar.,https://www.mediterraneangrillpizzeria.com/,https://www.mediterraneangrillpizzeria.com/menus,https://www.toasttab.com/ilovemed/giftcards,https://www.mediterraneangrillpizzeria.com/contact-us-reservation,e-Gift Cards,Contact Us & Reservation,MA,02703,restaurant
Miller's Roast Beef  South Attleboro,"734 Newport Ave, Attleboro, MA 02703",Sandwich,Attleboro,,http://www.millersroastbeef.com/,http://places.singleplatform.com/millers-roast-beef-0/menu?ref=google,https://millersroastbeef.com/gift-cards/,https://millersroastbeef.com/contact-us/,Gift Cards,Contact Us,MA,02703,restaurant
Arooga's,"228 Washington St, Attleboro, MA 02703",Restaurant,Attleboro,"Sports bar & grill featuring a variety of classic bar eats, free WiFi, trivia games & more.",http://aroogas.com/,,https://aroogas.myguestaccount.com/guest/egift,https://aroogas.com/faq-contact-us/,E-Gift Cards,FAQ/Contact Us,MA,02703,restaurant
Major League Roast Beef & Wings,"503 Washington St, Auburn, MA 01501",American,Auburn,Informal sports bar with counter service and a varied menu of American pub grub & sandwiches.,https://www.majorleagueroastbeef.com/,,https://majorleagueroastbeef.com/gift-cards/,https://majorleagueroastbeef.com?storeUrl=https://majorleaguerb-auburn.foodtecsolutions.com/contact,Gift Cards,Contact,MA,01501,restaurant
The Brook Kitchen & Tap,"200 S Franklin St, Holbrook, MA 02343",Grill,Holbrook,,http://www.brookkitchenandtap.com/,,https://swipeit.com/product/1023/the-brook-kitchen-and-tap,http://www.brookkitchenandtap.com/#section-five,Gift Cards,Contact Us,MA,02343,restaurant
Lucias Tavola,"31 Main St, Ayer, MA 01432",Italian,Ayer,"Charming trattoria offering a big menu creative Italian eats in a relaxed, pared-down setting.",http://www.luciastavola.com/,http://places.singleplatform.com/lucias-tavola-0/menu?ref=google,https://swipeit.com/product/936/lucias-tavola,http://www.luciastavola.com/Pages/ContactUs.aspx,Gift Cards,Contact Us,MA,01432,restaurant
Markohs,"43 Main St, Ayer, MA 01432",Restaurant,Ayer,,http://www.markohsonmain.com/,,https://swipeit.com/product/937/markohs-on-main,http://www.markohsonmain.com/Pages/ContactUs.aspx,Gift Cards,Contact Us,MA,01432,restaurant
Lazy Mary's,"30 Littleton Rd, Ayer, MA 01432",Pizza,Ayer,"Brick-oven pizzeria, deli, bakery & convenience market inside a quaint white cottage.",http://www.lazymarys.com/,http://www.lazymarys.com/images/Lazy_Mary_Menu.pdf,http://swipeit.com/product/380/lazy-marys-pizzeria-market-deli--bakery,,ORDER GIFT CARDS ONLINE HERE!,,MA,01432,restaurant
Bar 25,"25 Main St, Ayer, MA 01432",Restaurant,Ayer,,http://bar-25.com/,https://bar-25.com/,https://squareup.com/gift/D4QX9WCX1FYZR/order,,"
              Gift Cards
            ",,MA,01432,restaurant
J & M Diner,"50 Worcester Rd, Framingham, MA 01702",Diner,Framingham,Cheery diner with retro flair whipping up breakfast plates from speciality omelets to French toast.,http://jmdiner.com/,,http://jmdiner.com/gift-cards,http://jmdiner.com/contact-us,Gift Cards,Contact Us,MA,01702,restaurant
Tap City Grille,"586 Main St, Hyannis, MA 02601",Grill,Hyannis,"Relaxed tavern offering elevated American pub grub, wood-fired pizza & lots of craft beer.",http://www.tapcitygrille.com/,http://www.tapcitygrille.com/food-menu/,https://swipeit.com/product/1020/tap-city-grille,http://www.tapcitygrille.com/contact-us,Gift Cards,Contact Us,MA,02601,restaurant
Mattakeese Wharf Restaurant,"273 Millway, Barnstable, MA 02630",Seafood,Barnstable,"The harbor view draws fans to this enduring eatery, serving seafood classics in a casual setting.",http://www.mattakeese.com/,http://www.mattakeese.com/menus.html,http://www.mattakeese.com/gift-cards.html,,Gift Cards,,MA,02630,restaurant
Brazilian Grill,"680 Main St, Hyannis, MA 02601",Brazilian,Hyannis,"All-you-can-eat churrascaria serves slow-cooked meats carved tableside, with a salad bar & buffet.",http://www.braziliangrillrestaurants.com/,https://braziliangrillrestaurants.com/locations/hyannis/,https://braziliangrillrestaurants.com/gift-cards/,https://braziliangrillrestaurants.com/contact/,Gift Cards,Contact Us,MA,02601,restaurant
The Naked Oyster Bistro & Raw Bar,"410 Main St, Hyannis, MA 02601",Seafood,Hyannis,"Oysters from the bistro's own farm, creative seafood dishes & big wine list star in a modern space.",http://nakedoyster.com/,http://places.singleplatform.com/naked-oyster-bistro--raw-bar/menu?ref=google,https://www.nakedoyster.com/product/gift-card/,https://www.nakedoyster.com/contact-us/,shop,contact us,MA,02601,restaurant
Dolphin Restaurant,"3250 Main St, Barnstable, MA 02630",Seafood,Barnstable,"Enduring hangout features American & seafood standards, plus a full bar, in cozy unassuming digs.",http://thedolphincapecod.com/,http://thedolphincapecod.com/menus/dinner-menu/,http://thedolphincapecod.com/gift-cards/,,Gift Cards,,MA,02630,restaurant
Roadhouse Cafe,"488 South St, Hyannis, MA 02601",Seafood,Hyannis,"Italian-inspired steak & seafood in the elegant dining rooms, nautical-themed lounge or piano bar.",https://www.roadhousecafe.com/,https://www.roadhousecafe.com/menu/,https://www.comminternet.com/websites/capecodrestaurants.com/gift_certificates/purchase.php?customer=1586&domain=capecodrestaurants.com,https://www.roadhousecafe.com/contact/,Gift Cards,Visit,MA,02601,restaurant
Carter & Stevens Farm,"500 West St, Barre, MA 01005",Farm,Barre,,http://www.carterandstevensfarm.com/,,https://squareup.com/gift/ET1H0WKYXYWPF/order,http://www.carterandstevensfarm.com/mailto:shayna@stonecow.com?subject=Farm Question,Carter & Stevens eGift Card,Contact Us,MA,01005,restaurant
Black & White Grille,"206 N Spencer Rd, Spencer, MA 01562",American,Spencer,,http://www.blackandwhitegrille.com/,,https://swipeit.com/product/586/black-and-white-grille,,Order a gift card,,MA,01562,restaurant
Chez Nous Bistro,"150 Main St, Lee, MA 01238",Bistro,Lee,"Charming bistro pairs French country classics with a big wine list in a cozy, romantic setting.",http://cheznousbistro.com/,https://cheznousbistro.com/menus/dinner-menu,http://cheznousbistro.com/gift-certificates/,https://cheznousbistro.com/location-directions,Learn more...,Contact Us,MA,01238,restaurant
Nudel Restaurant,"37 Church St, Lenox, MA 01240",American,Lenox,"Cozy, casual place serving a seasonally inspired New American menu that changes nightly.",http://nudelrestaurant.com/,http://places.singleplatform.com/nudel/menu?ref=google,https://nudelrestaurant.com/gift-certificates/,http://nudelrestaurant.com/#,Gift Certificates, Navigation • Contact info ,MA,01240,restaurant
Wyndhurst,"55 Lee Rd, Lenox, MA 01240",American,Lenox,,http://www.cranwell.com/,,https://miravalstore.myshopify.com/,http://www.cranwell.com/mailto:reservations@miravalresorts.com,Giftcards,Contact Us,MA,01240,restaurant
Bistro at Blantyre,"16 Blantyre Rd, Lenox, MA 01240",Restaurant,Lenox,,http://www.blantyre.com/,,https://blantyre.com/spa/gift/,https://blantyre.com/about-blantyre/media-contact/,Gift Certificates,Press Center,MA,01240,restaurant
Red Heat Tavern,"152 Great Rd, Bedford, MA 01730",American,Bedford,,http://www.redheattavern.com/,http://places.singleplatform.com/red-heat-tavern-0/menu?ref=google,https://redheattavern.securetree.com,https://redheattavern.com/find-us/find-us/,Gift Cards,Contact,MA,01730,restaurant
The Bancroft,"15 3rd Ave, Burlington, MA 01803",Steak,Burlington,City-chic steakhouse in dramatic space with farm-fresh offerings & huge bar pouring craft cocktails.,http://www.the-bancroft.com/,https://www.the-bancroft.com/#menus,http://www.the-bancroft.com/#giftcard,http://www.the-bancroft.com/#contact,Buy a Gift Card,Contact,MA,01803,restaurant
Grumpy's Restaurant,"190 Pulaski Blvd, Bellingham, MA 02019",Bistro,Bellingham,,http://www.bellinghamgrumpys.com/,,http://swipeit.com/product/395/grumpys-restaurant--pub,https://www.facebook.com/visitgrumpys,Gift Cards,,MA,02019,restaurant
Vicki Lee's,"105 Trapelo Rd, Belmont, MA 02478",Restaurant,Belmont,"Window-filled cafe & bakery with an assortment of baked goods, classic lunch fare & weekend brunch.",http://www.vickilees.com/,http://vickilees.com/catering-menu/,https://www.toasttab.com/vicki-lee-s/giftcards,,"
        Gift Cards
      ",,MA,02478,restaurant
Fiorella's Express,"263 Belmont St, Belmont, MA 02478",Italian,Belmont,"Casual counter serve with Neapolitan-style pizza, sandwiches & updated Italian-American standards.",http://www.fiorellasexpress.com/,http://www.fiorellasexpress.com/menu/,http://www.fiorellasexpress.com/gift-cards/,http://www.fiorellasexpress.com/contact/,Gift Cards,Contact,MA,02478,restaurant
Little Pecan Bistro,"296 Washington St, Brighton, MA 02135",Restaurant,Brighton,,http://www.littlepecanbistro.com/,,https://www.toasttab.com/little-pecan-bistro/giftcards,http://www.littlepecanbistro.com/#footer,Buy a Giftcard,Contact Us,MA,02135,restaurant
Ritcey East,"208 Waverley Ave, Watertown, MA 02472",American,Watertown,,http://www.ritceyeast.com/,,https://www.toasttab.com/ritcey-east/giftcards,http://www.ritceyeast.com/welcome,Buy e-gift cards,"
                  Contact
                ",MA,02472,restaurant
Theo's Pizza,"389 Trapelo Rd, Belmont, MA 02478",Takeout Restaurant,Belmont,,http://theospizzabelmont.com/,http://theospizzabelmont.com/Menus,http://theospizzabelmont.com/Gift,http://theospizzabelmont.com/Contact,Gift Certificate ,Contact Us ,MA,02478,restaurant
Dough Licious Pizza,"539 Berkley St, Berkley, MA 02779",Pizza Delivery,Berkley,,http://www.doughliciouspizzabk.com/,http://doughliciouspizzabk.com/menu/,http://doughliciouspizzabk.com/wp-content/uploads/2015/01/gift_black.png,http://doughliciouspizzabk.com/contact-us/,Gift Cards Available ,CONTACT US,MA,02779,restaurant
Frates Drive In,"1423 Somerset Ave, Taunton, MA 02780",Seafood,Taunton,,http://www.fratesdrive-in.com/,,https://swipeit.com/product/486/frates-drive-in,http://www.fratesdrive-in.com/contact.html,,,MA,02780,restaurant
Rail Trail Flatbread Co,"33 Main St, Hudson, MA 01749",Pizza,Hudson,"Laid-back tavern offering an upscale pub menu alongside craft beers, wine & cocktails.",http://www.railtrailflatbread.com/,http://www.railtrailflatbread.com/menu,http://www.railtrailflatbread.com/gift-card-purchases,http://www.railtrailflatbread.com/contact,"
            GIFT CARDS
          ","
            contact
          ",MA,01749,restaurant
The Farm Table at Kringle Candle,"219 South St, Bernardston, MA 01337",Fine Dining,Bernardston,"Upscale, seasonal local eats served in homey, comfortable dining rooms with fireplaces.",http://www.kringlefarmtable.com/,http://www.kringlefarmtable.com/menu/,https://www.kringlecandle.com/products/farm-table-gift-card,http://www.kringlefarmtable.com/contact,Gift Cards,Contact ,MA,01337,restaurant
Five Eyed Fox,"37 3rd St, Turners Falls, MA 01376",Restaurant,Turners Falls,,http://www.fiveeyedfox.com/,http://www.fiveeyedfox.com/food-menu/,https://www.instagram.com/p/B-7_nTshXbz/,http://www.fiveeyedfox.com/contact,"

",Contact,MA,01376,restaurant
Hope & Olive,"44 Hope St, Greenfield, MA 01301",American,Greenfield,"Imaginative, globally inspired seasonal fare & creative cocktails in warm, relaxed surrounds.",http://www.hopeandolive.com/,http://www.hopeandolive.com/dinner,https://www.toasttab.com/hope-olive/giftcards,https://hopeandolive.com/find-us,GIFTS,FIND US,MA,01301,restaurant
The People's Pint,"24 Federal St, Greenfield, MA 01301",Gastropub,Greenfield,"Family-friendly brewpub serving housemade drafts, sodas & traditional pub fare with a funky vibe.",http://www.thepeoplespint.com/,http://www.thepeoplespint.com/dinnermenu/,https://thepeoplespint.com/product/10-gift-card/,https://thepeoplespint.com/contact-us/,Gift Cards,Contact Us,MA,01301,restaurant
Antonio's Pizza & Grinders,"201 S Main St, Salinas, CA 93901",Pizza,Salinas,Upscale menu of Italian favorites served in a splashy setting with a fire-lit outdoor plaza.,http://www.201complex.com/,http://www.201complex.com/brunch,https://201complex.cardfoundry.com/,,,,CA,93901,restaurant
Organic Garden Cafe,"294 Cabot St, Beverly, MA 01915",Organic,Beverly,"Restaurant offering an array of vegan, health-minded entrees, salads, wraps & snacks.",https://www.organicgardencafe.com/,https://www.toasttab.com/organic-garden-cafe,https://www.e-junkie.com/marketplace/127434,https://www.organicgardencafe.com/contact,Buy Gift Cards,Contact,MA,01915,restaurant
Beverly Depot Restaurant,"10 Park St, Beverly, MA 01915",Steak,Beverly,"Rustic mainstay offers an array of seafood, steaks & a salad bar in a historic 1890s train station.",http://www.beverlydepot.com/,,http://www5.myicard.net/,http://www.beverlydepot.com/contact.html,Check Gift Card Balance,,MA,01915,restaurant
Depot Diner,"23 Enon St, Beverly, MA 01915",Diner,Beverly,Bustling daytime diner serving an extensive menu of breakfast & lunch classics in a homey space.,http://www.depot-diner.com/,http://www.depot-diner.com/.menu/.,http://depot-diner.com/product/gift-certificate/,http://www.depot-diner.com/tel:9789226200,"
 Gift Certificate
",978-922-6200,MA,01915,restaurant
Ellis Square Social,"252 Cabot St, Beverly, MA 01915",Restaurant,Beverly,,https://www.ellissquaresocial.com/,https://www.ellissquaresocial.com/food-drink/,https://www.ellissquaresocial.com/gift-cards,https://www.ellissquaresocial.com/contact-us,"
              Gift Cards
            ","
            Contact Us
          ",MA,01915,restaurant
Mangia Mangia Italian Kitchen,"430 Boston Rd, Billerica, MA 01821",Italian,Billerica,"Pizza, subs, salads, pasta & Italian mains such as veal parmigiana in comfy checked-tablecloth digs.",http://www.mangia.info/,http://www.mangia.info/dinner.html,https://www.toasttab.com/mangia-mangia-italian-kitchen/giftcards,http://www.mangia.info/contact.html,Purchase Card,Contact,MA,01821,restaurant
Newtowne Grille,"838 Boston Rd, Billerica, MA 01821",American,Billerica,"Classic neighborhood joint offering American grub, craft beer & happy hour, plus a late-night menu.",http://www.newtownegrille.com/,,http://www.newtownegrille.com/contact.html,http://www.newtownegrille.com/contact.html,,CONTACT,MA,01821,restaurant
