name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,state,zipcode,store_type
Giardino's Restaurant,"497 Bedford St, Abington, MA 02351",Italian,Abington,,https://www.giardinosrestaurant.com/,https://www.giardinosrestaurant.com/our-menu,,https://www.giardinosrestaurant.com/a/locations/contact/19338?return_to=%2F,,"

                Email
",MA,02351,restaurant
Filho's Great Road,"59 Great Rd, Acton, MA 01720",Italian,Acton,"Homey eatery & bar for updated Italian fare including pastas & rustic pizzas, with outdoor seats.",http://filhosgreatroad.com/,http://filhosgreatroad.com/menu,,https://filhosgreatroad.com/#contact-us,,Contact Us,MA,01720,restaurant
The Red Raven Restaurant,"3 Nagog Park, Acton, MA 01720",American,Acton,"Romantic waterfront tavern with a deck serving clever pub fare, draft beer & craft cocktails.",http://www.redravenacton.com/,http://www.redravenacton.com/menus,,https://www.redravenacton.com/contact,,Contact,MA,01720,restaurant
Twin Seafood Grill,"541 Massachusetts Ave, Acton, MA 01720",Seafood,Acton,"Simple counter-service spot offering fried & grilled seafood platters, lobster rolls & clam chowder.",http://www.twinsseafood.com/,,,https://twinsseafood.com/contact-us/acton-ma-twin-seafood-market/,,Acton Location,MA,01720,restaurant
Rapscallion Table & Tap,"5 Strawberry Hill Rd, Acton, MA 01720",Restaurant,Acton,Homey gastropub featuring a range of house-brewed beers & comfort eats in an old-school farmhouse.,http://drinkrapscallion.com/,http://places.singleplatform.com/rapscallion-table--tap/menu?ref=google,,http://drinkrapscallion.com/sturbridge/book-our-space-brewery/,,Contact Us,MA,01720,restaurant
Holy Grail Bar and Restaurant,"166 Great Rd, Acton, MA 01720",Grill,Acton,,https://holygrailacton.com/,,,https://holygrailacton.com/contact/,,Contact Us,MA,01720,restaurant
Mayuri Indian Cuisine,"5 Nagog Park, Acton, MA 01720",Indian,Acton,"Unassuming strip-mall restaurant offering Northern & Southern Indian staples, plus a lunch buffet.",http://www.mayuriacton.com/,http://mayuriacton.com/menu.php,,http://www.mayuriacton.com/contactus.php,,Contact Us,MA,01720,restaurant
Blue Point,"6 Dayton St, Acushnet, MA 02743",Seafood,Acushnet,,https://www.bluepointrestaurantma.com/,http://www.bluepointrestaurantma.com/BluePointMenu.pdf,,https://www.bluepointrestaurantma.com/contact-blue-point-restaurant.htm,, Contact Us,MA,02743,restaurant
Jeffrey's House of Pizza,"161 S Main St, Acushnet, MA 02743",Pizza,Acushnet,,http://www.jeffreysfhop.com/,,,http://www.jeffreysfhop.com/contact/index.html,,Contact,MA,02743,restaurant
Country Whip Inc,"1173 Main St, Acushnet, MA 02743",Ice Cream,Acushnet,,http://www.countrywhip.weebly.com/,,,http://www.countrywhip.weebly.com/contact.html,,"
				Contact
			",MA,02743,restaurant
Antonio's Restaurant,"267 Coggeshall St, New Bedford, MA 02746",Fine Dining,New Bedford,"Low-key, family-owned Portuguese eatery dishing up large portions of old-world seafood dishes.",http://www.antoniosnewbedford.com/,http://www.antoniosnewbedford.com/images/antonios.pdf,,https://www.antoniosnewbedford.com/contact-directions/,,"Contact, Directions & Hours",MA,02746,restaurant
Girassol Restaurant,"1698 Acushnet Ave, New Bedford, MA 02746",Portuguese,New Bedford,,http://girassolrestaurant.com/,http://girassolrestaurant.com/menu/,,https://girassolrestaurant.com/contact/,,Contact,MA,02746,restaurant
Top Shelf Bar & Grill,"1825 Acushnet Ave, New Bedford, MA 02746",Grill,New Bedford,,http://topshelfbarandgrillma.com/,http://topshelfbarandgrillma.com/menu/,,https://topshelfbarandgrillma.com/contact-us/,,Contact Us,MA,02746,restaurant
Table 8,"1836 Acushnet Ave, New Bedford, MA 02746",Breakfast,New Bedford,,http://www.table8nb.com/,,,http://www.table8nb.com/contact-us/,,Contact Us,MA,02746,restaurant
Adriana's Mexican Restaurant,"1262 Acushnet Ave, New Bedford, MA 02746",Restaurant,New Bedford,,https://adrianasmexicanrestaurant.net/,http://places.singleplatform.com/adrianas-mexican-restaurant-0/menu?ref=google,,https://adrianasmexicanrestaurant.net/contact-us/,,Contact Us,MA,02746,restaurant
Knuckle Heads,"85 MacArthur Dr, New Bedford, MA 02740",Sports bar,New Bedford,"Comfy, family-friendly sports bar/eatery offering seafood fare & classic pub grub, plus live music.",http://knuckleheadsnb.com/,http://knuckleheadsnb.com/menu2/4669727,,http://knuckleheadsnb.com/contact/4668380,,CONTACT,MA,02740,restaurant
Endzone Sports Pub,"218 Coggeshall St, New Bedford, MA 02746",Grill,New Bedford,"Casual family-run joint offering classic bar grub, seafood & Portuguese fare, plus sports on TV.",http://endzonesportspub.com/,http://endzonesportspub.com/menu/,,http://endzonesportspub.com/contact/,,Contact,MA,02746,restaurant
Moon House Chinese Restaurant,"706 Ashley Blvd, New Bedford, MA 02745",Chinese,New Bedford,,https://moonhousema.com/,https://moonhousema.com/,,https://moonhousema.com/#contact,,Contact Us,MA,02745,restaurant
Mikey B's,"989 Victoria St, New Bedford, MA 02745",Seafood,New Bedford,,http://www.mikeybs.com/,http://www.mikeybs.com/media/site_assets/1c822b45d83d62a673b1434db1de8ee0/assets/new_menu_1.pdf,,http://www.mikeybs.com/contact/,,Contact Us,MA,02745,restaurant
The Roasted Pig,"98 Nash Rd, New Bedford, MA 02746",Portuguese,New Bedford,,http://www.theroastedpignb.com/,https://theroastedpig.net/menu,,http://www.theroastedpignb.com/contact/3491062,,Contact,MA,02746,restaurant
Genes Famous Seafood,"146 Huttleston Ave, Fairhaven, MA 02719",Seafood,Fairhaven,,http://www.genesfamousseafood.com/,,,http://www.genesfamousseafood.com/a/locations/contact/26611?return_to=%2F,,"

                Email
",MA,02719,restaurant
Royal Restaurant Cafe,"296 N Front St, New Bedford, MA 02746",Portuguese,New Bedford,,https://theroyalgrillema.com/,,,https://theroyalgrillema.com/contact-us/,,Contact Us,MA,02746,restaurant
Charlie's,"1648 Acushnet Ave, New Bedford, MA 02746",Hot Dog,New Bedford,,https://www.charliespizzanb.com/,,,https://www.charliespizzanb.com/contact,," CONTACT

",MA,02746,restaurant
Sun Kitchen,"535 Belleville Ave, New Bedford, MA 02746",Chinese,New Bedford,,https://sunkitchentogo.com/,https://sunkitchentogo.com/,,https://sunkitchentogo.com/#contact,,Contact Us,MA,02746,restaurant
Haflinger Haus Restaurant Tavern & Inn,"17 Commercial St, Adams, MA 01220",Restaurant,Adams,,http://haflingerhaus.com/,,,http://haflingerhaus.com/contact-us/,,Contact Us,MA,01220,restaurant
BountiFare  Restaurant & Catering,"200 Howland Ave, Adams, MA 01220",American,Adams,"Casual, cheery stalwart dishing up hearty Italian & American cooking, plus brunch & a pub menu.",http://www.bountifare.com/,http://bountifare.com/catering.html,,http://www.bountifare.com/contact.html,,Contact,MA,01220,restaurant
Jack's Hot Dog Stand,"12 Eagle St, North Adams, MA 01247",Hot Dog,North Adams,"Counter-serve joint doling out burgers, hot dogs & hand-cut fries in a tiny space since 1917.",https://jackshotdogstand.com/,http://places.singleplatform.com/jacks-hot-dog-stand/menu?ref=google,,https://jackshotdogstand.com/contact-us.htm,,Contact Us,MA,01247,restaurant
PUBLIC eatdrink,"34 Holden St, North Adams, MA 01247",New American,North Adams,"Industrial-chic spot near MASS MoCA for inspired American comfort food, craft beer & cocktails.",http://www.publiceatanddrink.com/,http://publiceatanddrink.com/eat,,http://www.publiceatanddrink.com/contact,,contact,MA,01247,restaurant
Freight Yard Restaurant & Pub,"Heritage State Park, 1 Furnace St Building 3, North Adams, MA 01247",Grill,North Adams,"Hearty American eats, lots of draft beer & Sunday brunch served in a cozy, wood-lined atmosphere.",http://www.thefreightyardpub.com/,http://www.freightyardpub.com/,,https://www.thefreightyardpub.com/contact-us,,contact us,MA,01247,restaurant
Lickety Split,"1010 Mass MoCA Way, North Adams, MA 01247",Caterer,North Adams,,http://licketysplitatmassmoca.com/,http://www.licketysplitatmassmoca.com/catering/,,http://licketysplitatmassmoca.com/contact,,Contact,MA,01247,restaurant
Peppo's Pizza,"421 Springfield St, Agawam, MA 01001",Pizza,Agawam,,https://www.peppospizza.com/,http://places.singleplatform.com/peppos-pizza/menu?ref=google,,https://www.peppospizza.com/tel:4137899066,,(413) 789-9066,MA,01001,restaurant
Nicky's Pizza,"1000 Main St, Agawam, MA 01001",Pizza,Agawam,"Laid-back counter serve dishing up straightforward pizza, plus calzones & hearty hot & cold subs.",http://nickyspizzama.com/,,,//www.nickyspizzama.com/contactus.html,,Contact Us,MA,01001,restaurant
Catch 1251 Seafood & Grill,"1251 River Rd, Agawam, MA 01001",Seafood,Agawam,,https://catch1251.com/,https://www.catch1251.com/house,,https://www.catch1251.com/contact,,Contact,MA,01001,restaurant
Ferrentino's Pizzeria & Pub,"1676 Main St, Agawam, MA 01001",Pizza,Agawam,,http://ferrentinos.com/,,,http://ferrentinos.com/tel:4137893222,,413-789-3222,MA,01001,restaurant
New King Yen Chinese Restaurant,"340 Springfield St, Agawam, MA 01001",Chinese,Agawam,"Generous plates of traditional Chinese fare are served at this time-tested, low-key eatery.",http://www.kingyenagawam.com/,http://kingyenagawam.com/menu-2/,,http://kingyenagawam.com/contact-us/,,CONTACT US,MA,01001,restaurant
The Back Room Bar & Grill,"827 Springfield St, Feeding Hills, MA 01030",Grill,Feeding Hills,,http://www.thebackroomagawam.com/,https://www.thebackroomagawam.com/menu,,http://www.thebackroomagawam.com,,CONTACT,MA,01030,restaurant
Classic Burgers,"1261 Westfield St, West Springfield, MA 01089",American,West Springfield,,http://www.classicburgers.net/,http://www.classicburgers.net/Menus,,http://www.classicburgers.net/Contact,,Contact Us ,MA,01089,restaurant
Macho Taco,"67 Springfield St, Agawam, MA 01001",Mexican,Agawam,,http://machotacorestaurant.com/,http://places.singleplatform.com/macho-taco-3/menu?ref=google,,http://machotacorestaurant.com/tel:4132857060,,413-285-7060,MA,01001,restaurant
China Star Restaurant,"382 Main St, Agawam, MA 01001",Chinese,Agawam,,http://www.chinastaragawam.com/,http://www.chinastaragawam.com/menu/dinner-menu,,http://www.chinastaragawam.com/contacts,,Contact Us,MA,01001,restaurant
Aroma Bar and Grill,"485 Main St, Great Barrington, MA 01230",Indian,Great Barrington,No-frills family-run Indian stop with bar fixes a big variety of spiced-to-order regional plates.,http://www.aromabarandgrill.com/,http://places.singleplatform.com/aroma-bar--grill/menu?ref=google,,https://aromabarandgrill.com/contact-us/,,Contact Us,MA,01230,restaurant
Naji's Catering Inc,"401 Stockbridge Rd # B, Great Barrington, MA 01230",Mediterranean,Great Barrington,"Mediterranean cuisine, including vegetarian options & dessert, offered in a quaint setting.",http://www.najismediterraneancuisine.com/,http://www.najismediterraneancuisine.com/menu.htm,,http://www.najismediterraneancuisine.com/contact.htm,,"
",MA,01230,restaurant
Siam Square Great Barrington,"290 Main St, Great Barrington, MA 01230",Thai,Great Barrington,"Locals gather at this spacious, casual Thai standby near the movie theater for classic dishes.",http://www.siamsquares.com/,http://siamsquares.com/index.php?option=com_content&view=article&id=4&Itemid=4,,http://www.siamsquares.com/index.php?option=com_contact&view=contact&id=1&Itemid=7,,Comment&Contact us,MA,01230,restaurant
Cafe Adam Bar and Restaurant,"420 Stockbridge Rd, Great Barrington, MA 01230",Fine Dining,Great Barrington,,http://www.cafeadam.org/,,,http://www.cafeadam.org/contact__press,,Contact & Press,MA,01230,restaurant
Great Barrington Pizza House,"36 State Rd, Great Barrington, MA 01230",Pizza,Great Barrington,,https://www.gbpizzahouse.com/,,,https://policies.google.com/privacy,,Privacy Policy,MA,01230,restaurant
Xicohtencatl Restaurant,"50 Stockbridge Rd, Great Barrington, MA 01230",Mexican,Great Barrington,"Colorful eatery known for its mole & margaritas, with patio seating & live music on weekends.",http://www.xicohmexicano.com/,http://xicohmexicano.com/menu/,,http://xicohmexicano.com/contact/,,CONTACT,MA,01230,restaurant
Donaji Mexican Restaurant,"389 Stockbridge Rd, Great Barrington, MA 01230",Mexican,Great Barrington,"Street-style Mexican eats & creative cocktails offered in a casual, upbeat environment.",https://www.donajimexicanrestaurant.com/,,,https://www.donajimexicanrestaurant.com/Menu#1792973159,,"  

Contact Us
",MA,01230,restaurant
Aegean Breeze Restaurant,"327 Stockbridge Rd, Great Barrington, MA 01230",Mediterranean,Great Barrington,Rustic taverna with covered outdoor patio providing Greek provisions & known for grilled whole fish.,http://www.aegean-breeze.com/,,,https://www.aegeanbreezeonline.com/contact-us,,CONTACT US,MA,01230,restaurant
The East Asian Cuisine,"305 Stockbridge Rd #3, Great Barrington, MA 01230",Chinese,Great Barrington,,http://www.theeastasiancuisine.com/,,,http://www.theeastasiancuisine.com/contact.html,,Contact,MA,01230,restaurant
Koi,"768 Barber Ln, Milpitas, CA 95035",Restaurant,Milpitas,,http://www.koipalace.com/,http://koipalace.com/dim-sum/,,http://www.koipalace.com/contact,,"
            Call / E-Mail
          ",CA,95035,restaurant
Elixir,"70 Railroad St, Great Barrington, MA 01230",Restaurant,Great Barrington,,http://www.elixirgb.com/,,,https://www.elixirgb.com/find-contact,,FIND/CONTACT,MA,01230,restaurant
Lafiesta TexMex Restaurant,"284 Main St, Great Barrington, MA 01230",Latin American,Great Barrington,,https://www.fiestabarandgrill.com/,,,https://fiestabarandgrill.com/contact-us/,,Contact Us,MA,01230,restaurant
FARM COUNTRY SOUP,"389 Stockbridge Rd, Great Barrington, MA 01230",Soup,Great Barrington,,http://www.farmcountrysoup.com/,,,http://www.farmcountrysoup.com/contact,,Contact,MA,01230,restaurant
Phat Cats Bistro,"65A Market St, Amesbury, MA 01913",Bistro,Amesbury,,http://phatcatsbistro.com/,http://phatcatsbistro.com/,,http://phatcatsbistro.com/#,,"
                  Contact Us
                ",MA,01913,restaurant
The Coop Rotisserie,"36 Main St, Amesbury, MA 01913",Chicken,Amesbury,"Cozy, relaxed spot offering a chicken-centric, Latin American menu, plus craft beer & many wines.",http://thecooprotisserie.com/,,,http://thecooprotisserie.com/contact-us-hours,,Contact Us / Hours,MA,01913,restaurant
Crave,"10 Water St, Amesbury, MA 01913",Restaurant,Amesbury,"American bistro fare, craft beers & wine served in warm digs inside an antique train depot.",http://www.cravefoodandwine.com/,,,http://www.cravefoodandwine.com/contact,,"
            Contact
          ",MA,01913,restaurant
Yang Ming II,"88 Haverhill Rd, Amesbury, MA 01913",Asian,Amesbury,,http://www.yangming2.com/,http://www.yangming2.com/,,https://www.yangming2.com/contact,,CONTACT,MA,01913,restaurant
Geo's Roast Beef & Pizzeria,"143 Elm St, Amesbury, MA 01913",Restaurant,Amesbury,,http://www.exploreamesbury.com/,http://www.exploreamesbury.com/restaurants/geos-roast-beef-pizzeria/menu/,,https://www.exploreamesbury.com/contact-us/,,Contact Us,MA,01913,restaurant
Giuseppe's Italian Restaurant,"257 Low St, Newburyport, MA 01950",Italian,Newburyport,Roadhouse with seating plus takeaway dinners & sauces for purchase dishes up familiar Italian fare.,http://www.giuseppesfinefood.com/,,,https://giuseppesfinefood.com/contact-us/,,Contact Us,MA,01950,restaurant
Morning Buzz Cafe',"37 Friend St, Amesbury, MA 01913",Cafe,Amesbury,,http://themorningbuzzcafe.com/,http://themorningbuzzcafe.com/menu.html,,http://themorningbuzzcafe.com/contact.html,,Contact,MA,01913,restaurant
Crossroads Pizza,"6 Merrill St #9, Salisbury, MA 01952",Pizza,Salisbury,,http://www.crossroadsfood.com/,http://www.crossroadsfood.com/menu.html#a,,http://www.crossroadsfood.com/contact.html#a,,Contact,MA,01952,restaurant
Brewery Silvaticus,"9 Water St, Amesbury, MA 01913",Brewery,Amesbury,"Even the hops are owner-grown at this craft brewery inside a big, brick mill with riverfront patio.",http://www.silvaticusbeers.com/,,,https://www.silvaticusbeers.com,,CONTACT,MA,01913,restaurant
