name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,state,zipcode,store_type
The White Door Hair Salon,"202 North Ave, Abington, MA 02351",Hair salon,Abington,https://www.whitedoorsalon.com/,,,,,https://www.whitedoorsalon.com/contact.html#6,Contact,MA,02351,beauty_salon
Jolan's Hair Design,"1175 Main St, Weymouth, MA 02190",Beauty salon,Weymouth,http://www.jolanshairdesign.com/,,,,,http://www.jolanshairdesign.com/contact.html,Contact,MA,02190,beauty_salon
Kathy Nails Spa,"23 South Ave, Whitman, MA 02382",Nail salon,Whitman,http://www.kathysnailsspa.com/,,,,,http://www.kathysnailsspa.com/contact.php,,MA,02382,beauty_salon
Advanced Hair Design,"536 Columbian St, Weymouth, MA 02190",Beauty salon,Weymouth,http://advancedhairdesign536.com/,,,,,https://maps.google.com/maps?q=United States,Find us on the map,MA,02190,beauty_salon
Stilettos Hair & Spa Holbrook,"40 Union St, Holbrook, MA 02343",Beauty salon,Holbrook,http://www.stilettosholbrook.com/,,,,,http://www.stilettosholbrook.com/Contact-Us.html,,MA,02343,beauty_salon
Bamboo Hair Studio,"121 E 8th St #9, Jacksonville, FL 32206",Beauty salon,Jacksonville,http://bamboothesalon.com/,,,,,https://www.bamboohairstudio.com,Contact,FL,32206,beauty_salon
Braids & Glam,"81 Court St, Brockton, MA 02301",Beauty salon,Brockton,http://www.braidsnglam.com/,,,,,https://www.braidsnglam.com,CONTACT,MA,02301,beauty_salon
Luv My Natural Curls,"185 Main St, Avon, MA 02322",Beauty salon,Avon,http://www.luvmynaturalcurls.com/,,,,,http://www.luvmynaturalcurls.com/contact-us/,Contact Us,MA,02322,beauty_salon
Sean Nicole Salon,"77 Great Rd # 2, Acton, MA 01720",Beauty salon,Acton,http://www.seannicole.com/,,,,,http://www.seannicole.com/contact.html,Contact,MA,01720,beauty_salon
Salon Tuan Design Studio,"481 Great Rd, Acton, MA 01720",Beauty salon,Acton,http://salontuan.com/,,,,,https://www.salontuan.com,CONTACT,MA,01720,beauty_salon
Moodz Day Spa & Salon,"556 Massachusetts Ave, Acton, MA 01720",Beauty salon,Acton,http://www.moodz.com/,,,,,http://www.moodz.com/Contact.html,"





Contact


",MA,01720,beauty_salon
