name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched,state,zipcode,store_type
STAR BUFFET Chinese Japanese & Mongolian,"1141 S Mt Vernon Ave, Colton, CA 92324",Chinese,Colton,"Casual stop for familiar Chinese & Japanese buffet grub are served in unassuming, brightly-lit digs.",http://www.star-buffet.com/,https://postmates.com/merchant/star-buffet-colton-1,,http://star-buffet.com/book-a-table/,,Contact us,1,CA,92324,restaurant
Rose Apple Thai Cuisine,"1981 Diners Ct, San Bernardino, CA 92408",Thai,San Bernardino,"Pad Thai, basil chicken & other Southeast Asian staples served in a cheery, casual setting.",http://roseappleca.com/,,,https://roseappleca.com/contract/,,CONTACT,1,CA,92408,restaurant
Tacos Y Mas,"1290 N Mt Vernon Ave, Colton, CA 92324",Tacos,Colton,,http://tacosmas.com/,https://tacosmas.com/wp-content/uploads/2020/04/Tacos-Y-Mas-Hard-Copy-Menu-3.5.20.pdf,,http://tacosmas.com/#FINDUS,,"FIND US

",1,CA,92324,restaurant
Happy Family Vegetarian,"2150 South Waterman Ave E, San Bernardino, CA 92408",Vegetarian,San Bernardino,"Basic yet functional eatery specializes in a variety of vegetarian & vegan recipes, even dessert.",http://orderveg.com/,http://places.singleplatform.com/happy-family-vegetarian/menu?ref=google,,http://orderveg.com/contact-us,,,1,CA,92408,restaurant
Lotus Garden Restaurant,"111 E Hospitality Ln, San Bernardino, CA 92408",Chinese,San Bernardino,Low-key spot for standard Chinese fare including plenty of vegetarian entrees in a basic space.,https://www.lotusgardenhospitality.com/,https://www.lotusgardenhospitality.com/menu,,https://www.lotusgardenhospitality.com,,LOCATION & CONTACT,1,CA,92408,restaurant
Antonious Pizza,"22400 Barton Rd UNIT 11, Grand Terrace, CA 92313",Pizza,Grand Terrace,,http://www.antoniouspizzagrandterrace.com/,http://www.antoniouspizzagrandterrace.com/menu/,,https://www.antoniouspizzagrandterrace.com/contact-us/,,Contact Us,1,CA,92313,restaurant
Old Town Baking Company,"999 S E St, San Bernardino, CA 92408",Restaurant,San Bernardino,,http://www.oldtownbakingco.com/,,,https://www.oldtownbakingco.com/contact,,CONTACT,1,CA,92408,restaurant
Surfer Joe's Pizza,"251 E Redlands Blvd, San Bernardino, CA 92408",Pizza,San Bernardino,,https://sanbernardino.ordersurferjoespizza.com/,https://sanbernardino.ordersurferjoespizza.com/#menu,,https://sanbernardino.ordersurferjoespizza.com/#/Home/ContactUs,,"
 251 E REDLANDS BLVD, SAN BERNARDINO, CA 92405
				",1,CA,92408,restaurant
Albertos Mexican Food,"480 S E St, San Bernardino, CA 92401",Fast Food,San Bernardino,,http://albertosmexicanfood.com/,,,http://deezmaker.com/support/contact-support/,,Contact Support,1,CA,92401,restaurant
Ricos Tacos De Jalisco,"396 S Mt Vernon Ave, San Bernardino, CA 92410",Mexican,San Bernardino,,https://ricostacosdejalisco.com/,,,https://ricostacosdejalisco.com/tel:9093810708,,(909) 381-0708,1,CA,92410,restaurant
Masala IndoPak Cuisine,"25227 Redlands Blvd Suite E, Loma Linda, CA 92354",Pakistani,Loma Linda,,http://www.masalaindopak.com/,,,http://masalaindopak.com/contact-us/,,Contact,1,CA,92354,restaurant
Vegan Fresh,"24950 Redlands Blvd K, Loma Linda, CA 92354",Vegan,Loma Linda,,http://www.appletreelifestyle.com/,http://www.appletreelifestyle.com/menu/vegan-fresh-menu-2018-11-25.pdf,,http://www.appletreelifestyle.com/contact.html,,Contact Us,1,CA,92354,restaurant
