name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt
Nectar Floral Design,,Florist,acton,,,,,,,
Burlington Florist,Burlington,Florist,acton,,,,,,,
Needham Florist,Needham,Florist,acton,,,,,,,
Evergreen Florist,Stoneham,Florist,acton,,,,,,,
Designs By Don Inc,Wilmington,Florist,acton,,,,,,,
Winston Flowers  Wellesley,Wellesley,Florist,acton,,,,,,,
Jayne's Flowers  Belmont,Belmont,Florist,acton,,,,,,,
Edible Arrangements,Marlborough,Florist,acton,,,,,,,
DODO'S PHLOWERS,Leominster,Florist,acton,,,,,,,
Busy Bee Florists,Newton,Florist,acton,,,,,,,
Derby Farm Flowers & Gardens,Arlington,Florist,acton,,,,,,,
Cody Floral Designs,Arlington,Florist,acton,,,,,,,
Wagon Wheel,Lexington,Florist,acton,,,,,,,
Winston Flowers  Chestnut Hill,Newton,Florist,acton,,,,,,,
Mystic Florist,Somerville,Florist,acton,,,,,,,
Central Square Florist,Cambridge,Florist,acton,,,,,,,
Anthony's Florist,Watertown,Florist,acton,,,,,,,
Jewelry for Gems,Burlington,Florist,acton,,,,,,,
Brattle Square Florist,Cambridge,Florist,acton,,,,,,,
Nellie's Wild Flowers,Somerville,Florist,acton,,,,,,,
Paul's Flowers,Millis,Florist,acton,,,,,,,
Debra's Flowers,Holliston,Florist,acton,,,,,,,
Sunnyside Gardens,Hopkinton,Florist,acton,,,,,,,
Edith's Flowers,Holden,Florist,acton,,,,,,,
A Bella Mia Flowers,Norwood,Florist,acton,,,,,,,
Trader Joe's,Burlington,Florist,acton,,,,,,,
Trader Joe's,Framingham,Florist,acton,,,,,,,
Winston Flowers  Back Bay,Boston,Florist,acton,,,,,,,
Piccirillo the Florist,Methuen,Florist,acton,,,,,,,
Exotic Flowers,Boston,Florist,acton,,,,,,,
Jayne's Flowers  Boston,Boston,Florist,acton,,,,,,,
Winston Flowers  Financial District,Boston,Florist,acton,,,,,,,
Westwood Gardens Flower Shop,Westwood,Florist,acton,,,,,,,
