name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt
Barnes & Noble,Boston,Book store,abington,,,,,,,
Barnes & Noble,Saugus,Book store,abington,,,,,,,
Books & Arts,Brookline,Book store,abington,,,,,,,
Barnes & Noble,Framingham,Book store,abington,,,,,,,
Whitelam Books,Reading,Book store,abington,,,,,,,
Barnes & Noble,Bellingham,Book store,abington,,,,,,,
Seven Stars,Cambridge,Book store,abington,,,,,,,
Barnes & Noble,Peabody,Book store,abington,,,,,,,
Barnes & Noble,Burlington,Book store,abington,,,,,,,
Used Book Superstore,Burlington,Used book store,abington,,,,,,,
Savers,Hanover,Thrift store,abington,,,,,,,
Bearly Read Books,Sudbury,Rare book store,abington,,,,,,,
Wellesley Books,Wellesley,Book store,abington,,,,,,,
Book Shop of Beverly Farms,Beverly,Book store,abington,,,,,,,
Bristol CC Bookstore,Fall River,Book store,abington,,,,,,,
Middlesex CC Bookstore  Bedford,Bedford,Book store,abington,,,,,,,
The Bookstore of Gloucester,Gloucester,Book store,abington,,,,,,,
Massachusetts Maritime Academy Store,Buzzards Bay,Book store,abington,,,,,,,
Dogtown Book Shop,Gloucester,Used book store,abington,,,,,,,
Barnes & Noble,North Dartmouth,Book store,abington,,,,,,,
Manchester By the Book,ManchesterbytheSea,Book store,abington,,,,,,,
Amazon Books,Lynnfield,Book store,abington,,,,,,,
The Concord Bookshop,Concord,Book store,abington,,,,,,,
Barrow Book Store,Concord,Book store,abington,,,,,,,
Titcomb's Bookshop,East Sandwich,Book store,abington,,,,,,,
The Silver Unicorn Bookstore,Acton,Book store,abington,,,,,,,
Andover Bookstore Inc,Andover,Book store,abington,,,,,,,
The Thrift Shop,Abington,Thrift store,abington,,,,,,,
Bunch of Grapes Bookstore,Vineyard Haven,Book store,abington,,,,,,,
Middlesex Community College Bookstore  Lowell,Lowell,Book store,abington,,,,,,,
Brewster Book Store Inc,Brewster,Book store,abington,,,,,,,
Taproot Book Store,Worcester,Book store,abington,,,,,,,
Barnes & Noble,Hyannis,Book store,abington,,,,,,,
Barnes & Noble,Worcester,Book store,abington,,,,,,,
Becker College Bookstore  Worcester,Worcester,Book store,abington,,,,,,,
Barnes & Noble,Millbury,Book store,abington,,,,,,,
Eight Cousins Books,Falmouth,Book store,abington,,,,,,,
Morning Star Bookstores ,Leominster,Christian book store,abington,,,,,,,
Barnes & Noble,Leominster,Book store,abington,,,,,,,
Bookstore & Restaurant,Wellfleet,Book store,abington,,,,,,,
Annie's Book Stop,Worcester,Book store,abington,,,,,,,
Booklovers' Gourmet,Webster,Book store,abington,,,,,,,
Jabberwocky Bookshop,Newburyport,Book store,abington,,,,,,,
Where the Sidewalk Ends Bookstore,Chatham,Book store,abington,,,,,,,
Charity Guild Food Pantry,Brockton,Thrift store,abington,,,,,,,
Trident Booksellers & Cafe,Boston,Book store,abington,,,,,,,
Guild Thrift Store,Brockton,Thrift store,abington,,,,,,,
Yellow Umbrella Books,Chatham,Book store,abington,,,,,,,
The Salvation Army Family Store & Donation Center,Brockton,Thrift store,abington,,,,,,,
Amherst Books,Amherst,Book store,abington,,,,,,,
Barnes & Noble,Hadley,Book store,abington,,,,,,,
Grey Matter Books,Hadley,Used book store,abington,,,,,,,
Heritage Books,Southampton,Used book store,abington,,,,,,,
Odyssey Bookshop,South Hadley,Book store,abington,,,,,,,
Raven Used Books,Northampton,Used book store,abington,,,,,,,
Barnes & Noble,Holyoke,Book store,abington,,,,,,,
Old Book Store,Northampton,Used book store,abington,,,,,,,
Roundabout Books,Greenfield,Book store,abington,,,,,,,
Nantucket Bookworks,Nantucket,Book store,abington,,,,,,,
Broadside Bookshop,Northampton,Book store,abington,,,,,,,
Federal Street Books,Greenfield,Used book store,abington,,,,,,,
Boswell's Books,Shelburne Falls,Book store,abington,,,,,,,
Taproot Bookstore,Barre,Book store,abington,,,,,,,
The Bookstore and Get Lit Wine Bar,Lenox,Book store,abington,,,,,,,
The Paper Store,South Weymouth,Gift shop,abington,,,,,,,
The Bookloft,Great Barrington,Book store,abington,,,,,,,
Avenue Victor Hugo Books,Lee,Book store,abington,,,,,,,
Book Moon,Easthampton,Book store,abington,,,,,,,
The Goodwill Store,Quincy,Thrift store,abington,,,,,,,
Barnes & Noble,Willow Grove,Book store,abington,,,,,,,
The Goodwill Store,Jamaica Plain,Thrift store,abington,,,,,,,
Battleground Games & Hobbies,Saugus,Game store,abington,,,,,,,
Sanctum Folklorica Witch Shop,New Bedford,Gift shop,acushnet,,,,,,,
Rodney's Bookstore,Cambridge,Used book store,acushnet,,,,,,,
GameStop,Fairhaven,Video game store,acushnet,,,,,,,
Brookline Booksmith,Brookline,Book store,acushnet,,,,,,,
Barnes & Noble,East Walpole,Book store,acushnet,,,,,,,
First Unitarian Church Thrift Shop,New Bedford,Thrift store,acushnet,,,,,,,
More Than Words Warehouse Bookstore,Boston,Book store,acushnet,,,,,,,
Massachusetts Bay CC Bookstore,Wellesley Hills,Book store,acushnet,,,,,,,
Book Ends,Winchester,Book store,acushnet,,,,,,,
Porter Square Books,Cambridge,Book store,acushnet,,,,,,,
New England Mobile Book Fair,Newton Upper Falls,Book store,acushnet,,,,,,,
Mass Art Supply & Book Store,Boston,Book store,acushnet,,,,,,,
Papercuts JP,Jamaica Plain,Book store,acushnet,,,,,,,
The Book Rack,Arlington,Used book store,acushnet,,,,,,,
Amazon Books,Dedham,Book store,acushnet,,,,,,,
More Than Words Books,Waltham,Book store,acushnet,,,,,,,
Frugal Bookstore,Roxbury,Book store,acushnet,,,,,,,
Quaboag Book Shop,West Brookfield,Used book store,acushnet,,,,,,,
Boston College Bookstore,Chestnut Hill,Book store,acushnet,,,,,,,
Morning Star Bookstores ,Auburn,Christian book store,acushnet,,,,,,,
Morning Star Bookstores ,West Springfield,Christian book store,acushnet,,,,,,,
Booklink Booksellers,Northampton,Book store,acushnet,,,,,,,
Nancy L Dole Books,Shelburne Falls,Book store,acushnet,,,,,,,
Spencer Gifts,North Dartmouth,Gift shop,acushnet,,,,,,,
Linden Place,Bristol,Book store,acushnet,,,,,,,
BooksmithMusicsmith,Orleans,Sheet music store,acushnet,,,,,,,
Town Bookbindery Inc,154 County Rd,Bookbinder,acushnet,,,,,,,
Toadstool Bookshop,Nashua,Book store,ashburnham,,,,,,,
Gardner Game Knights,Gardner,Game store,ashburnham,,,,,,,
Gibson's Bookstore,Concord,Book store,ashburnham,,,,,,,
The Toadstool Bookshop,Keene,Book store,ashburnham,,,,,,,
Salvation Army Thrift Store,Gardner,Thrift store,ashburnham,,,,,,,
The Salvation Army Family Store & Donation Center,Gardner,Thrift store,ashburnham,,,,,,,
GameStop,Gardner,Video game store,ashburnham,,,,,,,
Savers,Worcester,Thrift store,ashburnham,,,,,,,
The Vermont Book Shop,Middlebury,Book store,ashburnham,,,,,,,
The Salvation Army Thrift Store Fitchburg MA,Fitchburg,Thrift store,ashburnham,,,,,,,
The Paper Store,Leominster,Gift shop,ashburnham,,,,,,,
The Otto Bookstore,Williamsport,Book store,ashburnham,,,,,,,
Princeton University Store,Princeton,Book store,ashburnham,,,,,,,
Caliban Book Shop,Pittsburgh,Book store,ashburnham,,,,,,,
Barnes & Noble,Gardner,Book store,ashburnham,,,,,,,
Belmont Books,79 Leonard St,Book store,ashland,,,,,,,
Brattle Book Shop,9 West St,Book store,ashland,,,,,,,
Savers,Marlborough,Thrift store,ashland,,,,,,,
Sister Thrift,Framingham,Thrift store,ashland,,,,,,,
American Girl Consignment,Holliston,Toy store,ashland,,,,,,,
New England Scout Shop  Boy Scouts of America,Southborough,Gift shop,ashland,,,,,,,
Learning Express,Natick,Toy store,ashland,,,,,,,
The Paper Store,Framingham,Gift shop,ashland,,,,,,,
Edible Arrangements,Framingham,Gift shop,ashland,,,,,,,
Gifting Well,,Gift shop,ashland,,,,,,,
Habitat for Humanity MetroWestGreater Worcester ReStore,Worcester,Thrift store,ashland,,,,,,,
American University Campus Store,Washington,Book store,ashland,,,,,,,
Hooked On Books Inc,Hopkinton,book_stores,ashland,,,,,,,
Ashland Books,Sullivan,Used book store,ashland,,,,,,,
Jesse Stuart Foundation Bookstore,Ashland,Book store,ashland,,,,,,,
KCTCS BOOKSTOREASHLAND COMMUNITY AND TECHNICAL COLLEGE,Ashland,Book store,ashland,,,,,,,
Tree House Books,Ashland,Book store,ashland,,,,,,,
Spinster Books,Ashland,Book store,ashland,,,,,,,
