name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched,state,zipcode,store_type
In NailSpa,"14 Indian Rock, Suffern, NY 10901",Nail salon,Suffern,,http://www.innailspa.com/,,,https://www.innailspa.com,,Contact,1,NY,10901,beauty_salon
Chic Beauty Salon,"51 Lonergan Dr, Suffern, NY 10901",Beauty salon,Suffern,,http://chicbeautysalon.net/,,,http://chicbeautysalon.net/#contact,,Contact,1,NY,10901,beauty_salon
Powder & Paint,"31 Kennedy Dr, Spring Valley, NY 10977",Nail salon,Spring Valley,,http://powderandpaintny.com/,,,http://powderandpaintny.com/contact,,Contact,1,NY,10977,beauty_salon
Mystic Images Salon,"74 Lafayette Ave #102, Suffern, NY 10901",Beauty salon,Suffern,,http://www.mysticimagessalon.com/,,,https://mysticimagessalon.com/contact-us/,,Contact Us,1,NY,10901,beauty_salon
Salon Olive,"180 Franklin Turnpike, Mahwah, NJ 07430",Nail salon,Mahwah,,http://salonolivenj.com/,,,http://salonolivenj.com/#,,Contacts,1,NJ,07430,beauty_salon
Revel Salon,"16A Lafayette Ave, Suffern, NY 10901",Beauty salon,Suffern,,http://www.revelsalonsuffern.com/,,,http://www.revelsalonsuffern.com/contact.html,,Contact,1,NY,10901,beauty_salon
Flash Nail & Spa,"1300 NJ-17 # 14, Ramsey, NJ 07446",Nail salon,Ramsey,,http://www.flashnailspa.com/,,,https://www.flashnailspa.com/contact,,CONTACT,1,NJ,07446,beauty_salon
Luxe European Salon,"385 Franklin Turnpike, Ramsey, NJ 07446",Beauty salon,Ramsey,,http://luxesalonandspa.com/,,,https://luxesalonandspa.com/#contact,,Contact,1,NJ,07446,beauty_salon
Exciting Hair,"110 Chestnut Ridge Rd, Montvale, NJ 07645",Beauty salon,Montvale,,http://www.excitinghair.com/,,,http://www.excitinghair.com/contacts/,,Contact Us,1,NJ,07645,beauty_salon
Belle Nail,"21 Interstate Shop Center, Ramsey, NJ 07446",Nail salon,Ramsey,,http://www.bellenail.net/,,,http://www.bellenail.net/contact,,201 825 8888,1,NJ,07446,beauty_salon
The Honey Pot,"165 Franklin Turnpike, Mahwah, NJ 07430",Waxing hair removal service,Mahwah,,http://hpwaxingsalon.com/,,,http://hpwaxingsalon.com/contact-us.html,,"
            				Contact Us
            			",1,NJ,07430,beauty_salon
Vogue Salon,"78 S Middletown Rd, Nanuet, NY 10954",Beauty salon,Nanuet,,http://www.voguesalonny.com/,,,http://www.voguesalonny.com/new-page-87,,"
            Contact
          ",1,NY,10954,beauty_salon
Stations 818,"116 Chestnut Ridge Rd, Montvale, NJ 07645",Beauty salon,Montvale,,https://stations818.com/,,,https://stations818.com/contact-us,,Contact Us,1,NJ,07645,beauty_salon
Heaven On Earth Beauty Salon,"330 Central Ave, Albany, NY 12206",Beauty salon,Albany,,http://heavenonearthbeautysalon.com/,,,https://heavenonearthbeautysalon.com/contact-us/,,Contact Us,1,NY,12206,beauty_salon
Jacqueline's Dominican Style Beauty Salon,"132 Central Ave, Albany, NY 12206",Beauty salon,Albany,,http://jacquelinesdominicanstyleinc.com/,,,https://jacquelinesdominicanstyleinc.com/contact/,,Contact,1,NY,12206,beauty_salon
Madelaine's Hair Salon,"6275 Johnston Rd, Albany, NY 12203",Beauty salon,Albany,,http://madelaineshairsalon.com/,,,http://madelaineshairsalon.com/contact.html,,Contact,1,NY,12203,beauty_salon
ND El's Salon and Spa,"142 N Allen St, Albany, NY 12206",Hair salon,Albany,,http://ndelssalon.com/,,,https://ndelssalon.com/contact/,,Contact,1,NY,12206,beauty_salon
Orlo School of Hair Design,"232 N Allen St, Albany, NY 12206",Beauty salon,Albany,,http://www.theorloschool.com/,,,https://www.theorloschool.com/admissions/contact-admissions/,,Contact Admissions,1,NY,12206,beauty_salon
Zaza Hair Studio,"3 Howard St, Albany, NY 12207",Beauty salon,Albany,,http://www.zazahair.com/,,,//www.hugedomains.com/contact.cfm,,Contact Us,1,NY,12207,beauty_salon
