name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched,state,zipcode,store_type
Meadow Lark Store  Modern Waldorf Family Living,"241 Hungry Hollow Rd, Spring Valley, NY 10977",Book store,Spring Valley,,http://www.meadowlarkstore.com/,,http://www.meadowlarkstore.com/products/gift-card,,"
We are still shipping!  *New* ~ purchase a gift card to use online or in-store once we reopen.
Click here to purchase a digital gift card.
",,1,NY,10977,book_store
Burning Books,"420 Connecticut St, Buffalo, NY 14213",Book store,Buffalo,,https://burningbooks.com/,,https://burningbooks.com/products/gift-card,https://burningbooks.com/pages/contact,Gift Cards,Contact,1,NY,14213,book_store
Clayton's Toys,"5225 Main St, Williamsville, NY 14221",Toy store,Williamsville,,http://claytonstoystore.wordpress.com/,,http://claytonstoystore.wordpress.com/collections/most-popular/products/50-gift-certificate,http://claytonstoystore.wordpress.com/pages/contact,"
$50 Gift Certificate
","
Contact
",1,NY,14221,book_store
William Stout Architectural Books,"804 Montgomery St, San Francisco, CA 94133",Book store,San Francisco,"Bi-level bookstore offering 1000s of titles on the subjects of architecture, art & design.",http://www.stoutbooks.com/,,http://www.stoutbooks.com/collections/gift-certificates,http://www.stoutbooks.com/pages/contact-us,Gifts,Contact,1,CA,94133,book_store
Going In Style,"609 Stanford Shopping Center, Palo Alto, CA 94304",Book store,Palo Alto,"One-stop travel shop with a wide variety of baggage, packing organizers, electronics & accessories.",http://www.goinginstyle-stanfordtravelstore.com/,,https://www.stanfordtravelstore.com/travel-store-gift-card,http://www.goinginstyle-stanfordtravelstore.com/contact-us-goinginstyle-stanford-shopping-center,"
                Gift Card
              ",Contact Us,1,CA,94304,book_store
William Stout Publishers,"1328 S 51st St, Richmond, CA 94804",Book store,Richmond,,https://stoutbooks.com/,,https://stoutbooks.com/collections/gift-certificates,https://stoutbooks.com/pages/contact-us,Gifts,Contact,1,CA,94804,book_store
Stomping Grounds,"41 Seneca St, Geneva, NY 14456",Book store,Geneva,,http://www.stompinggrounds.com/,,http://www.stompinggrounds.com/products/gift-card,http://www.stompinggrounds.com/mailto:support@stompinggrounds.com,Gift Card,"
              Contact
              
            ",1,NY,14456,book_store
Moe's Books,"2476 Telegraph Ave, Berkeley, CA 94704",Book store,Berkeley,"Enduring indie shop, buying, selling & trading books, also hosting regular readings & talks.",http://moesbooks.com/,,http://moesbooks.com/pages/books/100000GC50/moes-books/gift-card-50,https://www.moesbooks.com/contact.php,"

",Contact,1,CA,94704,book_store
Hammergirl Anime Inc,"376 Jefferson Rd # 4, Rochester, NY 14623",Comic book store,Rochester,,http://www.hammergirlanime.com/,,http://www.hammergirlanime.com/index.asp?PageAction=VIEWPROD&ProdID=3052,http://www.hammergirlanime.com/index.asp?PageAction=CONTACTUS,Gift Certificates,Contact Info,1,NY,14623,book_store
Advent Shop,"3 Bayview Ave, Massapequa, NY 11758",Book store,Massapequa,,http://www.adventshop.com/,,http://www.adventshop.com/gift-certificates.html,http://www.adventshop.com/contact-us.html,"
				GIFT CERTIFICATES
			","

			CONTACT US
		
",1,NY,11758,book_store
Green Toad Bookstore,"198 Main St, Oneonta, NY 13820",Book store,Oneonta,,http://www.greentoadbookstore.com/,,https://greentoadbookstore.com/about-our-store/#gift_cards,https://greentoadbookstore.com/contact-us/,GIFT CARDS,CONTACT US,1,NY,13820,book_store
Doylestown Bookshop,"16 S Main St, Doylestown, PA 18901",Book store,Doylestown,,http://www.doylestownbookshop.com/,,https://www.doylestownbookshop.com/gifts,http://www.doylestownbookshop.com/contact,Gifts & Gift Cards,Contact,1,PA,18901,book_store
Greenlight Bookstore,"686 Fulton St, Brooklyn, NY 11217",Book store,Brooklyn,"Classic independent bookstore stocking titles in all genres, plus reading events & kids' story time.",http://greenlightbookstore.com/,,http://greenlightbookstore.com/greenlight-gift-card,https://visitor.r20.constantcontact.com/manage/optin?v=0011QHrsLot1-fuwy6yHujVS6WvZ09o_5dtJA6sRWUS7SXS2JdIVGxwMee37Vye9DJfwGPPC7Z-C2p9OEpmnf4NkTgb0L-_eGEPQaNE0DicMVjn34_jYxSgvrDbNZbkcS0tTGplb1um6lOo8edujUA49JwZcyZDcYZnKR-m1EnMyYA%3D,gift card,,1,NY,11217,book_store
Community Bookstore,"143 7th Ave, Brooklyn, NY 11215",Book store,Brooklyn,Welcoming neighborhood book store offering an array of new titles for adults & children.,http://communitybookstore.net/,,http://communitybookstore.net/gift-certificate,,Gift Certificates,,1,NY,11215,book_store
