name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched,state,zipcode,store_type
Ray's Pizza and Restaurant Tallman,"321 NY-59, Tallman, NY 10982",Pizza,Tallman,,http://www.rayspizzatallman.com/,http://www.rayspizzatallman.com/Datamenu.aspx,http://www.rayspizzatallman.com/GiftCertificate.aspx,http://www.rayspizzatallman.com/ContactUs.aspx,Gift Certificate,"
        
        
        Contact Us
      
",1,NY,10982,restaurant
Assaggi E Vino at Marcello's Ristorante,"21 Lafayette Ave, Suffern, NY 10901",Italian,Suffern,"Traditional Northern Italian cuisine offered up in a sedate, white-tablecloth setting.",http://www.marcellosgroup.com/,http://www.marcellosgroup.com/menu.html,https://www.chefmarcellogourmetimports.com/gift-certificates-to-marcello-s,http://www.marcellosgroup.com/contact.html,For Marcellos,Contact & Hours,1,NY,10901,restaurant
Primavera,"106 NY-59, Monsey, NY 10952",Kosher,Monsey,,https://www.primaverakosher.com/,https://www.primaverakosher.com/menus,https://www.toasttab.com/primavera-cafe-and-restaurant-106-rte-59/giftcards,https://www.primaverakosher.com/contact-us,"eGift Cards




",buy a gift card +,1,NY,10952,restaurant
Sushi Bada,"74 Lafayette Ave, Suffern, NY 10901",Sushi,Suffern,"Chic sushi spot with lunch plates & boxes plus beer, wine & sake served in a lively, low-lit space.",http://www.sushibada59.com/,https://www.toasttab.com/sushi-bada-suffern,https://www.toasttab.com/sushi-bada-suffern/giftcards,http://sushibada59.com/?page_id=34,E-Giftcard,Contact,1,NY,10901,restaurant
677 Prime,"677 Broadway, Albany, NY 12207",Steak,Albany,Upscale steakhouse with mahogany accents & colorful art features 400+ wines & weekday bar deals.,https://677prime.com/,https://677prime.com/menus/dinner-menu,https://677prime.com/#promo32,https://677prime.com/contact-us,Buy $100 in Gift Cards get $25,,1,NY,12207,restaurant
Jack's Oyster House,"42 State St, Albany, NY 12207",Seafood,Albany,"Family-run for a century+, this clubby fixture dishes surf 'n' turf amid dark wood & vintage pics.",http://www.jacksoysterhouse.com/,http://jacksoysterhouse.com/our-menu,https://www.toasttab.com/jacks-oyster-house/giftcards,http://www.jacksoysterhouse.com/contact-us,Buy Now,"
        
        Contact Us
      ",1,NY,12207,restaurant
Athos Restaurant,"1814 Western Ave, Albany, NY 12203",Greek,Albany,"Authentic Greek fare in an upscale setting with a lively bar, fixed-price specials & Friday music.",https://www.athosrestaurant.com/,https://www.athosrestaurant.com/dinnermenu,https://swipeit.com/product/1986/athos-restaurant,https://www.athosrestaurant.com/contact-us,GIFT CARDS,Contact Us,1,NY,12203,restaurant
Yono's,"25 Chapel St, Albany, NY 12210",Fine Dining,Albany,"Global menu emphasizing Indonesian cuisine & a deep wine list in a refined, townhouse-style space.",http://www.yonos.com/,,https://swipeit.com/product/1560/yonos-and-dp-brasserie,,Gift Certificates,,1,NY,12210,restaurant
Iron Gate Cafe,"182 Washington Ave, Albany, NY 12210",American,Albany,"Gated, serene garden seating area fronts this American breakfast/lunch spot in a sandstone mansion.",http://irongatecafe.com/,http://places.singleplatform.com/iron-gate-cafe-2/menu?ref=google,http://irongatecafe.com/gift-cards,,Gift Cards ,,1,NY,12210,restaurant
Caffe Italia,"662 Central Ave, Albany, NY 12206",Italian,Albany,"A veteran family-run standby for classic Italian dishes, from zuppa di pesce to veal parmigiana.",http://www.caffeitaliaalbany.com/,http://www.caffeitaliaalbany.com/page/dinner-menu-1.html,http://www.caffeitaliaalbany.com/page/gift-cards-3.html,http://www.caffeitaliaalbany.com/page/contact-6.html,Gift Cards,Contact,1,NY,12206,restaurant
Tillmans Village Inn,"14369 Ridge Rd W, Albion, NY 14411",Restaurant,Albion,,http://www.tillmansvillageinn.com/,,http://www.tillmansvillageinn.com/giftcard.html,,"Gift Cards - Check 
														your Balance",,1,NY,14411,restaurant
BeefNBarrel Restaurant,"146 N Union St, Olean, NY 14760",American,Olean,Old-fashioned eatery with wood & stained-glass fixtures draws carnivores with signature roast beef.,http://www.beefnbarrel.com/,http://www.beefnbarrel.com/menu/full/desserts.php,http://www.beefnbarrel.com/gift_cards.htm,http://www.beefnbarrel.com/contact.htm, Gift Cards , Contact Us ,1,NY,14760,restaurant
Angee's Restaurant,"475 N Union St, Olean, NY 14760",Italian,Olean,"Humble, family-owned operation supplying familiar Italian dishes plus sandwiches, burgers & beer.",http://angees.com/,http://angees.com/drop-off-catering-menu/,https://angees.com/store/category/store-products/,https://angees.com/contact/,"Sauce, T-Shirts, Gift Cards",Contact,1,NY,14760,restaurant
Natalie's Mediterranean Eatery,"807 Millersport Hwy, Amherst, NY 14226",Mediterranean,Amherst,,http://www.natalieseatery.com/,http://www.natalieseatery.com/Menu.html,http://www.natalieseatery.com/gift-certificate-contest,,Gift Certificate Contest,,1,NY,14226,restaurant
Vittorio's,"184 Broadway, Amityville, NY 11701",Steak,Amityville,"Classy, intimate American-Italian spot & bar with steak deals & wine dinners from a vast list.",http://www.vittorios.biz/,http://vittorios.biz/wp-content/uploads/2015/05/Vittorios-dinner-4-151.pdf,http://vittorios.biz/gift-cards/,http://vittorios.biz/contact/,Gift Cards,Contact,1,NY,11701,restaurant
Brownstones Coffee,"55 Merrick Rd, Amityville, NY 11701",Breakfast,Amityville,,http://www.brownstonescoffee.com/,,http://www.brownstonescoffee.com/store/gift-cards/,http://www.brownstonescoffee.com/contact/,Gift Cards,Contact,1,NY,11701,restaurant
Sophia,"71 Merrick Rd, Amityville, NY 11701",Italian,Amityville,"Traditional Italian kitchen serving pasta, meat & seafood, plus global wines, in polished digs.",http://www.sophiabistro.com/,http://www.sophiabistro.com/menu/lunch-menu,http://www.sophiabistro.com/gift-card,http://www.sophiabistro.com/contact,,Contact,1,NY,11701,restaurant
Garden Social Beer Garden & Kitchen,"1964 Hempstead Turnpike, East Meadow, NY 11554",Restaurant,East Meadow,,http://www.gardensocialli.com/,http://gardensocialli.com/dinner-menu.html,http://www.gardensocialli.com/gift-cards.html,http://www.gardensocialli.com/contact.html,Gift Card,Contact,1,NY,11554,restaurant
Lasca's Restaurant & Carry Out,"252 Grant Ave, Auburn, NY 13021",Italian,Auburn,"Destination for Italian & American entrees, light bites & microbrews features a covered patio.",http://lascas.com/,http://places.singleplatform.com/lascas-carry-out/menu?ref=google,http://lascas.com/gift-card,,"
        
        Gift Card
      ",,1,NY,13021,restaurant
Auburn Diner,"64 Columbus St, Auburn, NY 13021",Diner,Auburn,"Old-school destination serving familiar American grub, including all-day breakfast, in a cozy setup.",http://www.auburnmenus.com/,http://www.auburnmenus.com/auburn_diner_breakfast_menu.pdf,http://lascas.com/giftcard/gift.php,https://www.menusguide.com/contact.html,Gift Card,Add menu,1,NY,13021,restaurant
Prison City Pub and Brewery,"28 State St, Auburn, NY 13021",Brewery,Auburn,Vibrant brewpub featuring a variety of craft brews & New American bites in an industrial-chic space.,http://www.prisoncitybrewing.com/,http://places.singleplatform.com/prison-city-pub--brewery/menu?ref=google,http://www.prisoncitybrewing.com/shop,http://www.prisoncitybrewing.com/contact,"
                  Gift Certificates
                ","
Contact
",1,NY,13021,restaurant
JB's WALL STREET GRILL,"128 Pearl St, New York, NY 10005",Grill,New York,Prime steaks & seafood are served in a fine dining setting with a hip rooftop atrium.,http://www.wallstreetgrill.com/,http://places.singleplatform.com/wall-street-grill-5/menu?ref=google,https://wallstreetgrill.com/gift-cards/,https://wallstreetgrill.com/contact-us/,Gift Cards,Contact Us,1,NY,10005,restaurant
Flea Street,"3607 Alameda de las Pulgas, Menlo Park, CA 94025",New American,Menlo Park,Upscale mainstay for Californian-New American fare focusing on sustainable ingredients.,https://www.cooleatz.com/,https://www.cooleatz.com/flea-st-cafe,https://www.cooleatz.com/copy-of-xmasdinner2017,,GIFT CARDS,,1,CA,94025,restaurant
Gemelli,"175 E Main St, Babylon, NY 11702",Italian,Babylon,Intimate destination for upscale Italian cooking in a Tuscan-villa setting with murals & an atrium.,http://www.gemellirestaurant.com/,https://www.gemellirestaurant.com/menu,http://www.gemellirestaurant.com/store/gift-cards/,http://www.gemellirestaurant.com/contact/,Gift Cards,Contact,1,NY,11702,restaurant
Glen's Dinette,"23 E Main St, Babylon, NY 11702",American,Babylon,"Local fixture dishing up classic American breakfast & lunch eats, plus egg creams, since the 1940s.",http://www.glensdinette.com/,https://www.glensdinette.com/index.php/home/menus,https://www.glensdinette.com/index.php/home/giftcards,https://www.glensdinette.com/index.php/home/contact,Giftcards,Book an Event,1,NY,11702,restaurant
Post Office Cafe,"130 W Main St, Babylon, NY 11702",American,Babylon,American pub grub & craft beers in an old post office buzzing with happy-hour & sports-bar crowds.,https://www.postofficecafe.com/,https://www.lessings.com/corporate/restaurants/venue/post-office-cafe#menus,https://www.lessings.com/corporate/gift-card,https://www.postofficecafe.com/contact/,Gift Cards,Contact,1,NY,11702,restaurant
Horace & Sylvia's Publick House,"100 Deer Park Ave, Babylon, NY 11702",Restaurant,Babylon,"Homey American bistro with a local focus features seasonal eats, Long Island wines & a vibrant bar.",http://www.horaceandsylvia.com/,http://www.horaceandsylvia.com/Menu/0/Menus.aspx,http://www.horaceandsylvia.com/GiftBaskets/1/BasketDetails.aspx,http://www.horaceandsylvia.com/Pages/contactus.aspx,Gift Cards,Contact Us,1,NY,11702,restaurant
Babylon Carriage House,"21 Fire Island Ave, Babylon, NY 11702",Grill,Babylon,Elegant eatery in an 1865 carriage house dishes Continental fare & draws a boisterous bar crowd.,http://www.babyloncarriagehouse.com/,https://www.thebabyloncarriagehouse.com/eat,https://www.instagram.com/p/B-SCw0_Klg4/,https://www.instagram.com/p/B-XY-UTH68i/,"

","

",1,NY,11702,restaurant
Augie's Family Style Italian Restaurant,"17 Low St, Ballston Spa, NY 12020",Fine Dining,Ballston Spa,"Pizza, pasta & traditional Italian mains pair with global wines in a cozy, dark-wood setting.",https://augiesrestaurant.com/,https://augiesrestaurant.com/menu/,https://augiesrestaurant.com/gift/,,Gift cards,,1,NY,12020,restaurant
Next Door Kitchen and Bar,"51 Front St, Ballston Spa, NY 12020",Restaurant,Ballston Spa,Locally sourced comfort food & wine served in a rustic-chic eatery with reclaimed-wood decor.,http://www.eatdinnernextdoor.com/,,http://www.nextdoorkitchenandbar.com/gift-cards/,http://www.nextdoorkitchenandbar.com/contact/,Gift Cards,Contact,1,NY,12020,restaurant
Villago,"175 Lake Rd, Ballston Lake, NY 12019",Pizza,Ballston Lake,,http://www.villagopizzeria.com/,http://www.villagopizzeria.com/Pages/Menu.aspx?DeptID=0,http://www.villagopizzeria.com/GiftBaskets/1/BasketDetails.aspx,http://www.villagopizzeria.com/Pages/contactus.aspx,Gift Cards,Contact Us,1,NY,12019,restaurant
Whistling Kettle Ballston Spa,"24 Front St, Ballston Spa, NY 12020",Restaurant,Ballston Spa,"Quaint, brick-lined cafe with 125+ teas has a rotating menu of soups, crêpes & baked goods.",http://www.thewhistlingkettle.com/,https://www.thewhistlingkettle.com/pages/menu,http://www.thewhistlingkettle.com/collections/gift-cards,http://www.thewhistlingkettle.com/pages/contact-us-1,Gift Cards,CONTACT US,1,NY,12020,restaurant
Shepard Hills Country Club,"17 Chemung St, Waverly, NY 14892",Restaurant,Waverly,,http://www.shepardhills.com/,http://places.singleplatform.com/the-club-at-shepard-hills/menu?ref=google,http://www.shepardhills.com/gift_certificate.php,http://www.shepardhills.com/contact.php,Gift Certificates,"Contacts
",1,NY,14892,restaurant
The Owego Kitchen,"13 Lake St, Owego, NY 13827",Restaurant,Owego,,http://theowegokitchen.com/,http://theowegokitchen.com/,https://squareup.com/gift/3VTGH66TG4VEE/order,,Purchase e-Gift Cards,,1,NY,13827,restaurant
Settlers Family Restaurant,"353 W Main St, Batavia, NY 14020",Familyfriendly,Batavia,Longtime family-run eatery supplying American & Mediterranean comfort food from morning till night.,http://settlersrestaurant.com/,http://www.settlersrestaurant.com/Menu/Menus.aspx,http://settlersrestaurant.com/GiftBaskets/BasketDetails.aspx?BasketID=1,http://settlersrestaurant.com/contact,Gift Cards,Contact,1,NY,14020,restaurant
Walls Wharf Restaurant and Catering,"18 Greenwich Ave, Bayville, NY 11709",Seafood,Bayville,Panoramic views of the Sound draw fans to this upscale seafood venue with beachfront seating.,http://wallswharf.com/,http://www.wallswharf.com/menus/wine-list.html,http://wallswharf.very-good-development.com/gift-cards/,https://wallswharf.com/contact-us/,,Contact Us,1,NY,11709,restaurant
Mill Creek Tavern,"275 Bayville Ave, Bayville, NY 11709",Restaurant,Bayville,"Neighborhood go-to with a full bar & warm dining room serving seafood, steaks & other American eats.",http://www.millcreekny.com/,http://www.millcreekny.com/menu/,https://onelink.quickgifts.com/merchant/mill-creek-tavern-ny/,https://www.millcreekny.com/contact-us/,Gift Card,Contact Us,1,NY,11709,restaurant
Kitchen & Coffee,"3710 Washington St, Jamaica Plain, MA 02130",Restaurant,Jamaica Plain,"Hip, buzzy cafe with gourmet java & pastries by day & Euro-style meals, plus cocktails, by night.",http://brassicakitchen.com/,http://places.singleplatform.com/fazenda-cafe/menu?ref=google,http://brassicakitchen.com/new-page,http://brassicakitchen.com/contact,"
            Gift Card
          ","
            Contact
          ",1,MA,02130,restaurant
GE Brown Fine Food & Provisions,"652 Old Post Rd, Bedford, NY 10506",Takeout Restaurant,Bedford,,https://www.gebrown.com/,http://gebrown.com/menus,https://squareup.com/gift/DV0QZ4FSKVB85/order,,eGIFT CARDS,,1,NY,10506,restaurant
Sinapi's Pizza Rustica,"5 Norm Ave, Bedford Hills, NY 10507",Pizza,Bedford Hills,,http://www.sinapispizzarustica.com/,http://www.sinapispizzarustica.com/Menu.aspx,http://www.sinapispizzarustica.com/GiftCertificate.aspx,http://www.sinapispizzarustica.com/ContactUs.aspx,"


Gift Certificate


","
        
        
        Contact Us
      
",1,NY,10507,restaurant
La Camelia,"234 N Bedford Rd, Mt Kisco, NY 10549",Spanish,Mt Kisco,Quaint spot offering traditional Iberian fare & tapas paired with Spanish wines & sangria.,http://www.lacameliarestaurant.net/,,https://www.toasttab.com/la-camelia-restaurant/giftcards,http://www.lacameliarestaurant.net/#footer,Gift Card Purchase,Contact Us,1,NY,10549,restaurant
The Inn at Pound Ridge,"258 Westchester Ave, Pound Ridge, NY 10576",American,Pound Ridge,"Upscale locavore American fare from the namesake chef in a restored, rustic-chic 1833 home.",http://www.theinnatpoundridge.com/,http://www.theinnatpoundridge.com/menus/lunch/,http://www.jean-georges.com/store/gift-cards,http://www.theinnatpoundridge.com/contact-and-directions/,gift cards,Contact,1,NY,10576,restaurant
Moderne Barn Restaurant,"430 Bedford Rd #2002, Armonk, NY 10504",New American,Armonk,"Buzzing restaurant with a globe-trotting New American menu in a soaring, equestrian-themed space.",http://www.modernebarn.com/,https://www.modernebarn.com/menus/,https://www.modernebarn.com/gift-cards/,https://www.modernebarn.com/contact/,Gift Cards,Contact,1,NY,10504,restaurant
Farmhouse Tavern,"128 Bedford Rd, Katonah, NY 10536",American,Katonah,,https://farmhousekatonah.com/,,https://farmhousekatonah.com/#giftcards,https://farmhousekatonah.com/#contact,Gift Cards,Contact,1,NY,10536,restaurant
Daily Planet,"1202 State Rte 55, Lagrangeville, NY 12540",Diner,Lagrangeville,Playfully retro spot serving an all-day menu of American diner staples.,http://dailyplanetdiner.com/,http://places.singleplatform.com/the-daily-planet-2/menu?ref=google,https://dailyplanetdiner.com/#giftcards,,Gift Cards,,1,NY,12540,restaurant
Joe's Dairy Bar and Grill,"550 NY-82, Hopewell Junction, NY 12533",Restaurant,Hopewell Junction,,https://joesdairybarandgrill.com/,https://joesdairybarandgrill.com/food-menu/,https://joesdairybarandgrill.com/gift-cards/,https://joesdairybarandgrill.com/contact/,Gift Cards,Contact,1,NY,12533,restaurant
The Tavern at Beekman Arms,"6387 Mill St, Rhinebeck, NY 12572",American,Rhinebeck,"1766 inn serving pub fare & drinks in dining rooms, a greenhouse, or a beamed taproom.",http://www.beekmandelamaterinn.com/,,http://www.beekmandelamaterinn.com/gifts,http://www.beekmandelamaterinn.com/contact,Gift Certificates,Contact,1,NY,12572,restaurant
Alexander's Steakhouse,"19379 Stevens Creek Blvd, Cupertino, CA 95014",Steak,Cupertino,"Posh spot fusing steakhouse classics with Japanese cuisine, with a signature cotton candy dessert.",https://www.alexanderssteakhouse.com/,http://www.alexanderssteakhouse.com/cupertino/menus/food/,https://alexanderspatisserie.securetree.com/Gift-Cards/,,Alexander’s Patisserie,,1,CA,95014,restaurant
The Sea by Alexander's Steakhouse,"4269 W El Camino Real, Palo Alto, CA 94306",Seafood,Palo Alto,Ambitious renderings of sustainably sourced seafood paired with global wines in a modern setting.,http://www.theseausa.com/,https://theseausa.com/,https://alexanderspatisserie.securetree.com/Gift-Cards/,,Alexander’s Patisserie,,1,CA,94306,restaurant
Alexander's Patisserie,"19379 Stevens Creek Blvd #100, Cupertino, CA 95014",Bakery,Cupertino,,http://www.alexanderspatisserie.com/,,https://alexanderspatisserie.securetree.com/Gift-Cards/,,Alexander’s Patisserie,,1,CA,95014,restaurant
Remlik's,"31 Lewis St, Binghamton, NY 13901",Oyster Bar,Binghamton,Upscale grill & oyster bar offering area-sourced American fare & wine in elegant surrounds.,https://www.remliks.com/,http://places.singleplatform.com/remliks/menu?ref=google,https://remliks.com/contact/,https://remliks.com/contact/,Gift Cards,Gift Cards,1,NY,13901,restaurant
Number 5,"33 S Washington St, Binghamton, NY 13903",Restaurant,Binghamton,"Sophisticated, bi-level steakhouse furnishing diverse wines & live music in an 1897 fire station.",http://www.number5restaurant.com/,http://number5restaurant.com/wine-menu/,https://www.number5restaurant.com/gift-cards/,https://www.number5restaurant.com/contact/,Gift Cards,Contact,1,NY,13903,restaurant
Little Venice,"111 Chenango St, Binghamton, NY 13901",Italian,Binghamton,"Long-running, family-friendly mainstay serving Italian classics in a space lined with oil paintings.",http://www.littlevenicerestaurant.com/,http://littlevenicerestaurant.com/menus/lunch/,https://littlevenicerestaurant.com/gift-cards/,https://littlevenicerestaurant.com/contact-us/,Gift Cards,Contact Us,1,NY,13901,restaurant
Michelangelo's Pizzeria & Ristorante,"465 Court St, Binghamton, NY 13904",Pizza,Binghamton,Classic Italian & American favorites & pies are offered at this family-friendly casual choice.,http://www.michelangelosristorante.com/,http://www.michelangelosristorante.com/full_menu.aspx,http://www.michelangelosristorante.com/../gift_cards.aspx,,Gift Cards ,,1,NY,13904,restaurant
Lost Dog Cafe & Lounge,"222 Water St, Binghamton, NY 13901",American,Binghamton,"Upbeat cafe with global fare backed by live jazz, plus a sleek lounge pouring beers & cocktails.",http://lostdog.cafe/,http://places.singleplatform.com/lost-dog-cafe-coffeehouse/menu?ref=google,https://www.lostdogcafe.net/product/gift-card/,https://www.lostdogcafe.net/contact/,Gift Cards,Contact,1,NY,13901,restaurant
Ward's Bridge Inn,"135 Ward St, Montgomery, NY 12549",Restaurant,Montgomery,"Vintage country inn serving Traditional American eats boasts an airy sunroom, rustic tavern & bar.",http://www.wardsbridgeinn.com/,http://places.singleplatform.com/wards-bridge-inn/menu?ref=google,https://www.wardsbridgeinn.com/gift-certificates/,https://www.wardsbridgeinn.com/contact/,Gift Certificates,Contact,1,NY,12549,restaurant
The Grange Community Kitchen,"22 Main St, Hamburg, NY 14075",New American,Hamburg,"Seasonal salads, pizza & steak served in an airy, traditional setting with outdoor seating.",http://www.grangecommunitykitchen.com/,http://www.grangecommunitykitchen.com/menus,https://ecommerce.custcon.com/Purchase/Select?c=e7fe2cc7-3cbd-4e6a-b927-760ccf1b457d,http://www.grangecommunitykitchen.com/contact,"
        Gift Cards
      ","
            Contact
          ",1,NY,14075,restaurant
