name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched
Barnes & Noble,,Book store,abington,,,,,,,,1
Barnes & Noble,"Staples Plaza 444A, Broadway, Saugus, MA 01906",Book store,abington,https://stores.barnesandnoble.com/store/2798,,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.",,,,,1
Books & Arts,"1428 Beacon St, Brookline, MA 02446",Book store,abington,https://www.facebook.com/BostonBookArts/,,,,,#,Contact Books & Arts on Messenger,1
Barnes & Noble,"1 Worcester Rd, Framingham, MA 01701",Book store,abington,https://stores.barnesandnoble.com/store/2645,,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.",,,,,1
Whitelam Books,"610 Main St, Reading, MA 01867",Book store,abington,http://www.whitelambooks.com/,,,,,https://www.whitelambooks.com/contact,CONTACT,1
Barnes & Noble,"Stallbrook Marketplace, 270 Hartford Ave, Bellingham, MA 02019",Book store,abington,https://stores.barnesandnoble.com/store/2829,,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.",,,,,1
Seven Stars,"731 Massachusetts Ave, Cambridge, MA 02139",Book store,abington,https://www.facebook.com/Seven-Stars-269524235563/,,Homey shop features a wide range of New Age books & precious stones in a down-to-earth atmosphere.,,,,,1
Barnes & Noble,"Northshore Mall, 210 Andover St, Peabody, MA 01960",Book store,abington,https://stores.barnesandnoble.com/store/2993,,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.",,,,,1
Barnes & Noble,"98 Middlesex Turnpike, Burlington, MA 01803",Book store,abington,https://stores.barnesandnoble.com/store/2966,,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.",,,,,1
Used Book Superstore,"256 Cambridge St, Burlington, MA 01803",Used book store,abington,http://www.usedbooksuperstore.com/,,,,,/contact,Contact Us,1
Savers,"2035 Washington St, Hanover, MA 02339",Thrift store,abington,https://stores.savers.com/ma/hanover/savers-thrift-store-1188.html,,"Thrift store chain offering secondhand clothing, footwear, furniture, books & household items.",Gift Cards,https://www.savers.com/shop/gift-cards,,,1
Bearly Read Books,"320 Boston Post Rd, Sudbury, MA 01776",Rare book store,abington,http://www.bearlyreadbooks.com/,,,,,contact_us.htm,,1
Wellesley Books,"82 Central St, Wellesley, MA 02482",Book store,abington,http://store.wellesleybooks.com/,,,Wellesley Books gift cards,/wellesley-books,http://visitor.r20.constantcontact.com/manage/optin?v=001slSEbyvZTIhxQzYF_ZvA2IZZh2nAKuM6n19hQiqseyIri5WIRqwlLP2FmvGfTkIrG60YoMGGebccbk571aP2O93Ud5x6c1PG39jLGRHk5oTRTUmyl71lw6rD_E_Wm3N2E9vyoyH1lTOlBGutN4E4aMhfQiPbYJKTaTZB18pfb0Q%3D,Newsletter,1
Book Shop of Beverly Farms,"40 West St, Beverly, MA 01915",Book store,abington,http://realbookshop.com/,,,,,,,1
Bristol CC Bookstore,"Parking, 777 Elsbree St Building C, Lot 4, Fall River, MA 02720",Book store,abington,,,,,,,,1
Middlesex CC Bookstore  Bedford,"590 Springs Rd, Bedford, MA 01730",Book store,abington,https://www.bkstr.com/middlesexccbedfordstore/home,,"Large shop stocking textbooks, computers, dorm supplies & Arizona State University apparel & gifts.",,,,,1
The Bookstore of Gloucester,"61 Main St #5783, Gloucester, MA 01930",Book store,abington,http://www.thebookstoreofgloucester.com/,,,,,/contact,"
                Contact
              ",1
Massachusetts Maritime Academy Store,"101 Academy Dr, Buzzards Bay, MA 02532",Book store,abington,https://www.bkstr.com/massmaritimestore/home,,,,,,,1
Dogtown Book Shop,"132 Main St, Gloucester, MA 01930",Used book store,abington,https://www.dogtownbooks.com/,,,,,/contact-us,Contact Us,1
Barnes & Noble,"Dartmouth Towne Center 392, US-6, North Dartmouth, MA 02747",Book store,abington,https://stores.barnesandnoble.com/store/1962,,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.",,,,,1
