name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched
Abington Depot,"101 Railroad St, Abington, MA 02351",Restaurant,abington,,http://www.abingtondepot.com/contact-us,http://www.abingtondepot.com/pdf/togo.pdf,,/contact-us,,CONTACT US,1
Lobster Barn,"996 Hancock St, Abington, MA 02351",Seafood,abington,"Casual, old-school eatery serving classic seafood dishes in a barn-shaped building with a patio.",http://www.lobsterbarn.net/,http://places.singleplatform.com/the-lobster-barn/menu?ref=google,,/contact-us,," Contact Us

",1
Spencer's Pizza,"123 Centre Ave, Abington, MA 02351",Pizza,abington,,http://www.spencerspizza.com/,http://www.spencerspizza.com/menu,,,,,1
Aroma Pizza and Grill,"143 N Quincy St, Abington, MA 02351",Pizza,abington,,http://www.aromapizzagrill.com/,http://places.singleplatform.com/aroma-pizza-and-grill/menu?ref=google,,tel:5085104106,,508-510-4106,1
Double Horse Bistro,"800 Brockton Ave, Abington, MA 02351",New American,abington,,http://doublehorsebistro.com/,https://doublehorsebistro.com/menus,,,,,1
Abington House of Pizza,"198 North Ave, Abington, MA 02351",Pizza,abington,"Pizzeria serving pies, sandwiches & salads in a bright, plant-filled seating area with arcade games.",http://www.abingtonhouseofpizza.com/,https://www.ediningexpress.com/live20/5/10/,,,,,1
The Cellar Tavern,"221 North Ave, Abington, MA 02351",Grill,abington,,http://thecellartavern.com/,http://places.singleplatform.com/the-cellar-tavern/menu?ref=google,,http://thecellartavern.com/contacts/,,Contact,1
PizZing's Pizza & Wings,"1035 Bedford St, Abington, MA 02351",Pizza,abington,,http://www.pizzingspizza.com/,,https://pizzingspizza.com/gift-cards/,https://pizzingspizza.com/contact/,Gift Cards,Contact,1
Martin's Restaurant,"205 North Ave, Abington, MA 02351",Breakfast,abington,"Local fast-food chain for classic American eats, including Southern specialties such as biscuits.",,http://places.singleplatform.com/martins-resaurant/menu?ref=google,,http://www.singleplatform.com/menu-lp?ref=google&sp_source=publisher&sp_campaign=google&sp_channel=viral,,,1
Omoto Garden,"1501 Bedford St, Abington, MA 02351",Sushi,abington,,https://www.omotogardenabington.com/,,,/contact-location,," CONTACT/LOCATION

",1
China Eatery Restaurant,"34 Brockton Ave, Abington, MA 02351",Chinese,abington,,http://chinaeatery.eat24hour.com/,,,https://menupages.com/info/contact-us,,Contact us,1
Sarcastic Swine BBQ & Restaurant,"988 Bedford St, Abington, MA 02351",Barbecue,abington,,http://sarcasticswinebbq.com/,,,,,,1
Portofino's Italian Kitchen,"396 Brockton Ave, Abington, MA 02351",Pizza,abington,,https://www.portofinositaliankitchenmenu.com/,https://slicelife.com/restaurants/ma/abington/02351/portofino-s-italian-kitchen/menu,,,,,1
Golden Dragon,"35 Pleasant St, South Weymouth, MA 02190",Chinese,abington,Laid-back eatery with a wrap-around bar offering a large menu of familiar Chinese dishes.,http://goldendragonsouthweymouth.com/,http://www.goldendragonma.com/menu.aspx,,/contact,,Contact us,1
Louis Pizza & Roast Beef Restaurant,"1600 Main St, Weymouth, MA 02190",Pizza,abington,,http://www.louiespizzaweymouth.com/,,,https://louiespizzaweymouth.foodtecsolutions.com/contact,,Contact us,1
Greek House Of Pizza,"343 Centre Ave, Rockland, MA 02370",Pizza,abington,,https://www.greekpizzarockland.com/,http://www.greekpizzarockland.com/Menus,/Gift,/Contact,Gift Certificate ,Contact Us ,1
Wendy's,"373 Centre Ave, Abington, MA 02351",Fast Food,abington,Fast-food burger chain serving sides such as chili & baked potatoes.,https://locations.wendys.com/united-states/ma/abington/373-centre-avenue?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search,https://menu.wendys.com/en_US/categories/?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search,http://www.wendysgiftcards.com/#/home,https://www.wendys.com/contact-us,gift card portal.,Contact page,1
JP Ryan's Tavern,"246 Brockton Ave, Abington, MA 02351",Restaurant,abington,,http://www.jpryanstavern.com/,http://places.singleplatform.com/j-p-ryans-tavern/menu?ref=google,,,,,1
Margots Restaurant,"800 Brockton Ave # 4, Abington, MA 02351",Restaurant,abington,,,,,,,,1
Submarine Galley,"74 Brockton Ave, Abington, MA 02351",Sandwich,abington,,,,,,,,1
Cast Iron Cafe,"535 Plymouth St, Whitman, MA 02382",Restaurant,abington,,https://cast-iron-cafe.business.site/,,,,,Contact,1
Bawarchi Biryanis  Indian Cuisine,"532 Pond St, South Weymouth, MA 02190",Indian,abington,,https://bawarchiweymouth.com/,https://bawarchiweymouth.com/Menu,,/ContactUs?pid=168,,"
ContactUs
                                                                ",1
Pizza Hut Express,"375 Centre Ave, Abington, MA 02351",Pizza,abington,Family-friendly chain known for its made-to-order pizzas.,https://locations.pizzahut.com/ma/abington/375-centre-ave,,https://buypizzahutcards.com/Giftcard,,Gift Cards,,1
China Plaza,"35 Market St, Rockland, MA 02370",Chinese,abington,,https://m.facebook.com/pages/category/Family-Style-Restaurant/China-Plaza-Restaurant-111535098886648/,,,,,,1
Thai All Seasons,"11 South Ave, Whitman, MA 02382",Thai,abington,,http://thaiallseasons.com/,http://www.thaiallseasons.com/menu.html,,,,,1
Brothers Roast Beef,"506 Washington St, Abington, MA 02351",Fast Food,abington,,https://brothersroastbeef.com/,https://slicelife.com/restaurants/MA/Abington/02351/brother-s-roast-beef-pizza/menu,,,,,1
Subway,"937B Bedford St, Abington, MA 02351",Sandwich,abington,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",https://order.subway.com/en-us/restaurant/6055/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=6055&utm_campaign=evergreen-2020,https://order.subway.com/en-us/restaurant/6055/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acquisition&utm_content=6055&utm_campaign=yxt-restaurant-listing-allyear-2020&cid=0:tx:0:swy-web:0:0&segment_code=0,,,,,1
Powerhouse Nutrition,"493 Washington St, Abington, MA 02351",Restaurant,abington,,,,,,,,1
Subway,"777 Brockton Ave, Abington, MA 02351",Sandwich,abington,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",https://order.subway.com/en-us/restaurant/37873/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=37873&utm_campaign=evergreen-2020,https://order.subway.com/en-us/restaurant/37873/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acquisition&utm_content=37873&utm_campaign=yxt-restaurant-listing-allyear-2020&cid=0:tx:0:swy-web:0:0&segment_code=0,,,,,1
Stockholders,"1073 Main St, South Weymouth, MA 02190",Steak,abington,"Steaks, chops & seafood are served in a refined, classic setting with dark wood, plus a lounge.",http://www.stockholderssteakhouse.com/,http://places.singleplatform.com/stockholders/menu?ref=google,/gift-cards,/contact-us,Gift Cards,Contact,1
Papa Gino's,"532 Pond St, Weymouth, MA 02190",Pizza,abington,"Standard, family-oriented chain for pizzas, pastas & subs.",https://locations.papaginos.com/ma/weymouth/532-pond-street.html?utm_source=yext&utm_medium=local&utm_campaign=listings,https://www.papaginos.com/menu?utm_source=yext&utm_medium=local&utm_campaign=listings,,,,,1
JJ's Caffe,"610 N Main St, Brockton, MA 02301",American,abington,Chef-owned joint serving modernized breakfast & lunch classics in an easygoing environment.,http://www.jjscaffe.com/,http://www.jjscaffe.com/#menu-section,https://www.jjscaffe.com/shop/giftcard,/contact,"
              Gift Cards
            ","
                Contact
              ",1
Oscars Burritos Mexican Grill,"34 Massachusetts Avenue, MA-111, Boxborough, MA 01719",Mexican,acton,"Down-to-earth counter serve preparing burritos, tacos & other familiar Mexican specialties.",https://oscars-burritos-mexican-grill.business.site/?m=true,https://order.labrador.ai/store/oscar-s-burritos-boxborough,,,,Contact,1
Acton House of Pizza,"494 Main St, Acton, MA 01720",Pizza,acton,"This pizzeria in a former house also serves subs, pasta & kebabs, among other comfort food options.",http://www.actonhouseofpizza.com/,,,/index.php?option=com_content&view=article&id=50&Itemid=59,,CONTACT US,1
Junior's Pizza,"481 Great Rd, Acton, MA 01720",Pizza,acton,"Basic counter-serve joint dispensing pizza, pasta, salads & grinders made with housemade bread.",http://www.juniorspizzaonline.com/zgrid/themes/780/mobile/intro/index.jsp,,,#contact,,Contact,1
Subway,,Sandwich,acton,,,,,,,,1
Subway,"134 Great Rd, Acton, MA 01720",Sandwich,acton,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",https://www.subway.com/en-US/MenuNutrition,https://www.subway.com/en-US/MenuNutrition,/en-US/SubwayCard,https://p.subway.com/en-us/contactinfo,Gift Cards,My Account,1
AP Pizzeria,"168 Great Rd, Acton, MA 01720",Pizza,acton,,http://www.appizzeria.com/,https://www.ediningexpress.com/live20/227/699/,,,,,1
Sushi House,"794 Elm St, Concord, MA 01742",Sushi,acton,"Quaint eatery preparing familiar dishes such as seafood salad, maki & sashimi in a modern space.",http://www.asiangourmetma.com/,,,,,,1
Orange Door Kitchen,"251 Arlington St, Acton, MA 01720",Coworking space,acton,,http://www.orangedoorkitchen.com/,,/odkgiftcards,/contact-us,buy a gift card to hang with us when we open back up!,CONTACT US,1
Woods Hill Table,"24 Commonwealth Ave, Concord, MA 01742",Organic,acton,This comfy New American spot with a patio sources ingredients from its own New Hampshire farm.,http://www.woodshilltable.com/,https://www.woodshilltable.com/menu,/giftcards,,"
Gift Cards
",,1
McDonald's,"55 Great Rd, Acton, MA 01720",Fast Food,acton,"Classic, long-running fast-food chain known for its burgers, fries & shakes.",https://www.mcdonalds.com/us/en-us/location/MA/ACTON/55-GREAT-ROAD/31731.html?cid=RF:YXT:GMB::Clicks,https://www.mcdonalds.com/us/en-us/full-menu.html?cid=RF:YXT_LS:SI::MGBM,,/us/en-us/contact-us.html,,Contact Us,1
Domino's Pizza,"75 Great Rd, Acton, MA 01720",Pizza Delivery,acton,Delivery/carryout chain offering a wide range of pizzas & a variety of other dishes & sides.,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,https://www.dominos.com/en/pages/order/menu.jsp?utm_source=locallistings&utm_medium=loclist&utm_campaign=localmapsmenuclick#/menu/category/viewAll/,,,,,1
Sweet Tomatoes Pizza,"100 Powder Mill Rd, Acton, MA 01720",Pizza,acton,,http://sweettomatoesinc.com/,,,,,,1
Asian Gourmet Restaurant,"794 Elm St, Concord, MA 01742",Asian,acton,Casual spot serving Chinese & Taiwanese dishes in a contemporary space with traditional accents.,http://www.asiangourmetma.com/,,,,,,1
Take A Break LLC,,Takeout Restaurant,acton,,,,,,,,1
