name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched
Distinctive Apparel,"42 Thomas Patten Dr, Randolph, MA 02368",Clothing store,abington,,,,,,,,1
Talbots,"96 Derby St, Hingham, MA 02043",Women's clothing store,abington,https://www.talbots.com/online/?cmp=ppc-gmb-yext-&utm_source=gmb&utm_medium=cpc&utm_campaign=yext&utm_content=&utm_term=,,"Women's apparel chain offering workwear, dresses, casual clothes & accessories in classic styles.","

Gift Cards
",https://www.talbots.com/gift-card/PGIFTCARD.html?intcmp=20200316_mommenuimage_giftcard,https://www.talbots.com/contactus,Contact Us,1
47 Market St Brockton Ma,"47 Market St, Brockton, MA 02301",Clothing store,abington,,,,,,,,1
Rainbow Shops,"200 Westgate Dr, Brockton, MA 02301",Women's clothing store,abington,https://www.rainbowshops.com/store-details?storeid=00806&utm_source=extended-network&utm_medium=yext&utm_campaign=store-listings&utm_term=00806,,"Apparel chain offering fashionable clothing for juniors & plus-size women, plus accessories.",,,,,1
PCX Apparel,"200 Westgate Dr, Brockton, MA 02301",Clothing store,abington,https://www.pcxapparel.com/stores-1,,,,,/general-customer-contact,"
            CONTACT
          ",1
Evereve,"94 Derby St, Hingham, MA 02043",Women's clothing store,abington,https://evereve.com/stores/ma/hingham-derby-street-shoppes?utm_source=local&utm_medium=organic&utm_campaign=gmb,,"Retail chain stocking stylish denim, casualwear & occasion dresses, curated with mothers in mind.",Gift Cards,/giftcards,/contact-us,Contact Us,1
Hanna Andersson,"92 Derby St, Hingham, MA 02043",Children's clothing store,abington,http://www.hannaandersson.com/,,"Clothing chain with Swedish roots, outfitting babies & children, with a focus on organic cotton.",Gift Cards,https://www.hannaandersson.com/gift-card/,tel:1.800.222.0544,6 am to 8 pm PT,1
Gap,,Clothing store,abington,,,,,,,,1
Forever Young,"200 Westgate Dr, Brockton, MA 02301",Women's clothing store,abington,http://foreveryoungma.com/index.html,,,,,mailto:webmaster@foreveryoungma.com,Contact your hosting provider,1
Ann Taylor,"98 Derby St, Hingham, MA 02043",Women's clothing store,abington,https://stores.anntaylor.com/ma/hingham/98-derby-street.html,,"Women's apparel chain focusing on fashionable office wear, casual separates, shoes & accessories.",Gift Cards,https://www.anntaylor.com/gift-cards?cid2=yext_gift_cards,,,1
TJ Maxx,"1334 Park St, Stoughton, MA 02072",Clothing store,abington,https://tjmaxx.tjx.com/store/index.jsp,,"Retail chain featuring stylish brand-name apparel, shoes & accessories, plus housewares.",,,,,1
LOFT,"94 Derby St, Hingham, MA 02043",Women's clothing store,abington,https://stores.loft.com/us/ma/hingham/94-derby-street.html,,"Women's apparel brand known for its careerwear, dresses & separates in contemporary styles.",,,,,1
Natale's Men's Clothier,"370 Washington St, Norwell, MA 02061",Men's clothing store,abington,http://www.natalesclothing.com/,,,,,/category-s/1852.htm,Contact,1
JJill,"98 Derby St, Hingham, MA 02043",Women's clothing store,abington,http://locations.jjill.com/ma/hingham/153/,,"Womenswear chain for stylish, casual clothing in a wide range of sizes, plus accessories & shoes.",E-Gift Cards,https://www.jjill.com/e-gift-card,https://www.jjill.com/jjill-contact-us,Contact Us,1
Banana Republic,"94 Derby St #368, Hingham, MA 02043",Clothing store,abington,https://bananarepublic.gap.com/stores/ma/hingham/banana-republic-3164.html,,"Clothing chain featuring classic, stylish pieces for men & women, plus shoes & accessories.",Check Gift Card Balances,"/customerService/info.do?cid=61830&mlink=5001,9222156,quickgift&clink=9222156",,,1
Sara Campbell,"41 Main St, Concord, MA 01742",Women's clothing store,acton,http://www.saracampbellwebsite.com/,,,Buy a Gift Card,tel:617-482-7272,https://www.saracampbell.com/contact,CONTACT US,1
Blue Dry Goods,"16 Walden St, Concord, MA 01742",Clothing store,acton,http://bluedrygoods.com/store/,,,,,,,1
JMcLaughlin,,Clothing store,acton,,,,,,,,1
Phoenix Latex,"8 Waltham St, Maynard, MA 01754",Clothing store,acton,http://www.phoenixlatex.com/,,,,,https://www.phoenixlatex.com/contact,Contact,1
French Lessons,"8 Walden St, Concord, MA 01742",Women's clothing store,acton,http://frenchlessons-boutique.com/,,,,,/contact.html,Contact Domain Owner,1
Fritz & Gigi,"79 Main St, Concord, MA 01742",Children's clothing store,acton,http://www.fritzandgigi.com/,,,,,https://www.fritzandgigi.com/contact,CONTACT,1
Marx Running & Fitness Center,"425 Great Rd, Acton, MA 01720",Sporting goods store,acton,http://www.marxrunning.com/,,,,,https://www.marxrunning.com/contact-us,Contact Us,1
Lyn Evans,"29 Main St, Concord, MA 01742",Women's clothing store,acton,https://www.lynevans.com/,,,,,/pages/locations,"
            Contact Us
            

+



-

",1
Tess & Carlos,"81 Main St, Concord, MA 01742",Women's clothing store,acton,http://www.tessandcarlos.com/,,,,,http://www.tessandcarlos.com/contact-us/,Contact Us,1
TOHERAN FASHION,,Women's clothing store,acton,,,,,,,,1
think karma,,Clothing store,acton,,,,,,,,1
Hooligan Line,,Clothing store,acton,,,,,,,,1
Sonics Tees,,Western apparel store,acton,http://www.sonicstees.com/,,,,,https://sonicstees.com/contact-us/,Contact Us,1
FatFace,,Clothing store,acton,,,,,,,,1
TJ Maxx,"437 Boston Post Rd, Sudbury, MA 01776",Clothing store,acton,https://tjmaxx.tjx.com/store/index.jsp,,"Retail chain featuring stylish brand-name apparel, shoes & accessories, plus housewares.",,,,,1
The Paper Store,"36 Nason St, Maynard, MA 01754",Clothing store,acton,https://locations.thepaperstore.com/maynard-36-nason-street-01754-2502,,"Retail chain specializing in greeting cards, gift wrap, ornaments & gifts for all occasions.",,,https://thepaperstore.freshdesk.com/support/tickets/new,Contact Us,1
Denishe Hats,"63 Summer St, Maynard, MA 01754",Hat shop,acton,http://denishehats.com/,,,,,,,1
Michael's Shoe,"262 Great Rd, Acton, MA 01720",Shoe store,acton,http://www.michaelsshoe.com/,,,,,,,1
Christina's Baby Boutique,,Children's clothing store,acton,https://www.etsy.com/listing/264881511/baby-sock-rose-bouquet-baby-shower-gift?ref=shop_home_feat_2,,,"
Gift cards
",https://www.etsy.com/giftcards?ref=ftr,https://www.etsy.com/messages/new?with_id=12638217&referring_id=264881511&referring_type=listing&recipient_id=12638217&from_action=contact-seller,"
    
    
    Message Christina
    
    
",1
TJ Maxx,"288 Chelmsford St, Chelmsford, MA 01824",Clothing store,acton,https://tjmaxx.tjx.com/store/index.jsp,,"Retail chain featuring stylish brand-name apparel, shoes & accessories, plus housewares.",,,,,1
Post Road Clothier,"8 Concord Rd, Sudbury, MA 01776",Men's clothing store,acton,http://www.postroadclothier.com/,,,,,http://postroadclothier.com/contact/,Contact,1
Raya Gildor  Independent Personal Stylist J Hilburn Custom Menswear Boston,,Men's clothing store,acton,http://rayagildor.jhilburn.com/,,,Gift Cards,/cardbuilder,/contactus,Contact,1
FootStock,"46 Main St, Concord, MA 01742",Shoe store,acton,http://www.footstockshoes.com/,,,,,http://visitor.r20.constantcontact.com/d.jsp?llr=lpgz9voab&p=oi&m=1115276745195&sit=yvafibhib&f=453e0755-474a-4e18-b705-6cd23779300b,Join our email list!,1
John's Cleaners & Tuxedos,"127 Main St, Maynard, MA 01754",Tuxedo shop,acton,,,,,,,,1
The Haberdash,"77 Main St, Hudson, MA 01749",Clothing store,acton,http://haberdashhudson.com/,,,,,/contact-1,"
                  Contact
                ",1
TJ Maxx,"297 Great Rd, Bedford, MA 01730",Clothing store,acton,https://tjmaxx.tjx.com/store/index.jsp,,"Retail chain featuring stylish brand-name apparel, shoes & accessories, plus housewares.",,,,,1
Bob's Stores Footwear & Apparel,"700 Boston Rd, Billerica, MA 01821",Clothing store,acton,http://www.bobstores.com/store-details?StoreID=017,,"Chain retailer supplying work & casualwear, plus shoes & licensed team merchandise.",,,/contact,Contact Us,1
Burlington,"480 Boston Rd, Billerica, MA 01821",Clothing store,acton,https://www.burlington.com/,,," 
buy gift cards
",/gift-cards,,,1
JHilburn Northeast,,Men's clothing store,acton,https://thomlaub.jhilburn.com/,,,Gift Cards,/cardbuilder,/contactus,Contact,1
Target,,Clothing store,acton,,,,,,,,1
Military Clothing Store,"58 MacArthur Ave, Devens, MA 01434",Clothing store,acton,http://www.military.com/base-guide/fort-devens/contact/military-clothing-sales/8085,,,,,https://www.military.com/member-reg/login.html?vlv_redir=https://www.military.com/base-guide/fort-devens/contact/military-clothing-sales/8085,Login,1
Dragonflies Boutique,"River Rd, Hudson, MA 01749",Clothing store,acton,,,,,,,,1
Marshalls,,Clothing store,acton,,,,,,,,1
Target,"181 Plain St, Lowell, MA 01852",Clothing store,acton,https://www.target.com/sl/lowell/2480,,"Retail chain offering home goods, clothing, electronics & more, plus exclusive designer collections.",Gift Cards,/c/gift-cards/-/N-5xsxu,,,1
The Madlila,"127 Rodney French Blvd, New Bedford, MA 02744",Clothing store,acushnet,,,,,,,,1
