name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched
Nectar Floral Design,,Florist,acton,http://www.bynectar.com/,,,,,/contact,Contact Us,1
Burlington Florist,,Florist,acton,,,,,,,,1
Needham Florist,,Florist,acton,,,,,,,,1
Evergreen Florist,"397 Main St, Stoneham, MA 02180",Florist,acton,https://evergreen-florist.com/,,,,,,,1
Designs By Don Inc,"380 Main St, Wilmington, MA 01887",Florist,acton,http://www.designsbydoninc.com/,,,,,,,1
Winston Flowers  Wellesley,"31 Central St, Wellesley, MA 02482",Florist,acton,http://www.winstonflowers.com/,,"Luxe floral shop offering arrangements, plants & gourmet gift baskets, plus garden design services.",,,https://www.winstonflowers.com/contact, Book an Appointment  ,1
Jayne's Flowers  Belmont,"377 Trapelo Rd, Belmont, MA 02478",Florist,acton,https://jaynesflowersinc.com/,,,,,mailto:contact@jaynesflowersinc.com,contact@jaynesflowersinc.com,1
Edible Arrangements,"1025 Boston Post Road East (Rt 20, Marlborough, MA 01752",Florist,acton,https://www.ediblearrangements.com/stores/1025-boston-post-rd-east-marlboro-ma-01752,,Chain selling clever arrangements & gift baskets made up of gourmet fresh & chocolate-dipped fruit.,,,javascript:void(0);,Contact Us,1
DODO'S PHLOWERS,"285 Central St STE 116, Leominster, MA 01453",Florist,acton,https://www.dodosphlowers.com/,,,,,https://www.dodosphlowers.com/contact_us.php,Contact Us,1
Busy Bee Florists,"337 Watertown St, Newton, MA 02458",Florist,acton,https://www.busybeeflowersnewton.com/,,"Flower arrangements & gift baskets for all occasions are sold at this shop, established in 1986.",,,,,1
Derby Farm Flowers & Gardens,"218 Massachusetts Ave, Arlington, MA 02474",Florist,acton,http://www.derby-farm-flowers.com/,,,,,#,Find Us!,1
Cody Floral Designs,"26 Dudley St, Arlington, MA 02476",Florist,acton,https://codyfloraldesigns.com/,,"Family-owned shop for bouquets, corsages & floral arrangements for weddings & other events.",,,,,1
Wagon Wheel,"927 Waltham St, Lexington, MA 02421",Florist,acton,http://wagonwheelinc.com/,http://places.singleplatform.com/wagon-wheel-148/menu?ref=google,"Farmer's market, deli & garden center with plants, mulch, sod, outdoor decor & more.",,,//wagonwheelinc.com/contact/,Contact,1
Winston Flowers  Chestnut Hill,"11 Florence St, Newton, MA 02459",Florist,acton,http://www.winstonflowers.com/,,"Luxe floral shop offering arrangements, plants & gourmet gift baskets, plus garden design services.",,,https://www.winstonflowers.com/contact, Book an Appointment  ,1
Mystic Florist,"414 Mystic Ave, Somerville, MA 02145",Florist,acton,http://www.mysticflorist.net/,,"Family-owned florist for seasonal & special-occasion arrangements, bouquets, plants & gifts.",,,,,1
Central Square Florist,"653 Massachusetts Ave, Cambridge, MA 02139",Florist,acton,https://www.centralsquareflorist.com/,,"Venerable flower shop, founded in 1929, offering arrangements & potted plants for delivery.",Gift Cards,/gifts/gift-cards/,,,1
