name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched
Natural Nails,"1291 Main St, Brockton, MA 02301",Nail salon,abington,,,,,,,,1
Kendellsdesiredbeauty,,Beauty salon,abington,,,,,,,,1
Fringe Hair Salon,"912 Hingham St, Rockland, MA 02370",Hair salon,abington,,,,,,,,1
Salon Esprit,"225 Bedford St, East Bridgewater, MA 02333",Beauty salon,abington,https://salon-esprit.com/,,,,,tel:5083781530,508.378.1530,1
Hand and Stone Massage and Facial Spa,"The Pleasant Shops, 35 Pleasant St, Weymouth, MA 02190",Massage therapist,abington,https://www.handandstoneweymouth.com/,,,Instant Gift Cards,https://handstone.boomtime.com/lgift,#,Contact Us,1
Ambrosia Salon and Day Spa,"2053 Washington St, Hanover, MA 02339",Beauty salon,abington,http://www.ambrosiasalonnorwell.com/,,,Purchase an EGift Card,https://na0.meevo.com/EgiftApp/home?tenantId=101186,/contact,Contact,1
Eastside Cuts & Hair Salon,"419 Crescent St #3202, Brockton, MA 02302",Hair salon,abington,,,,,,,,1
Plumbhunneez Naturalistic Unisex Hair Care Salon,"80 Franklin St, Brockton, MA 02301",Hair salon,abington,http://plumbhunneez.com/,,,,,#contact,Appointment,1
Alba Med Spa,"1221 Main St Suite 203B, South Weymouth, MA 02190",Medical spa,abington,https://www.kirbysaesthetic.bar/,,,,,tel:7742575155,(774) 257-5155,1
Rockstar Tan,"208 Brockton Ave, Abington, MA 02351",Tanning salon,abington,http://rockstar-tan.com/,,,,,,,1
MiniLuxe,"92 Derby St, Hingham, MA 02043",Nail salon,abington,https://miniluxe.com/locations/hingham/?utm_source=googlemaps&utm_medium=organic&utm_campaign=ma_hingham&utm_content=google-maps-website,,,Gift Cards,https://scheduling.miniluxe.com/webstoreNew/giftcards,https://miniluxe.com/contact-us/,Contact Us,1
Nail Delight,"470 Liberty St # 1, Hanson, MA 02341",Nail salon,abington,,,,,,,,1
Lux nail bar in West Bridgewater,,Beauty salon,abington,,,,,,,,1
Supercuts Brockton,"1035 Bedford St, Abington, MA 02351",Beauty salon,abington,https://www.supercuts.com/locations/ma/abington/old-town-square-plaza-haircuts-80931.html,,,"
												Gift Cards ",/gift-cards.html,#,Store Contact Number,1
Crystal Massage,"988 Bedford St, Abington, MA 02351",Massage therapist,abington,https://crystalmsg.grouppayless.com/,,,,,,,1
Passion Nails Studio,"263 Washington St # 5, Norwell, MA 02061",Nail salon,abington,https://passionnailsstudio.com/,,,,,/contact,Contact,1
L & J Massage,"11 North Ave, Abington, MA 02351",Massage therapist,abington,http://l-j-massage-center.business.site/,,,,,,Contact,1
Excel Laser Skin Clinic,"435 Columbian St #5, South Weymouth, MA 02190",Skin care clinic,abington,http://www.excellaserskinclinic.com/,,,,gift-cards.html,contact-us.html,Contact Us,1
Eyedol Beauty,"270 Centre St UNIT E, Holbrook, MA 02343",Beauty salon,abington,https://www.eyedolbeauty.com/,,,,,https://eyedolbeauty.com/contact-us-2/,Contact Us,1
Great Clips,"1207 Washington St, Hanover, MA 02339",Beauty salon,abington,https://www.greatclips.com/salons/8811?utm_source=google&utm_medium=organic&utm_campaign=gmb,,Casual salon offering haircuts for adults & kids along with professional styling products for sale.,Gift Card Balance,https://www.greatclips.com/gift-card-balance,https://www.greatclips.com/about-us/contact-us,Contact Us,1
Hidden Gem Spa,"300 Baker Ave Suite 300, Concord, MA 01742",Beauty salon,acton,http://www.hiddengemspaconcord.com/,,,Buy Gift Card,https://go.booker.com/location/hiddengemspa/buy/gift-certificate,https://go.booker.com/location/hiddengemspa/contact,Book an Appointment,1
CC Nails & Spa,"6 Nason St, Maynard, MA 01754",Nail salon,acton,,,,,,,,1
The Hair After Salon,"40 Thoreau St, Concord, MA 01742",Beauty salon,acton,http://www.thehairaftersalon.com/,,,,,/contact,Contact,1
Lyla Beauty Bar,"75 Great Rd Suite 203, Acton, MA 01720",Medical spa,acton,https://lylabeautybar.com/,,,,,contact.html,Contact,1
DT Nails & Spa,"1204 Main St, Concord, MA 01742",Nail salon,acton,http://dtnailsconcord.com/,,,,,#contact,Contact,1
Salon At Newbury Court,"80 Deaconess Rd, Concord, MA 01742",Beauty salon,acton,http://www.newburycourt.org/amenities.htm,,,,,https://www.facebook.com/NewburyCourt,"



",1
Supercuts,"293 Main St, Acton, MA 01720",Beauty salon,acton,https://www.supercuts.com/locations/ma/acton/route-27-haircuts-8828.html,,,"
												Gift Cards ",/gift-cards.html,#,Store Contact Number,1
Concord Nails & Spa,"1137 Main St, Concord, MA 01742",Nail salon,acton,,,,,,,,1
American Beauty,"510 King St, Littleton, MA 01460",Beauty salon,acton,http://www.americanbeautyhairsalon.com/,,,,,,,1
Reflections Hair Studio,"438 King St, Littleton, MA 01460",Beauty salon,acton,https://reflectionshair.studio/,,,Gift Certificates,#giftcertificates,#contact,Contact,1
Mi & Miya Hair Salon,"95 Main St, Concord, MA 01742",Beauty salon,acton,,,,,,,,1
Bubbles & Polish Nails and Day Spa,"224 Great Rd, Littleton, MA 01460",Nail salon,acton,http://www.bubblesandpolishnails.com/,,,,,,,1
The Beauty Lounge,"97 Great Rd, Acton, MA 01720",Hair salon,acton,http://thebeautyloungeacton.com/,,,Gift Card,/gift-card,,,1
Great Clips,"9 Cornerstone Square, Westford, MA 01886",Beauty salon,acton,https://www.greatclips.com/salons/8715?utm_source=google&utm_medium=organic&utm_campaign=gmb,,Casual salon offering haircuts for adults & kids along with professional styling products for sale.,Gift Card Balance,https://www.greatclips.com/gift-card-balance,https://www.greatclips.com/about-us/contact-us,Contact Us,1
Monument Style Salon,"48 Monument Square, Concord, MA 01742",Hair salon,acton,https://www.facebook.com/monumentstyle/,,,,,#,Contact Monument Style on Messenger,1
Salone Arte II,"28 Walden St, Concord, MA 01742",Beauty salon,acton,,,,,,,,1
Essentially Bare,"777 Concord Turnpike, Concord, MA 02138",Skin care clinic,acton,http://www.essentiallybare.com/,,,,,http://essentiallybare.com/contact/appointment-request/,Request an Appointment,1
