name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched
Great Clips Airmont Colonial Square,"329 NY-59, Airmont, NY 10952",Beauty salon,airmont,,http://www.greatclips.com/salons/8644,,https://www.greatclips.com/gift-card-balance,https://www.greatclips.com/about-us/contact-us,Gift Card Balance,Contact Us,1
Appearance One,"321 NY-59, Tallman, NY 10982",Beauty salon,airmont,,,,,,,,1
Rapunzel Hair Studio,"296 NY-59, Tallman, NY 10982",Beauty salon,airmont,,,,,,,,1
Celso' Family barber shop,"191 NY-59 #9, Suffern, NY 10901",Beauty salon,airmont,,http://xelecto1.wixsite.com/familybarbershop,,,,,,1
Time Nails,"329 NY-59, Airmont, NY 10952",Beauty salon,airmont,,,,,,,,1
Ivy Nails,"424 Saddle River Rd, Airmont, NY 10952",Nail salon,airmont,,http://www.spaplusnail.com/,,,,,,1
Nail Splash,,Beauty salon,airmont,,,,,,,,1
Cindys Nails Spa,"241 NY-59, Airmont, NY 10901",Nail salon,airmont,,http://www.cindys-nails-spa.business.site/,,,,,,1
Suffern Nails,"241 NY-59, Airmont, NY 10901",Nail salon,airmont,,http://www.cindys-nails-spa.business.site/,,,,,,1
Cozy Nails,"321 NY-59, Airmont, NY 10901",Nail salon,airmont,,,,,,,,1
Queens Nail & Spa,"Airmont, NY 10901",Beauty salon,airmont,,,,,,,,1
Carmines Headquarters,"301 NY-59, Suffern, NY 10901",Beauty salon,airmont,,,,,,,,1
J K Nails,"296 Route 59 Ave, Tallman, NY 10982",Nail salon,airmont,,,,,,,,1
In NailSpa,"14 Indian Rock, Suffern, NY 10901",Nail salon,airmont,,http://www.innailspa.com/,,,https://www.innailspa.com,,Contact,1
European Wax Center,"247 NY-59, Airmont, NY 10901",Waxing hair removal service,airmont,,https://locations.waxcenter.com/ny/airmont/airmont-0550.html?utm_source=google&utm_medium=search&utm_content=local-listing&utm_campaign=gmb-listing&utm_term=ewc-gmb,,,https://www.waxcenter.com/pages/contact,,"
          Contact Us",1
Perfection beauty,"321 NY-59, Tallman, NY 10982",Beauty salon,airmont,,http://www.perfectionbeautyny.com/,,,https://www.perfectionbeautyny.com,,CONTACT,1
Spa Plus Nail Studio,"424 Saddle River Rd, Monsey, NY 10952",Nail salon,airmont,,http://www.spaplusnail.com/,,,,,,1
FibroblastbyAdele,"7 Cardinal Ct, Airmont, NY 10952",Beauty salon,airmont,,https://fibroblastbyadele.business.site/?utm_source=gmb&utm_medium=referral,,,,,Contact Us,1
Nailsplash,"26 NY-59, Suffern, NY 10901",Nail salon,airmont,,https://www.nailsplashny.com/,,,https://www.nailsplashny.com,,CONTACT,1
Family Barber Shop,"191 NY-59 #9, Suffern, NY 10901",Beauty salon,airmont,,http://xelecto1.wixsite.com/familybarbershop,,,,,,1
Oksana Beauty Salon,"387 NY-59, Spring Valley, NY 10977",Beauty salon,airmont,,,,,,,,1
Nailsplash,"26 NY-59, Suffern, NY 10901",Nail salon,airmont,,https://www.nailsplashny.com/,,,https://www.nailsplashny.com,,CONTACT,1
Chic Beauty Salon,"51 Lonergan Dr, Suffern, NY 10901",Beauty salon,airmont,,http://chicbeautysalon.net/,,,#contact,,Contact,1
Lenore Sauberman Electrolysis,"245 Parkside Dr, Suffern, NY 10901",Electrolysis hair removal service,airmont,,,,,,,,1
Thony's Barber Shop & House of Nails,"811 Chestnut Ridge Rd, Chestnut Ridge, NY 10977",Beauty salon,airmont,,https://houseofnailshop.business.site/,,,,,Contact,1
Simi's Salon,"26 Hilltop Ln, Monsey, NY 10952",Beauty salon,airmont,,,,,,,,1
Lila's beauty salon,"230 W Rte 59, Spring Valley, NY 10977",Beauty salon,airmont,,,,,,,,1
Melicie Hair Salon,,Beauty salon,airmont,,,,,,,,1
Costantinos Salon,"216 Franklin Turnpike, Mahwah, NJ 07430",Beauty salon,airmont,,,,,,,,1
Big Z Beauty Salon BigChic Beauty Salon,"50 N Myrtle Ave, Spring Valley, NY 10977",Beauty salon,airmont,,,,,,,,1
Princess Nail Spa,"811 Chestnut Ridge Rd # H, Spring Valley, NY 10977",Nail salon,airmont,,,,,,,,1
Masterworks Cosmetics,"27 Orchard St, Monsey, NY 10952",Beauty salon,airmont,,http://www.shulamitcosmetics.com/,,,,,,1
Heaven Scent,"21 Main St, Monsey, NY 10952",Beauty salon,airmont,,,,,,,,1
Spa Blue International,,Nail salon,airmont,,,,,,,,1
Ecovian Hair Studio,,Beauty salon,airmont,,,,,,,,1
Spring Valley Nail & Hair,"4 N Main St #2, Spring Valley, NY 10977",Beauty salon,airmont,,,,,,,,1
Angel Nails,"6 Red Schoolhouse Rd, Spring Valley, NY 10977",Beauty salon,airmont,,,,,,,,1
Bilyanni Beauty Spa,"75 N Main St #8, Spring Valley, NY 10977",Beauty salon,airmont,,https://bilyanni-beauty-spa.business.site/,,,,,Contact,1
Malania Beauty Salon,"14 S Central Ave, Spring Valley, NY 10977",Beauty salon,airmont,,,,,,,,1
Cutie Nails,"230 W Rte 59, Spring Valley, NY 10977",Nail salon,airmont,,,,,,,,1
Beauty Salon Gissela,,Beauty salon,airmont,,,,,,,,1
Kouame Kouadio,"39 S Main St UNIT 4, Spring Valley, NY 10977",Beauty salon,airmont,,,,,,,,1
Stephanie Unisex,"61 S Central Ave, Spring Valley, NY 10977",Beauty salon,airmont,,,,,,,,1
Clinica De Belleza Lel Glamour,"37 S Main St, Spring Valley, NY 10977",Beauty salon,airmont,,,,,,,,1
Image Works Salon,"875 NJ-17 S, Ramsey, NJ 07446",Beauty salon,airmont,,,,,,,,1
Powder & Paint,"31 Kennedy Dr, Spring Valley, NY 10977",Nail salon,airmont,,http://powderandpaintny.com/,,,/contact,,Contact,1
Beverly Salon,,Beauty salon,airmont,,,,,,,,1
Hawaii Nail,"96 NY-59, Spring Valley, NY 10977",Nail salon,airmont,,,,,,,,1
