name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched,state,zipcode,store_type
Camelot Books,"18120 Brookhurst St #28, Fountain Valley, CA 92708",Used book store,Fountain Valley,,http://www.camelot-books.com/,,,http://www.camelot-books.com/contact2.html,,Contact Us,1,CA,92708,book_store
Planet Books,"3917 E Anaheim St, Long Beach, CA 90804",Used book store,Long Beach,"Down-to-earth compact store features an eclectic range of used books, vintage toys & collectibles.",https://planetbooksarchives.com/,,,https://policies.google.com/privacy,,Privacy Policy,1,CA,90804,book_store
Sathya Sai Baba Society & Book,"305 W First St, Tustin, CA 92780",Book store,Tustin,,http://www.sathyasaibooksusa.org/,,,http://sathyasaibooksusa.org/contact/,,Contact,1,CA,92780,book_store
The Ripped Bodice,"3806 Main St, Culver City, CA 90232",Book store,Culver City,,http://therippedbodicela.com/,,,http://therippedbodicela.com/contact,,,1,CA,90232,book_store
Crystal Cave,"891 Baker St A16, Costa Mesa, CA 92626",Book store,Costa Mesa,,http://www.crystal-cave.com/,,,http://www.crystal-cave.com/pages/contact.php,,Contact,1,CA,92626,book_store
Discovery Corner,"Lawrence Hall of Science, 1 Centennial Dr, Berkeley, CA 94720",Book store,Berkeley,,http://store.lawrencehallofscience.org/,,,http://store.lawrencehallofscience.org/Contact,,Contact,1,CA,94720,book_store
Adams Angling,"1170 Keeler Ave, Berkeley, CA 94708",Book store,Berkeley,,http://www.adamsanglingbooks.com/,,,http://www.adamsanglingbooks.com/page/contact-us,,Contact Us ,1,CA,94708,book_store
Tate & Associates,"1321 Eighth St #4, Berkeley, CA 94710",Law book store,Berkeley,,http://www.tateandassociates-law.com/,,,http://www.tateandassociates-law.com/contact-us.html,,          Contact Us      ,1,CA,94710,book_store
Sagrada Sacred Arts,"4926 Telegraph Ave, Oakland, CA 94609",Book store,Oakland,"Store specializing in religious & spiritually themed books, art, jewelry, crystals & more.",http://www.sagrada.com/,,,http://www.sagrada.com/contact,,Contact,1,CA,94609,book_store
Owl & Company Bookshop,"3941 Piedmont Ave, Oakland, CA 94611",Book store,Oakland,,http://owlandcompanybookshop.com/,,,https://www.calvellobooks.com/contact.php,,Contact,1,CA,94611,book_store
MultiCultural Children's Bookstore,"2200 Hilltop Mall Rd #1116, Richmond, CA 94806",Book store,Richmond,,http://multiculturalbookstore.com/,,,https://www.multiculturalbookstore.com/contact,,CONTACT,1,CA,94806,book_store
Readers' Books,"130 E Napa St, Sonoma, CA 95476",Used book store,Sonoma,,https://www.readersbooks.com/,,,http://visitor.r20.constantcontact.com/d.jsp?llr=mm856ybab&p=oi&m=1101422095756&sit=xovrcsybb&f=89cdd2d5-41a4-4ba1-957f-58e5dd07f4ac,,Sign up for our weekly newsletter! ,1,CA,95476,book_store
Capital Books,"1011 K St, Sacramento, CA 95814",Book store,Sacramento,,https://capitalbooksonk.com/,,,https://capitalbooksonk.com/find-us,,Find Us,1,CA,95814,book_store
Friends of the San Francisco Public Library,"30 Grove St, San Francisco, CA 94102",Book store,San Francisco,,http://www.friendssfpl.org/,,,http://www.friendssfpl.org/contact-us.html,,"

			Contact Us
		
",1,CA,94102,book_store
