name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched,state,zipcode,store_type
Wellesley Books,"82 Central St, Wellesley, MA 02482",Book store,Wellesley,http://store.wellesleybooks.com/,,,Wellesley Books gift cards,http://store.wellesleybooks.com/wellesley-books,http://visitor.r20.constantcontact.com/manage/optin?v=001slSEbyvZTIhxQzYF_ZvA2IZZh2nAKuM6n19hQiqseyIri5WIRqwlLP2FmvGfTkIrG60YoMGGebccbk571aP2O93Ud5x6c1PG39jLGRHk5oTRTUmyl71lw6rD_E_Wm3N2E9vyoyH1lTOlBGutN4E4aMhfQiPbYJKTaTZB18pfb0Q%3D,Newsletter,1,MA,02482,book_store
The Concord Bookshop,"65 Main St, Concord, MA 01742",Book store,Concord,http://www.concordbookshop.com/,,, ,http://www.concordbookshop.com/gift-certificate-0,http://www.concordbookshop.com/hours-and-contact,Hours and Contact,1,MA,01742,book_store
Brookline Booksmith,"279 Harvard St, Brookline, MA 02446",Book store,Brookline,http://www.brooklinebooksmith.com/,,"Established independent bookshop offering new & used titles, plus gifts, over 2 floors.",Gift Cards,https://www.brooklinebooksmith-shop.com/gift-card-booksmith,,,1,MA,02446,book_store
Porter Square Books,"25 White St, Cambridge, MA 02140",Book store,Cambridge,http://www.portersquarebooks.com/,,"Independent bookstore featuring a large selection for kids & adults, plus a cafe & author events.",PSB Gift Card,http://www.portersquarebooks.com/indiebound-gift-card,https://lp.constantcontactpages.com/su/eOMaovF,Shelf Stable,1,MA,02140,book_store
Papercuts JP,"60 South St, Jamaica Plain, MA 02130",Book store,Jamaica Plain,http://papercutsjp.com/,,,Gift Cards & More!,http://papercutsjp.com/shop,http://papercutsjp.com/contact,Contact,1,MA,02130,book_store
Gibson's Bookstore,"45 S Main St, Concord, NH 03301",Book store,Concord,http://www.gibsonsbookstore.com/,,,Gifts and gift cards,http://www.gibsonsbookstore.com/gifts,http://www.gibsonsbookstore.com/about-us,Contact,1,NH,03301,book_store
The Vermont Book Shop,"38 Main St, Middlebury, VT 05753",Book store,Middlebury,http://vermontbookshop.com/,,,Gift Cards,http://vermontbookshop.com/gift-cards,http://visitor.r20.constantcontact.com/d.jsp?llr=v5vucfcab&p=oi&m=1101829658581&sit=5ehkiovcb&f=bd0c89f6-581b-4dca-ab70-6adc102776a4,Stay Connected! Subscribe to our newsletter.,1,VT,05753,book_store
The Otto Bookstore,"107 W 4th St, Williamsport, PA 17701",Book store,Williamsport,https://www.ottobookstore.com/,,,Gifts & Gift Cards,https://www.ottobookstore.com/gift-certificate,https://www.ottobookstore.com/hours-contact-information,Contact Us,1,PA,17701,book_store
Belmont Books,"79 Leonard St, Belmont, MA 02478",Book store,Belmont,http://www.belmontbooks.com/,,,Gift Cards,http://www.belmontbooks.com/gift-cards-0,http://www.belmontbooks.com/contact-us,Contact Us,1,MA,02478,book_store
Brattle Book Shop,"9 West St, Boston, MA 02111",Book store,Boston,http://www.brattlebookshop.com/,,"Enduring shop with 3 stories of used books & magazines, including rare 1st editions.",Gift Certificates,http://www.brattlebookshop.com/gift-certificate,http://www.brattlebookshop.com/contact-us,Contact Us,1,MA,02111,book_store
Riffraff bookstore and bar,"60 Valley St #107A, Providence, RI 02909",Book store,Providence,http://www.riffraffpvd.com/,,"Cozy bookstore offering rare titles, events & free Wi-Fi, with a bar for espresso, beer & cocktails.","
            Gift Cards
          ",http://www.riffraffpvd.com/gift-cards,http://www.riffraffpvd.com/contact,"
            Contact
          ",1,RI,02909,book_store
