name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched,state,zipcode,store_type
Salon Esprit,"225 Bedford St, East Bridgewater, MA 02333",Beauty salon,East Bridgewater,https://salon-esprit.com/,,,,,https://salon-esprit.com/tel:5083781530,508.378.1530,1,MA,02333,beauty_salon
Plumbhunneez Naturalistic Unisex Hair Care Salon,"80 Franklin St, Brockton, MA 02301",Hair salon,Brockton,http://plumbhunneez.com/,,,,,http://plumbhunneez.com/#contact,Appointment,1,MA,02301,beauty_salon
Alba Med Spa,"1221 Main St Suite 203B, South Weymouth, MA 02190",Medical spa,South Weymouth,https://www.kirbysaesthetic.bar/,,,,,https://www.kirbysaesthetic.bar/tel:7742575155,(774) 257-5155,1,MA,02190,beauty_salon
Passion Nails Studio,"263 Washington St # 5, Norwell, MA 02061",Nail salon,Norwell,https://passionnailsstudio.com/,,,,,https://passionnailsstudio.com/contact,Contact,1,MA,02061,beauty_salon
Eyedol Beauty,"270 Centre St UNIT E, Holbrook, MA 02343",Beauty salon,Holbrook,https://www.eyedolbeauty.com/,,,,,https://eyedolbeauty.com/contact-us-2/,Contact Us,1,MA,02343,beauty_salon
The Hair After Salon,"40 Thoreau St, Concord, MA 01742",Beauty salon,Concord,http://www.thehairaftersalon.com/,,,,,http://www.thehairaftersalon.com/contact,Contact,1,MA,01742,beauty_salon
Lyla Beauty Bar,"75 Great Rd Suite 203, Acton, MA 01720",Medical spa,Acton,https://lylabeautybar.com/,,,,,https://lylabeautybar.com/contact.html,Contact,1,MA,01720,beauty_salon
DT Nails & Spa,"1204 Main St, Concord, MA 01742",Nail salon,Concord,http://dtnailsconcord.com/,,,,,http://dtnailsconcord.com/#contact,Contact,1,MA,01742,beauty_salon
Salon At Newbury Court,"80 Deaconess Rd, Concord, MA 01742",Beauty salon,Concord,http://www.newburycourt.org/,,,,,https://www.facebook.com/NewburyCourt,"



",1,MA,01742,beauty_salon
Essentially Bare,"777 Concord Turnpike, Concord, MA 02138",Skin care clinic,Concord,http://www.essentiallybare.com/,,,,,http://essentiallybare.com/contact/appointment-request/,Request an Appointment,1,MA,02138,beauty_salon
