name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched,state,zipcode,store_type
DODO'S PHLOWERS,"285 Central St STE 116, Leominster, MA 01453",Florist,Leominster,https://www.dodosphlowers.com/,,,,,https://www.dodosphlowers.com/contact_us.php,Contact Us,1,MA,01453,florist
Derby Farm Flowers & Gardens,"218 Massachusetts Ave, Arlington, MA 02474",Florist,Arlington,http://www.derby-farm-flowers.com/,,,,,http://www.derby-farm-flowers.com/#,Find Us!,1,MA,02474,florist
Wagon Wheel,"927 Waltham St, Lexington, MA 02421",Florist,Lexington,http://wagonwheelinc.com/,http://places.singleplatform.com/wagon-wheel-148/menu?ref=google,"Farmer's market, deli & garden center with plants, mulch, sod, outdoor decor & more.",,,//wagonwheelinc.com/contact/,Contact,1,MA,02421,florist
Anthony's Florist,"50 N Beacon St, Watertown, MA 02472",Florist,Watertown,http://anthonysfloristwatertown.com/,,"Contemporary & traditional floral arrangements, plants, gift baskets & flowers for events.",,,https://anthonyswatertownflorist.com/#contact,Contact,1,MA,02472,florist
Jewelry for Gems,"2 Howard Rd, Burlington, MA 01803",Florist,Burlington,http://jewelryforgems.com/,,,,,http://jewelryforgems.com/./4064.html,,1,MA,01803,florist
Brattle Square Florist,"31 Brattle St, Cambridge, MA 02138",Florist,Cambridge,https://brattlesquareflorist.com/,,Venerable flower shop with a rustic ambiance offering custom bouquets & house plants.,,,https://brattlesquareflorist.com/contact/,"
contact
",1,MA,02138,florist
A Bella Mia Flowers,"1194 Washington St, Norwood, MA 02062",Florist,Norwood,https://abellaflowersbostonma.com/,,,,,https://abellaflowersbostonma.com/contact-us/,Contact,1,MA,02062,florist
Valley Florist Greenhouses & Gift Shop,"1 Valley Dr, East Templeton, MA 01438",Florist,East Templeton,http://www.valleygreenhouse.com/,,,,,http://www.constantcontact.com/jmml/email-newsletter.jsp,Email Newsletters,1,MA,01438,florist
A Natural Arrangement,"651 Boston Post Rd, Weston, MA 02493",Flower designer,Weston,http://www.anaturalarrangement.com/,,,,,https://www.anaturalarrangement.com/contact,Contact,1,MA,02493,florist
Ladybug Florist Inc,"407 Main St Suite 1, Oxford, MA 01540",Florist,Oxford,http://www.ladybug-florist.com/,,,,,https://www.ladybug-florist.com/contact_us.php,Contact Us,1,MA,01540,florist
Hutcheon's Flower Co,"84 Hancock St, Abington, MA 02351",Florist,Abington,http://www.hutcheons.com/,,,,,https://www.facebook.com/Hutcheons-Flower-Co-386392851064/," 
",1,MA,02351,florist
Provitola Design AssociatesNew England Wreath Company,"316R Washington St, Norwell, MA 02061",Flower designer,Norwell,http://newenglandwreath.com/,,,,,http://newenglandwreath.com/pages/contact-us,Contact us,1,MA,02061,florist
Village Gardens Inc,"376 Washington St, Norwell, MA 02061",Flower designer,Norwell,http://villagegardensinc.com/,,,,,http://villagegardensinc.com/tel:7816597500,(781) 659-7500,1,MA,02061,florist
Fleur De Lis Florist,"811 Castro St, Mountain View, CA 94041",Florist,Mountain View,http://www.fdlflowers.com/,,"Neighborhood flower shop offering floral arrangements & plants, plus gifts & fruit baskets.",,,https://fdlflowers.com/contacts,"
Local Delivery
",1,CA,94041,florist
OBriens Farm Hill Florist & Garden Center,"224 Main St, Stoneham, MA 02180",Florist,Stoneham,https://www.obriensfarmhillflorist.com/,,,,,https://www.obriensfarmhillflorist.com/contact-us/,Contact Us,1,MA,02180,florist
QuinlanWasserman Inc,"500 Albany St, Boston, MA 02118",Wholesale florist,Boston,http://www.quinlanwasserman.com/,,,,,http://www.quinlanwasserman.com/contact.html,"
								Contact
							",1,MA,02118,florist
Konstantina's Floral Design Studio,"226 S Main St #2449, Middleton, MA 01949",Florist,Middleton,https://www.konstantinasfloral.com/,,,,,https://www.konstantinasfloral.com/contact_us.php,Contact Us,1,MA,01949,florist
Kelley Wholesale Florists,"260 2nd St, Chelsea, MA 02150",Wholesale florist,Chelsea,http://www.kelleywholesale.com/,,,,,http://www.kelleywholesale.com/findus," FIND US

",1,MA,02150,florist
Flowers On Chestnut,"1 Chestnut St, Nantucket, MA 02554",Florist,Nantucket,http://www.flowersonchestnut.com/,,,,,http://www.flowersonchestnut.com/contact-1,"
            Contact
          ",1,MA,02554,florist
Fleurdelis Flowers and Gifts,"222 E Main St, Starkville, MS 39759",Florist,Starkville,http://www.floristnstarkvillems.com/,,,,,https://floristnstarkvillems.com/contacts,"
Local Delivery
",1,MS,39759,florist
DVFlora,"99 Clark Dr, East Berlin, CT 06023",Wholesale florist,East Berlin,http://www.dvflora.com/,,,,,http://www.dvflora.com/index.php/contact-us/,Contact Us,1,CT,06023,florist
