name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched,state,zipcode,store_type
Hand and Stone Massage and Facial Spa,"The Pleasant Shops, 35 Pleasant St, Weymouth, MA 02190",Massage therapist,Weymouth,https://www.handandstoneweymouth.com/,,,Instant Gift Cards,https://handstone.boomtime.com/lgift,https://www.handandstoneweymouth.com/#,Contact Us,1,MA,02190,beauty_salon
Ambrosia Salon and Day Spa,"2053 Washington St, Hanover, MA 02339",Beauty salon,Hanover,http://www.ambrosiasalonnorwell.com/,,,Purchase an EGift Card,https://na0.meevo.com/EgiftApp/home?tenantId=101186,http://www.ambrosiasalonnorwell.com/contact,Contact,1,MA,02339,beauty_salon
Excel Laser Skin Clinic,"435 Columbian St #5, South Weymouth, MA 02190",Skin care clinic,South Weymouth,http://www.excellaserskinclinic.com/,,,,http://www.excellaserskinclinic.com/gift-cards.html,http://www.excellaserskinclinic.com/contact-us.html,Contact Us,1,MA,02190,beauty_salon
Hidden Gem Spa,"300 Baker Ave Suite 300, Concord, MA 01742",Beauty salon,Concord,http://www.hiddengemspaconcord.com/,,,Buy Gift Card,https://go.booker.com/location/hiddengemspa/buy/gift-certificate,https://go.booker.com/location/hiddengemspa/contact,Book an Appointment,1,MA,01742,beauty_salon
Reflections Hair Studio,"438 King St, Littleton, MA 01460",Beauty salon,Littleton,https://reflectionshair.studio/,,,Gift Certificates,https://reflectionshair.studio/#giftcertificates,https://reflectionshair.studio/#contact,Contact,1,MA,01460,beauty_salon
The Beauty Lounge,"97 Great Rd, Acton, MA 01720",Hair salon,Acton,http://thebeautyloungeacton.com/,,,Gift Card,http://thebeautyloungeacton.com/gift-card,,,1,MA,01720,beauty_salon
Hair Studio,"10 Bank Row, Park Square, Pittsfield, MA 01201",Hair salon,Pittsfield,http://www.frankshairstudio.com/,,,gift card,http://www.frankshairstudio.com/gift-certificates,http://www.frankshairstudio.com/contact-us,Contact Us,1,MA,01201,beauty_salon
Orange Salon,"70 Worcester-Providence Turnpike, Millbury, MA 01527",Beauty salon,Millbury,http://www.orangesalon.com/,,,Purchase Gift Card,https://orange.salonultimate.com/clientWeb/login?z=1528307838,https://orangesalon.com/contact-us/,Contact Us,1,MA,01527,beauty_salon
Sereni Salon & Spa,"8 Market St, Hudson, MA 01749",Beauty salon,Hudson,http://www.serenisalon.com/,,,Gift Cards,http://serenisalon.com/gift-cards/,http://serenisalon.com/contact/,Contact,1,MA,01749,beauty_salon
Face To Nails Etc Day Spa,"600 Springfield St, Chicopee, MA 01013",Beauty salon,Chicopee,https://www.facetonails.com/,,,,https://www.facetonails.com/catalog/gift-certificates,https://www.facetonails.com/contact,Contact,1,MA,01013,beauty_salon
SkinCatering Spa,"1500 Main St #220, Springfield, MA 01115",Beauty salon,Springfield,http://www.skincatering.com/,,,GIFTS,https://www.secure-booker.com/skincatering2/ShopOnline/GiftCertificate.aspx,http://skincatering.com/our-team/contact-info/,HOURS/DIRECTIONS,1,MA,01115,beauty_salon
The Perfect Look,"284 N Maple St # A, Enfield, CT 06082",Beauty salon,Enfield,https://www.perfectlooksalons.com/,,,Gift Cards,https://www.perfectlooksalons.com/gift-cards/,https://www.perfectlooksalons.com/contact/,Contact,1,CT,06082,beauty_salon
Visual Changes Inc,"100 Shaker Rd, East Longmeadow, MA 01028",Beauty salon,East Longmeadow,http://www.visualchangesinc.com/,,,"

",http://www.visualchangesinc.com/gift_cards.html,http://www.visualchangesinc.com/contact.html,Contact,1,MA,01028,beauty_salon
Puffer's Salon & Day Spa,"56 Southwick Rd, Westfield, MA 01085",Day spa,Westfield,http://www.pufferdayspa.com/,,,Gift Certificates,http://pufferdayspa.millenniumegift.com/,http://www.pufferdayspa.com/contact-about.html,Contact,1,MA,01085,beauty_salon
Salon Exquisite,"395 Chandler St, Worcester, MA 01602",Beauty salon,Worcester,http://www.salonexquisite.net/,,,Purchase a Gift Card>>,https://salonexquisite.salontarget.com/egift/?guestonly,https://www.salonexquisite.net/contact-us,Contact Us,1,MA,01602,beauty_salon
Essencials Day Spa Inc,"75 North St, Pittsfield, MA 01201",Hair salon,Pittsfield,http://berkshirespas.com/,,,PURCHASE GIFTCARDS &  PRODUCTS HERE,https://mycloud.prosoinc.com/psgconline/gcmain.asp?cl=13672,https://www.berkshirespas.com/contact,CONTACT,1,MA,01201,beauty_salon
Vie En Rose Beauty,"72A Haverhill Rd, Amesbury, MA 01913",Nail salon,Amesbury,http://www.vieenroseamesbury.com/,,,Gift Cards,https://www.vieenroseamesbury.com/about,https://www.vieenroseamesbury.com/blank-page,Contact,1,MA,01913,beauty_salon
INTERLOCKS Salon  Spa,"58 Merrimac St, Newburyport, MA 01950",Beauty salon,Newburyport,http://www.interlockssalon.com/,,,Gift Cards,https://interlockssalon.com/product/interlocks-salon-gift-card/,https://interlockssalon.com/contact-us/,Contact Us,1,MA,01950,beauty_salon
Shanti,"50 Water St #303, Newburyport, MA 01950",Beauty salon,Newburyport,https://shantisalon.com/,,,Gift Cards,https://shantisalon.com/gift-cards/,https://shantisalon.com/contact/,Staff Bios,1,MA,01950,beauty_salon
Polished Salon & Boutique,"40 Pleasant St, Newburyport, MA 01950",Beauty salon,Newburyport,https://www.polishednewburyport.com/,,,Gift Cards,https://www.polishednewburyport.com/gift-cards,https://www.polishednewburyport.com/contact,Contact - Hours - Cancellations,1,MA,01950,beauty_salon
Shear Bliss Organic Salon,"102 Russell St, Hadley, MA 01035",Beauty salon,Hadley,http://www.shearblissamherst.com/,,,GIFT CERTIFICATES,http://www.shearblissamherst.com/gift.htm,,,1,MA,01035,beauty_salon
Salon 241,"30 Market St, Northampton, MA 01060",Beauty salon,Northampton,http://www.salon241.com/,,,Booker.com,https://go.booker.com/location/Salon241/buy/gift-certificate,https://plus.google.com/112079059255401366532,Find us on Google+,1,MA,01060,beauty_salon
