name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched,state,zipcode,store_type
Forever Young,"200 Westgate Dr, Brockton, MA 02301",Women's clothing store,Brockton,http://foreveryoungma.com/,,,,,http://foreveryoungma.com/mailto:webmaster@foreveryoungma.com,Contact your hosting provider,1,MA,02301,clothing_store
Natale's Men's Clothier,"370 Washington St, Norwell, MA 02061",Men's clothing store,Norwell,http://www.natalesclothing.com/,,,,,http://www.natalesclothing.com/category-s/1852.htm,Contact,1,MA,02061,clothing_store
Phoenix Latex,"8 Waltham St, Maynard, MA 01754",Clothing store,Maynard,http://www.phoenixlatex.com/,,,,,https://www.phoenixlatex.com/contact,Contact,1,MA,01754,clothing_store
French Lessons,"8 Walden St, Concord, MA 01742",Women's clothing store,Concord,http://frenchlessons-boutique.com/,,,,,http://frenchlessons-boutique.com/contact.html,Contact Domain Owner,1,MA,01742,clothing_store
Fritz & Gigi,"79 Main St, Concord, MA 01742",Children's clothing store,Concord,http://www.fritzandgigi.com/,,,,,https://www.fritzandgigi.com/contact,CONTACT,1,MA,01742,clothing_store
Marx Running & Fitness Center,"425 Great Rd, Acton, MA 01720",Sporting goods store,Acton,http://www.marxrunning.com/,,,,,https://www.marxrunning.com/contact-us,Contact Us,1,MA,01720,clothing_store
Lyn Evans,"29 Main St, Concord, MA 01742",Women's clothing store,Concord,https://www.lynevans.com/,,,,,https://www.lynevans.com/pages/locations,"
            Contact Us
            

+



-

",1,MA,01742,clothing_store
Tess & Carlos,"81 Main St, Concord, MA 01742",Women's clothing store,Concord,http://www.tessandcarlos.com/,,,,,http://www.tessandcarlos.com/contact-us/,Contact Us,1,MA,01742,clothing_store
Post Road Clothier,"8 Concord Rd, Sudbury, MA 01776",Men's clothing store,Sudbury,http://www.postroadclothier.com/,,,,,http://postroadclothier.com/contact/,Contact,1,MA,01776,clothing_store
Military Clothing Store,"58 MacArthur Ave, Devens, MA 01434",Clothing store,Devens,http://www.military.com/,,,,,https://www.military.com/member-reg/login.html?vlv_redir=https://www.military.com/base-guide/fort-devens/contact/military-clothing-sales/8085,Login,1,MA,01434,clothing_store
Guy Cotten Inc,"383 S Front St, New Bedford, MA 02744",Clothing store,New Bedford,https://www.guycottenusa.com/,,,,,https://www.guycottenusa.com/contacts-us/,Contacts Us,1,MA,02744,clothing_store
Folia,"354 Elm St, South Dartmouth, MA 02748",Clothing store,South Dartmouth,http://www.folia.biz/,,,,,http://www.folia.biz/contact.html,CONTACT,1,MA,02748,clothing_store
MacKimmie Co,"69 Church St, Lenox, MA 01240",Clothing store,Lenox,http://www.mackimmieco.com/,,,,,http://www.mackimmieco.com/contact-us,Contact Us,1,MA,01240,clothing_store
Steilmann European Fashion,"28 Walker St, Lenox, MA 01240",Clothing store,Lenox,https://steilmannusa.wordpress.com/,,,,,https://steilmannusa.wordpress.com/contact/,Contact,1,MA,01240,clothing_store
Graceful Threads,"PO Box 380, Otis, MA 01253",Women's clothing store,Otis,http://gracefulthreads.com/,,,,,http://gracefulthreads.com/crm.asp?action=contactus,Contact Us,1,MA,01253,clothing_store
Bellamia Bikinis dba Honey Bunnies Fashions,"395 Dwight St, Springfield, MA 01103",Clothing store,Springfield,http://www.bellamiabikinis.com/,,,,,//help.shopify.com/support,contact support,1,MA,01103,clothing_store
Ettezus Trendy Clothing,"603 Sumner Ave, Springfield, MA 01108",Clothing store,Springfield,http://www.ettezustrendyclothing.com/,,,,,http://www.ettezustrendyclothing.com/mailto:webmaster@ettezustrendyclothing.com,Contact your hosting provider,1,MA,01108,clothing_store
New England Uniform,"355 Union St, West Springfield, MA 01089",Uniform store,West Springfield,http://www.newenglanduniform.com/,,,,,http://www.newenglanduniform.com/#,Contact,1,MA,01089,clothing_store
Double J Western Store,"1472 Riverdale St, West Springfield, MA 01089",Western apparel store,West Springfield,http://www.doublejwestern.com/,,,,,"http://maps.google.com/?q=1472%20Riverdale%20Street,%20WestSpringfield,%20MA",FInd Us on Google Maps,1,MA,01089,clothing_store
Tina's European Fashions,"30 State St, Newburyport, MA 01950",Clothing store,Newburyport,https://www.tinaseuropeanfashions.com/,,,,,https://www.tinaseuropeanfashions.com/pages/contact-us,Contact Us,1,MA,01950,clothing_store
Wild Dove,"57 Main St #8, Amesbury, MA 01913",Boutique,Amesbury,http://www.wilddoveretail.com/,,,,,https://www.wilddoveretail.com/contact,CONTACT,1,MA,01913,clothing_store
Farley's,"47 State St, Newburyport, MA 01950",Men's clothing store,Newburyport,http://farleysofnewburyport.com/,,,,,http://farleysofnewburyport.com/pages/contact,contact us,1,MA,01950,clothing_store
LunaChics,"131 Water St, Exeter, NH 03833",Women's clothing store,Exeter,https://lunachics.com/,,,,,https://lunachics.com/contact-us-1,Contact Us,1,NH,03833,clothing_store
Urban Exchange,"233 Main St, Northampton, MA 01060",Women's clothing store,Northampton,http://www.urbanexchangekeene.com/,,"Women's consignment store offering apparel, shoes & accessories, including designer selections.",,,http://www.urbanexchangekeene.com/contact.html,"
				Contact
			",1,MA,01060,clothing_store
Port,"202 Main St, Northampton, MA 01060",Clothing store,Northampton,http://www.portnorthampton.com/,,,,,http://www.portnorthampton.com/contact,Contact,1,MA,01060,clothing_store
Sassy Pants Vintage and Used Clothing,"2 Conz St # 42, Northampton, MA 01060",Vintage clothing store,Northampton,https://sassypantsvintage.shop/,,,,,https://sassypantsvintage.shop/contact,Contact,1,MA,01060,clothing_store
Herlihy's,"76 Maple St, Florence, MA 01062",Women's clothing store,Florence,http://herlihysclothing.com/,,,,,http://herlihysclothing.com/mailto:webmaster@herlihysclothing.com,Contact your hosting provider,1,MA,01062,clothing_store
Andover Thrift Shop,"10 Park St, Andover, MA 01810",Thrift store,Andover,http://www.andoverthriftshop.com/,,,,,http://www.andoverthriftshop.com/contact-us/,Contact Us,1,MA,01810,clothing_store
