name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched,state,zipcode,store_type
PizZing's Pizza & Wings,"1035 Bedford St, Abington, MA 02351",Pizza,Abington,,http://www.pizzingspizza.com/,,https://pizzingspizza.com/gift-cards/,https://pizzingspizza.com/contact/,Gift Cards,Contact,1,MA,02351,restaurant
Greek House Of Pizza,"343 Centre Ave, Rockland, MA 02370",Pizza,Rockland,,https://www.greekpizzarockland.com/,http://www.greekpizzarockland.com/Menus,https://www.greekpizzarockland.com/Gift,https://www.greekpizzarockland.com/Contact,Gift Certificate ,Contact Us ,1,MA,02370,restaurant
Stockholders,"1073 Main St, South Weymouth, MA 02190",Steak,South Weymouth,"Steaks, chops & seafood are served in a refined, classic setting with dark wood, plus a lounge.",http://www.stockholderssteakhouse.com/,http://places.singleplatform.com/stockholders/menu?ref=google,http://www.stockholderssteakhouse.com/gift-cards,http://www.stockholderssteakhouse.com/contact-us,Gift Cards,Contact,1,MA,02190,restaurant
JJ's Caffe,"610 N Main St, Brockton, MA 02301",American,Brockton,Chef-owned joint serving modernized breakfast & lunch classics in an easygoing environment.,http://www.jjscaffe.com/,http://www.jjscaffe.com/#menu-section,https://www.jjscaffe.com/shop/giftcard,http://www.jjscaffe.com/contact,"
              Gift Cards
            ","
                Contact
              ",1,MA,02301,restaurant
Orange Door Kitchen,"251 Arlington St, Acton, MA 01720",Coworking space,Acton,,http://www.orangedoorkitchen.com/,,http://www.orangedoorkitchen.com/odkgiftcards,http://www.orangedoorkitchen.com/contact-us,buy a gift card to hang with us when we open back up!,CONTACT US,1,MA,01720,restaurant
Woods Hill Table,"24 Commonwealth Ave, Concord, MA 01742",Organic,Concord,This comfy New American spot with a patio sources ingredients from its own New Hampshire farm.,http://www.woodshilltable.com/,https://www.woodshilltable.com/menu,http://www.woodshilltable.com/giftcards,,"
Gift Cards
",,1,MA,01742,restaurant
Fathoms Bar & Grille,"255 Popes Island, New Bedford, MA 02740",Seafood,New Bedford,"Fresh seafood, cocktails & live music nights in a waterfront hangout with a boat dock for customers.",http://www.fathomsbarandgrille.com/,https://www.fathomsbarandgrille.com/menu/,https://www.fathomsbarandgrille.com/gift-cards/,https://www.fathomsbarandgrille.com/contact/,Gift Cards,Contact Us,1,MA,02740,restaurant
Ice House Bar & Grill,"136 Huttleston Ave, Fairhaven, MA 02719",Grill,Fairhaven,"Casual haunt featuring a rectangular bar, comfort food, big-screen TVs for sports & a seasonal deck.",http://www.icehousebargrill.com/,http://www.icehousebarangrill.com/our-menus,https://www.toasttab.com/ice-house-bar-grill/giftcards,https://icehousebargrill.com/contact/,Buy a Gift Card,Contact Us,1,MA,02719,restaurant
Spice Root,"23 Spring St, Williamstown, MA 01267",Indian,Williamstown,"Fresh-baked bread, tandoori dishes & more in open dining room, plus student specials & lunch buffet.",http://www.spiceroot.com/,https://www.spiceroot.com/menus.htm,http://www.spiceroot.com/../Mumbai%20Times%20NEW%202/ws_online_ordering.htm,http://www.spiceroot.com/contact.htm,"
												We Have Gift Certificates For 
												Sale","
",1,MA,01267,restaurant
Pera Bistro,"60 Spring St, Williamstown, MA 01267",Bistro,Williamstown,,http://www.perabistro.com/,http://www.perabistro.com/gluten-free-menu/,https://www.perabistro.com/pera-gift-cards/,https://www.perabistro.com/contact-us/,GIFT CARDS,CONTACT,1,MA,01267,restaurant
