name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,state,zipcode,store_type
Cross Eyed Cow Pizza,"19242 National Trails Hwy, Oro Grande, CA 92368",Pizza,Oro Grande,,http://www.crosseyedcowpizza.com/,,,http://www.crosseyedcowpizza.com/contact-us/,,Contact Us,CA,92368,restaurant
Scolari's Good Eats,"1303 Park St, Alameda, CA 94501",Hamburger,Alameda,"Compact go-to for stromboli, burgers & Buffalo fries with optional delivery to the bar next door.",http://www.scolarisgoodeats.com/,,,http://www.scolarisgoodeats.com/contactpark,,"



",CA,94501,restaurant
East Ocean Seafood Restaurant,"1713 Webster St, Alameda, CA 94501",Chinese,Alameda,Established choice for Cantonese Chinese fare & dim sum in a banquet hall with opulent Asian decor.,http://www.eastoceanseafoodrestaurant.com/,,,http://www.eastoceanseafoodrestaurant.com/wedding-clone,,Contact,CA,94501,restaurant
1400 Bar & Grill,"1400 Webster St, Alameda, CA 94501",Grill,Alameda,"Old-school hangout offers a full bar, diverse comfort grub & regular live music in a comfy interior.",http://1400barandgrill.com/,http://1400barandgrill.com/beer/,,http://1400barandgrill.com/mailto:teamcooperakis@gmail.com,,Contact,CA,94501,restaurant
Mama Papa Lithuania Restaurant,"1241 Park St, Alameda, CA 94501",Lithuanian,Alameda,Old-world-chic Lithuanian restaurant & tea house featuring a traditional menu & a beer garden.,http://www.mamapapalithuania.com/,http://places.singleplatform.com/mama-papa-lithuania-restaurant/menu?ref=google,,http://www.mamapapalithuania.com/find-us/,,Find us,CA,94501,restaurant
Homeskillet  Alameda,"1363 Park St, Alameda, CA 94501",Breakfast,Alameda,This cafe & coffee bar with American breakfast & lunch fare has mismatched furniture & quirky art.,https://homeskillet-alameda.com/,,,https://homeskillet-alameda.com/,,Contact Us,CA,94501,restaurant
C'Era Una Volta,"1332 Park St STE D, Alameda, CA 94501",Italian,Alameda,"Local art adorns this bright, bi-level eatery furnishing homestyle Italian dishes paired with wine.",http://www.ceraunavolta.us/,http://places.singleplatform.com/cera-una-volta/menu?ref=google,,https://www.ceraunavolta.us/reservations,,CONTACT US,CA,94501,restaurant
Pasta Pelican Restaurant,"2455 Mariner Square Dr, Alameda, CA 94501",Italian,Alameda,"Italian place offering pasta, seafood & wine in a welcoming setting with fireplaces & harbor views.",http://www.pastapelican.com/,https://pastapelican.com/shop,,https://www.pastapelican.com/home/contact-us/,,Contact Us,CA,94501,restaurant
Hang Ten Boiler,"2315 Santa Clara Ave, Alameda, CA 94501",Seafood,Alameda,Easygoing cafe serving Hawaiian noodles & barbecue & Cajun-style boiled crab & crawfish.,http://www.hangtenboiler.com/,http://places.singleplatform.com/hang-ten-boiler/menu?ref=google,,https://www.hangtenboiler.com/contact-us,,FEEDBACK,CA,94501,restaurant
Abigail's Moroccan Cuisine,"1132 Ballena Blvd, Alameda, CA 94501",Moroccan,Alameda,"Lively, unassuming Moroccan BYOB with bay views, belly dancing & a few outdoor tables.",http://www.abigailsalameda.com/,,,https://v2.myOnlineObjects.com/message/send/1560913777,,Contact Us,CA,94501,restaurant
