name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched,state,zipcode,store_type
Hennessey  Ingalls,"300 S Santa Fe Ave M, Los Angeles, CA 90013",Book store,Los Angeles,"Spacious bookseller featuring a large inventory of volumes about art, architecture & design.",http://www.hennesseyingalls.com/,,http://www.hennesseyingalls.com/hennessey-ingalls-gift-card,http://www.hennesseyingalls.com/contact-us,GIFT CARDS,CONTACT US,1,CA,90013,book_store
Owl Bookshop Citrus College,"1000 W Foothill Blvd, Glendora, CA 91741",Book store,Glendora,,http://www.owlbookshop.com/,,https://eposweb-674.sequoiars.com/ePOS?store=674&form=shared3%2fcardcenter%2fmain%2ehtml&design=674,,Gift Cards,,1,CA,91741,book_store
Bronco Bookstore,"3801 W Temple Ave, Pomona, CA 91768",Book store,Pomona,"Relaxed, campus retailer offering textbooks, school apparel, electronics & other school essentials.",http://www.broncobookstore.com/,,https://www.foundation.cpp.edu/giftcard/,http://www.broncobookstore.com/mailto:bookstore@cpp.edu,Campus Gift Cards,Email Us Today,1,CA,91768,book_store
Bookhounds Books Records Movies,"2622 Fairhaven Dr, Bakersfield, CA 93308",Book store,Bakersfield,,http://www.bookhoundsonline.com/,,https://www.bookhoundsonline.com/gift-card,https://www.bookhoundsonline.com/contact,GIFT CARDS,CONTACT,1,CA,93308,book_store
Enchanted Cottage,"30 H St, Bakersfield, CA 93304",Book store,Bakersfield,,https://www.enchanted-cottage.net/,,https://www.enchanted-cottage.net/shopping/product-category/giftcards/,,Click Here To Purchase,,1,CA,93304,book_store
The Wonder Emporium Toys and Books,"816 E Whittier Blvd, La Habra, CA 90631",Book store,La Habra,,http://www.wonderemporiumtoys.com/,,https://www.wonderemporiumtoys.com/buy/giftcards/gift-cards-select-your-amount,https://www.wonderemporiumtoys.com/contact,Gift Cards - select your amount,Contact Us,1,CA,90631,book_store
Orinda Books,"276 Village Square, Orinda, CA 94563",Book store,Orinda,"Enduring, indie bookstore with titles for the whole family plus groups, story hour & local art.",http://orindabooks.com/,,http://orindabooks.com/orinda-books-gift-certificate,http://visitor.r20.constantcontact.com/d.jsp?llr=vysrcxcab&p=oi&m=1102433536789&sit=pmsses7db&f=a49f3aca-b615-43ad-90cf-6ff40e11633b,,Sign Up for Our Newsletter,1,CA,94563,book_store
AutobooksAerobooks,"2900 W Magnolia Blvd, Burbank, CA 91505",Book store,Burbank,"Quaint store for used books focused on cars, motorcycles & airplanes, also selling models & DVDs.",http://www.autobooks-aerobooks.com/,,https://www.autobooks-aerobooks.com/?s=gift+card,https://www.autobooks-aerobooks.com/about/,,Contact Us,1,CA,91505,book_store
Five Little Monkeys,"1111 Burlingame Ave, Burlingame, CA 94010",Toy store,Burlingame,Popular store featuring a wide selection of unique children’s toys & gifts in an upbeat atmosphere.,http://www.5littlemonkeys.com/,,https://www.5littlemonkeys.com/categories/gifts-novelty/gift-certificates.html,http://www.5littlemonkeys.com/contacts,Gift Certificates,Mailing List,1,CA,94010,book_store
Fugitive Toys,"1550 Rollins Rd, Burlingame, CA 94010",Toy store,Burlingame,,http://www.fugitivetoys.com/,,http://www.fugitivetoys.com/products/gift-card,,Gift Card,,1,CA,94010,book_store
DIESEL A Bookstore,"12843 El Camino Real Suite 104, San Diego, CA 92130",Book store,San Diego,,https://www.dieselbookstore.com/,,https://www.dieselbookstore.com/online-gift-certificate,https://www.dieselbookstore.com/contact,,Contact Us,1,CA,92130,book_store
Repsychles(tm),"314 N Palm Canyon Dr, Palm Springs, CA 92262",Book store,Palm Springs,,https://www.twigpencils.com/,,https://www.twigpencils.com/giftcertificates.php,https://www.twigpencils.com/contact-customer-service/,Gift Certificates,Contact Customer Service ,1,CA,92262,book_store
Mrs Dalloway's,"2904 College Ave, Berkeley, CA 94705",Book store,Berkeley,"This warm bookstore offers classic & independent literature, author readings & toddler activities.",http://www.mrsdalloways.com/,,http://www.mrsdalloways.com/mrs-dalloways-gift-certificate,https://libro.fm/,Mrs. Dalloway's Gift Certificate,,1,CA,94705,book_store
A Shop Called Quest,"101 N Indian Hill Blvd, Claremont, CA 91711",Comic book store,Claremont,,http://www.ashopcalledquest.com/,,http://www.ashopcalledquest.com/collections/gift-cards,http://www.ashopcalledquest.com/pages/contact-us,Gift Cards,Contact Us,1,CA,91711,book_store
Children's Book World,"10580 W Pico Blvd, Los Angeles, CA 90064",Book store,Los Angeles,"This retailer carries thousands of books for kids, parents & teachers, plus movies & audio books.",http://www.childrensbookworld.com/,,http://www.childrensbookworld.com/gift-certificate,http://www.childrensbookworld.com/how-find-us,Gift Certificates,How to Find Us,1,CA,90064,book_store
Latest Thing,"1576 Newport Blvd, Costa Mesa, CA 92627",Book store,Costa Mesa,,http://latestthing.com/,,https://latestthing.com/gift-cards/,https://latestthing.com/contact-us/,Gift Cards,Contact Us,1,CA,92627,book_store
Fleur De Lys,"369 E 17th St #14, Costa Mesa, CA 92627",Gift shop,Costa Mesa,,http://www.shopfleurdelys.com/,,http://www.shopfleurdelys.com/collections/gift-cards,http://www.shopfleurdelys.com/pages/contact-us,"
          Gift Cards
          
        ","
          Ask Away
          
          
        ",1,CA,92627,book_store
City Lights Booksellers & Publishers,"261 Columbus Ave, San Francisco, CA 94133",Book store,San Francisco,,http://www.citylights.com/,,http://www.citylights.com/bookstore/?fa=books_giftcertificates,http://www.citylights.com/info/?fa=contactus,GIFT CERTIFICATES,Contact Us,1,CA,94133,book_store
The Avid Reader,"617 2nd St, Davis, CA 95616",Book store,Davis,,http://www.avidreaderbooks.com/,,http://www.avidreaderbooks.com/avid-reader-gift-card,http://www.avidreaderbooks.com/contact,GIFT CARDS,CONTACT US,1,CA,95616,book_store
Hawks Nest Bookstore,"8401 Center Pkwy, Sacramento, CA 95823",Book store,Sacramento,,http://bookstore.crc.losrios.edu/,,https://bookstore.crc.losrios.edu/merchlist?ID=26706,https://bookstore.crc.losrios.edu/Contact,Gift Cards,Contact Us,1,CA,95823,book_store
Barnes And Noble Book Store,"900 Rancho San Diego Pkwy, El Cajon, CA 92019",Book store,El Cajon,,http://www.barnesandnoble.com/,,http://www.barnesandnoble.com/b/gift-cards/_/N-8rg,,Gift Cards,,1,CA,92019,book_store
EarthTones Gifts Gallery & Center for Healing,"1319 Park St, Paso Robles, CA 93446",Book store,Paso Robles,,http://www.earthtonesgifts.com/,,http://www.earthtonesgifts.com/collections/gift-cards,,"
               
        Gift Cards                
      
",,1,CA,93446,book_store
Reach and Teach Books Toys and Gifts,"144 W 25th Ave, San Mateo, CA 94403",Book store,San Mateo,"Toys, books, posters & music promoting nonviolence along with social, race & gender equality.",http://www.reachandteach.com/,,http://www.reachandteach.com/reach-teach-gift-card,http://www.reachandteach.com/contact-us,Gift Cards,Contact Us,1,CA,94403,book_store
Brass Unicorn Inc,"1007 N Van Ness Ave, Fresno, CA 93728",Book store,Fresno,,http://www.brassunicorn.com/,,http://www.brassunicorn.com/gift-cards,http://www.brassunicorn.com/contact-us,Gift Cards,Contact Us,1,CA,93728,book_store
Catch of the day books,"11107 Brookhurst St # A, Garden Grove, CA 92840",Religious book store,Garden Grove,,https://catchofthedaybooks.com/,,https://catchofthedaybooks.com/wishlist/,https://catchofthedaybooks.com/contact-us/,    Gift Certificate  ,Contact Us,1,CA,92840,book_store
St Paul Distribution Center,"5003 Whittier Blvd, Los Angeles, CA 90022",Book store,Los Angeles,,http://www.sanpablolax.com/,,http://stores.sanpablolax.com/giftcertificates.php,,Gift Certificates,,1,CA,90022,book_store
King's Cross Christian Bookstore,"1647 W Ave J Suite 105, Lancaster, CA 93534",Christian book store,Lancaster,,http://www.kingscrossbookstore.com/,,http://www.kingscrossbookstore.com/product/gift-cards,http://www.kingscrossbookstore.com/contact,"

Gift Certificates 
$10.00
",Contact,1,CA,93534,book_store
Shades of Afrika,"1001 E 4th St, Long Beach, CA 90802",Gift shop,Long Beach,"Community-minded gift shop offering books, aromatherapy & beauty products, plus occasional events.",http://www.shadesofafrika.com/,,http://www.shadesofafrika.com/giftcertificates.php,https://shadesofafrika.com/products/Smell-Good-Body-Oils.html,Gift Certificates,"



",1,CA,90802,book_store
MADE by Millworks,"240 Pine Ave, Long Beach, CA 90802",Gift shop,Long Beach,"Airy showroom featuring clothing, jewelry, home decor items & more made by local designers.",http://www.madebymillworks.com/,,http://www.madebymillworks.com/collections/gift-cards/products/gift-card-1,http://www.madebymillworks.com/pages/contact-us,"











",Contact Us,1,CA,90802,book_store
Linden Tree Children's Books,"265 State St, Los Altos, CA 94022",Book store,Los Altos,"Long-running indie bookseller offering a range of reading materials, music & gifts for all ages.",http://www.lindentreebooks.com/,,https://www.lindentreebooks.com/gift-cards/,https://www.lindentreebooks.com/service/,Gift Cards,Contact Us/FAQ,1,CA,94022,book_store
iChakras  Chakra Balancing Meditation in Mountain View,"324 Castro St, Mountain View, CA 94041",Book store,Mountain View,,http://www.ichakras.com/,,https://app.gifted.co/gift-card/252920/,https://ichakras.com/contact-ichakras/,Purchase Gift Cards,Contact us,1,CA,94041,book_store
Duranno Bookstore,"3130 Wilshire Blvd #100, Los Angeles, CA 90010",Book store,Los Angeles,,http://duranno.us/,,http://duranno.us/view/giftcard.asp,http://duranno.us/view/contact.asp,기프트카드 조회,문의하기,1,CA,90010,book_store
Automobuild,"100 N Santa Cruz Ave B, Los Gatos, CA 95030",Toy store,Los Gatos,,http://www.automobuild.com/,,https://www.automobuild.com/shop/50/gift-cards,https://www.automobuild.com/contact,Gift Cards,Contact Us,1,CA,95030,book_store
The Wooden Horse,"796 Blossom Hill Rd, Los Gatos, CA 95032",Toy store,Los Gatos,"Opened in 1971, this cozy shop carries educational & artistic toys, games & puzzles for children.",http://woodenhorsetoys.com/,,http://woodenhorsetoys.com/collections/gift-certificates,http://woodenhorsetoys.com/pages/contact-us,Gift Certificates,Contact Us,1,CA,95032,book_store
Rockin' Kidz Music,"15694 Los Gatos Blvd, Los Gatos, CA 95032",Music store,Los Gatos,,https://www.rockinkidz.com/,,https://www.rockinkidz.com/gift-certificates.htm,https://www.rockinkidz.com/contact-us.htm,Purchase online! Thanks for supporting the arts!,Locations,1,CA,95032,book_store
Tabula Rasa Essentials,"919 Manhattan Ave # A, Manhattan Beach, CA 90266",Gift shop,Manhattan Beach,"Store selling gift items such as coffee table books & barnwood signs, plus items with a beach motif.",http://www.tabularasaessentials.com/,,http://www.tabularasaessentials.com/collections/gift-certificate,http://www.tabularasaessentials.com/pages/contact-us,Gift Certificates,Contact,1,CA,90266,book_store
