name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,state,zipcode,store_type
Trabocco Kitchen and Cocktails,"2213 S Shore Center, Alameda, CA 94501",Italian,Alameda,"Stylish, lively restaurant serving locavore Californian & Italian fare & drinks in spacious digs.",http://www.trabocco.com/,http://places.singleplatform.com/trabocco-kitchen-and-cocktails/menu?ref=google,https://trabocco.com/gift-certificate/,https://trabocco.com/contact-us/,Gift Certificate,Contact Us,CA,94501,restaurant
La Penca Azul,"1440 Park St, Alameda, CA 94501",Mexican,Alameda,"Long-running, family-owned Mexican restaurant offering an extensive menu & a bustling tequila bar.",http://www.lapencaazul.com/,http://places.singleplatform.com/la-penca-azul/menu?ref=google,http://www.lapencaazul.com/menu/gift-cards,http://www.lapencaazul.com/contact, GIFT CARDS, Contact,CA,94501,restaurant
Yojimbo,"1221 Park St, Alameda, CA 94501",Ramen,Alameda,Miniature Japanese eatery serving udon & sushi amid pop culture artwork & anime on TV.,http://www.yojimboalameda.com/,https://www.yojimboalameda.com/,https://www.yojimboalameda.com/shop,https://www.yojimboalameda.com/contact-us,GIFT CERTIFICATE,CONTACT US,CA,94501,restaurant
The Star on Park,"1400 Park St, Alameda, CA 94501",Pizza,Alameda,"Subs, salads & Chicago-style pizza in airy digs with exposed-brick walls, chandeliers & a full bar.",http://www.thestaronpark.com/,http://www.thestaronpark.com/menu,http://www.thestaronpark.com/giftcard,http://www.thestaronpark.com/contact,"
            Gift Card
          ","
            Contact
          ",CA,94501,restaurant
Yang's Kitchen,"112 W Main St, Alhambra, CA 91801",Asian Fusion,Alhambra,"Hip Chinese-fusion noodle shop, with organic & vegetarian options, in a bright, airy space.",http://yangskitchenla.com/,https://www.yangskitchenla.com/mainmenu,https://www.toasttab.com/yangs-kitchen/giftcards,http://yangskitchenla.com/contact,"
        Gift Cards
      ","
            Contact
          ",CA,91801,restaurant
OPAH Seafood Grill,"26851 Aliso Creek Rd, Aliso Viejo, CA 92656",Seafood,Aliso Viejo,Seafood dishes star at this bustling American eatery & bar with a serene patio for quieter dining.,http://www.opahrestaurant.com/,http://www.opahrestaurant.com/kitchen.php,http://www.opahrestaurant.com/gift-cards.php,http://www.opahrestaurant.com/contact.php,GIFT CARD,CONTACT,CA,92656,restaurant
THE RANCH Restaurant,"1025 E Ball Rd #101A, Anaheim, CA 92805",American,Anaheim,"Sophisticated mainstay features farm-fresh, seasonal steak & seafood meals in an elegant interior.",https://www.theranch.com/,https://www.theranch.com/restaurant/menu.aspx?utm_source=MyBusiness&utm_medium=Panel&utm_campaign=RestaurantMenu,https://www.theranch.com/giftcards,https://www.theranch.com/company/contact.aspx,Gift Cards,Contact Us,CA,92805,restaurant
Reunion Kitchen  Drink,"5775 E Santa Ana Canyon Rd, Anaheim, CA 92807",American,Anaheim,"Upscale-casual restaurant & bar with elevated American classics, plus cocktails, wine & craft beer.",http://reunionkitchen.net/,http://reunionkitchen.net/anaheimhills/,https://reunionkitchen.cardfoundry.com/giftcards.php,http://reunionkitchen.net/#contacts,Gift Cards,CONTACT,CA,92807,restaurant
Smith's Landing Seafood Grill,"1 Marina Plaza, Antioch, CA 94509",Seafood,Antioch,,http://www.smithslandingantioch.com/,https://www.smithslandingantioch.com/menu/,https://www.smithslandingantioch.com/shop/,https://www.smithslandingantioch.com/contact/,Gift Cards,Contact,CA,94509,restaurant
Double Dragon,"2621 Somersville Rd, Antioch, CA 94509",Chinese,Antioch,"Mandarin & Sichuan dishes are made to eat in or take out at this relaxed, enduring Chinese mainstay.",http://double-dragon.cafes-city.com/,,http://topmountainvillage.com/en/?utm_source=usa_restaurants,,"


",,CA,94509,restaurant
