name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched,state,zipcode,store_type
Bandung Books,"2289 International Blvd, Oakland, CA 94606",Book store,Oakland,,http://eastsideartsalliance.org/,,,https://www.eastsideartsalliance.org/contact,,Contact Us,1,CA,94606,book_store
Christian Science Reading Room Alameda,"1307 Walnut St, Alameda, CA 94501",Religious book store,Alameda,,http://www.christiansciencealameda.com/,,,http://www.christiansciencealameda.com/contact-us/,,Contact Us,1,CA,94501,book_store
Dan F Webb  Books  Downtown Bookstore,"322 15th St, Oakland, CA 94612",Used book store,Oakland,Quaint shop offers a selection of used & vintage books with an emphasis on military-based content.,http://danwebbbooks.com/,,,https://ocsnext.ebay.com/ocs/home,,"
		Help & Contact",1,CA,94612,book_store
Torpedo Comics,"162 N Glassell St, Orange, CA 92866",Comic book store,Orange,,https://www.torpedocomics.com/,,,https://www.torpedocomics.com/pages/contact-us,,"
            Contact Us
        ",1,CA,92866,book_store
Los Medanos Bookstore,"2700 E Leland Rd, Pittsburg, CA 94565",Book store,Pittsburg,,https://www.lmcbookstore.net/,,,https://www.lmcbookstore.net/tel:925-439-2056,,925-439-2056,1,CA,94565,book_store
Geekdom Toys Comics & Gaming,"12180 Ridgecrest Rd STE 404, Victorville, CA 92395",Comic book store,Victorville,,https://www.geekdomtoys.com/,,,https://www.geekdomtoys.com/contact/,,Contact Us,1,CA,92395,book_store
JPM Comics & Games,"1000 E Rte 66 G, Glendora, CA 91740",Comic book store,Glendora,,http://jpmcomicsandgames.wordpress.com/,,,https://jpmcomicsandgames.wordpress.com/about/,,Business Hours | Contact Us,1,CA,91740,book_store
Valley Thrift Store,"777 W Foothill Blvd, Azusa, CA 91702",Thrift store,Azusa,,http://redwhiteandbluethriftstore.com/,,,http://redwhiteandbluethriftstore.com/contact-us/,,Contact Us,1,CA,91702,book_store
Russo's Books,"1601 New Stine Rd #182, Bakersfield, CA 93309",Book store,Bakersfield,,http://www.russosbooks.com/,,,http://www.russosbooks.com/contact,,,1,CA,93309,book_store
Story's Christian Store,"3621 Edison Hwy, Bakersfield, CA 93307",Christian book store,Bakersfield,,http://www.biblesinbakersfieldca.com/,,,http://www.biblesinbakersfieldca.com/contact/,,Contact,1,CA,93307,book_store
